Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3886211126767702,1.050679654736204,0.021487454747713058,0.886684403066711,2.264442751530328,1.775803604125977,0.03589953026015309,0.659958048284019
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4918403747155522,1.1326255411060933,0.02317803451846658,0.8615875739001293,2.0572767546488633,1.5620506072558944,0.032504002129822455,0.7644758988057129
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4141602547416925,1.0690093184727703,0.021992935962661015,0.8749304701401679,2.343260540880978,1.817461834914393,0.03705548112292887,0.7055334278718876
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5248123168584005,1.1598132933022505,0.02363389852358997,0.8597705508019251,2.413258278338661,1.8194418676493398,0.03709113859759008,0.646036267001269
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.469049969786045,1.1231996070945658,0.022981040464011677,0.8735895379402564,2.220211044290561,1.7744520221806603,0.03630021379540819,0.6632580062908329
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4262941261638489,1.0890436927033762,0.022365616101040087,0.8757150506225456,2.2879812191218627,1.8150779548480358,0.036906424046515056,0.693786596284369
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4624417467588875,1.1105679755041442,0.02284758825240269,0.873909738186186,2.222298887094412,1.752303518940219,0.03546913661898435,0.6551385134567791
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4486581824833442,1.1013381910243412,0.022563072769386627,0.8760224316286249,2.4834954726700245,1.8225650551336274,0.03768086669814914,0.6007413930173684
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4604887431047275,1.102420414644888,0.022649153456056108,0.8680813474770405,2.325919530964707,1.8454829004611348,0.037326481835826916,0.6672190715039679
Global Model,203,AV,Chemical + Properties CS Less,"(1508, 15)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4519860334316246,1.1087841034580466,0.022623751686820626,0.8706811458551368,2.1259342948871662,1.608888663832461,0.03279754095201936,0.7538445976664931
