Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8096697355869973,1.3987471260083453,0.02879509679064552,0.804825796266776,1.832248303254886,1.4460427528027666,0.029414172119397803,0.7687871532283947
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7795816633692347,1.3745219833854814,0.028020421228073352,0.800832475726404,1.8284190562804603,1.3551540400018753,0.028452905533335043,0.8144395869050057
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7358414089254988,1.3484037408781289,0.027746868125229054,0.8094714175342121,2.127736171494957,1.6495403870841527,0.03411408020038095,0.7544406412005652
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8028285519760987,1.4024635146803963,0.02885442820840779,0.8010737222839879,1.941071192485152,1.4525427611088042,0.029752858578811183,0.7691776742932169
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.754979321468877,1.3605533605542377,0.027992002382965134,0.8172845457439025,2.0586925636208457,1.594212230796434,0.03260493672356738,0.7027404126210532
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7186956435332044,1.3285647230005975,0.02723383740821285,0.817319222254641,2.1336580315130873,1.5894311680067454,0.032550383793830344,0.7322682762660551
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.83050699654755,1.421762927483959,0.029337646309845106,0.8000678230158089,1.8680194276969329,1.4650589307570303,0.029926669727012894,0.761903549382664
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.746823977198939,1.3485427075792504,0.02757491958979717,0.8176104627994758,2.0426004336187202,1.578539846559234,0.03267359080358578,0.7175780679669881
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7630028286548767,1.3475367721646112,0.027620448513575476,0.8054221537753037,1.9094530434741963,1.5025916536147412,0.030797021930157903,0.7952253884533903
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.75936824721774,1.351964036740838,0.027555308056317698,0.8073013651933356,1.8368372291983117,1.3758673957495198,0.02829855069781204,0.8063301805868788
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7711201039340534,1.376168790599007,0.028224419971180147,0.802597087278226,2.040220146190275,1.542238937276878,0.03180468347184671,0.7698145142641806
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.802382675402234,1.389783486766404,0.0284791282865865,0.7983678827660392,1.970532422886491,1.5075089986434835,0.03137999092516404,0.7734049772388909
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7430611606186612,1.3497338854535104,0.027558041360512174,0.8112256580450246,1.920678232633075,1.445733390454425,0.02985751633700935,0.7860194819227966
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7719183632643614,1.3790058408419557,0.028434543244378416,0.8092190813937681,2.115107527953783,1.6191767224283313,0.03341524874389437,0.7156334213065388
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8228736828627758,1.4226549593870959,0.02940971091345349,0.8058403590298946,1.9382945007635963,1.5077722832055587,0.03052816537633779,0.7111786351086462
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.423034525928213,1.1028035977681478,0.022846039920111118,0.360750459462297,2.3995569059621076,2.059128127801614,0.04367445887551883,0.1106520187660942
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6350611822660082,1.276746074040731,0.025536141344542705,0.17597592858092048,4.079971419847526,3.1958936747566593,0.07073117247653252,-1.5845924705867152
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7694827378145097,1.3293148695627852,0.030470796418972847,0.8736289745382158,2.803339354351471,2.177042263843974,0.0525095843046995,0.8422484874411011
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2904074318744876,1.06335685412089,0.021088504121814813,0.17812344749855769,2.294150222672254,1.8304050933337606,0.03465871696947071,-0.05045711538623543
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.281059023520927,1.0616156533559162,0.019636663587317305,0.2157922706835419,3.2945517355825835,2.867965438092341,0.056623993837146135,-2.859837279975873
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.423034525928213,1.1028035977681478,0.022846039920111118,0.360750459462297,2.3995569059621076,2.059128127801614,0.04367445887551883,0.1106520187660942
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6350611822660082,1.276746074040731,0.025536141344542705,0.17597592858092048,4.079971419847526,3.1958936747566593,0.07073117247653252,-1.5845924705867152
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7694827378145097,1.3293148695627852,0.030470796418972847,0.8736289745382158,2.803339354351471,2.177042263843974,0.0525095843046995,0.8422484874411011
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2904074318744876,1.06335685412089,0.021088504121814813,0.17812344749855769,2.294150222672254,1.8304050933337606,0.03465871696947071,-0.05045711538623543
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.281059023520927,1.0616156533559162,0.019636663587317305,0.2157922706835419,3.2945517355825835,2.867965438092341,0.056623993837146135,-2.859837279975873
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.423034525928213,1.1028035977681478,0.022846039920111118,0.360750459462297,2.3995569059621076,2.059128127801614,0.04367445887551883,0.1106520187660942
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6350611822660082,1.276746074040731,0.025536141344542705,0.17597592858092048,4.079971419847526,3.1958936747566593,0.07073117247653252,-1.5845924705867152
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7694827378145097,1.3293148695627852,0.030470796418972847,0.8736289745382158,2.803339354351471,2.177042263843974,0.0525095843046995,0.8422484874411011
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2904074318744876,1.06335685412089,0.021088504121814813,0.17812344749855769,2.294150222672254,1.8304050933337606,0.03465871696947071,-0.05045711538623543
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.281059023520927,1.0616156533559162,0.019636663587317305,0.2157922706835419,3.2945517355825835,2.867965438092341,0.056623993837146135,-2.859837279975873
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4429642154455147,1.1474984481871837,0.023881452208903965,0.3918207728338292,2.362435962568936,1.9162143175345492,0.03780986539429303,-0.1120277829835925
Global Model,203,AV,Chemical + Physical,"(1508, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.450926098436848,1.1526698693774997,0.02351561367299154,0.5795749388129529,4.588932991265208,3.151459633876603,0.07443341590444111,-0.2572797811805465
