Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.563382907070269,0.40927596387609955,0.009368049398832153,0.9913178246074148,1.0727928029365361,0.7907138581402537,0.019255241637284124,0.9619733331951579
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6439168107893999,0.4945954317751183,0.011035643733641212,0.9857639117500205,1.4893663429714574,1.1811889999524678,0.02776656618743072,0.9430315358794477
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6051617380187453,0.47281192475715567,0.010622735516010291,0.9907187036138495,1.2941910811069874,0.9973218165034738,0.022605223022978765,0.9511309930964066
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.46580424093275025,0.3534947916891723,0.008205505513346738,0.9936447220271241,1.9320415029391378,1.1980101188727184,0.02893441137214836,0.8904439021269555
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5174144066641155,0.36488706065490173,0.008402934883628095,0.9924466016072344,2.4279680915403525,1.5527641796010785,0.04243258198037168,0.8381332779523614
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5654365684679689,0.4196693406906802,0.009616855470457916,0.991254412154095,1.0854646655748288,0.825092271787931,0.01998078441119909,0.9610696831684317
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6414312124877245,0.4891225652779096,0.010923690358185018,0.9858736057371106,1.4835636885964678,1.1798373345569169,0.027634204321760662,0.9434745757706564
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6127761053432706,0.4823472124285401,0.010859226328768835,0.9904836728742464,1.3339469089369713,1.0013098522625135,0.02275558634444121,0.9480824967866968
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.46728407439867004,0.3567337458112599,0.008275783166814356,0.9936042771733279,1.9026157082042898,1.154484983461093,0.02795932127136122,0.8937556586548999
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5205840177231739,0.3702747409111631,0.008537965125919023,0.9923537759515546,2.5062655242539873,1.5891248598351941,0.04348573009312629,0.8275251474934437
