Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0063485642973213,0.7079610172618518,0.017673143060262048,0.9720354446419941,1.3584646430151686,1.0904440917968756,0.02679130741321529,0.9364302140090662
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9956780108645147,0.7965337999290395,0.018565790653291305,0.9656636681921772,1.6316568590035665,1.2427329005191199,0.0286183174334352,0.9305642927590605
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7620522905668179,0.6098921995073834,0.014185648186791723,0.9851166433723806,1.3471467802297952,1.059929559004934,0.02450796402097767,0.9445940074451262
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9314914945730318,0.7594589303715437,0.017848794079841617,0.9745514658346648,1.434279571287995,1.1274909410978617,0.027507890979854233,0.9369209606489597
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6376955805684528,0.5012494318386377,0.011823432335781616,0.9885082806238411,1.4345547194842645,1.1576412353515624,0.028340447296670197,0.9438807708940985
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.992797738891934,0.691295460094105,0.017223578977918638,0.9727834787202679,1.3173190885109174,1.0569542059647417,0.02599263987882122,0.940222735050215
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9698430107267135,0.7742155748884254,0.018066786217111466,0.9674224105619819,1.6057850988870659,1.2060560752467102,0.027905418817257922,0.932748798388694
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7583141777454466,0.6123736447485806,0.014226939005331805,0.9852623005968469,1.3279930479636939,1.0243003218801394,0.023656647964798307,0.946158331790454
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9320415433144665,0.7611570374097691,0.017844458874637703,0.9745214020773825,1.4222117705106194,1.1198717137386922,0.027367127309559806,0.937977969172149
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.621526674384845,0.48483125009844386,0.011489447905623593,0.9890836426955609,1.3203342094155028,1.0578069008275084,0.026257551145718178,0.9524615287863706
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0329102192062545,0.7281879036643288,0.018208301056331352,0.9705397651900305,1.3078115726946937,1.053365541960064,0.025820533236062534,0.9410824847870279
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9848503557038635,0.791920042661863,0.018439276451818323,0.9664063991873967,1.6293598141915038,1.2272631418328535,0.028322320173469456,0.9307596581760037
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7374973808234526,0.5878851635656623,0.01366515579510459,0.986060335953249,1.309564676459774,1.0229741596422692,0.023565131439831695,0.9476422700644326
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9247325959984598,0.7504221245550341,0.017593847420432508,0.9749194349077088,1.4115879587023064,1.1277562352230672,0.027397886787328626,0.938901107894978
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6353289027994824,0.4996135606194422,0.011854230532708647,0.9885934207099982,1.4540872484879783,1.1656364280299136,0.02909785395208156,0.9423421569855851
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.974191773488344,0.6848899650573729,0.017039184605065774,0.9737699870809434,3.5244672128860133,2.7185982412726553,0.060448686860794236,0.5745189029206816
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0049044202570856,0.7387805893159715,0.01782520388085142,0.9698447043597962,3.0727846395473195,2.124843822026946,0.04657586031698637,0.7630580880221748
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9523841784277891,0.7164643051980555,0.01711644312219285,0.974740129379175,2.3612867224608203,1.883493194916917,0.043077485881295056,0.8379962292192098
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9342000532502359,0.7150277501923769,0.01696151200913627,0.9755241255580839,2.719712774120074,1.7276264145200615,0.044426880504998476,0.7853508038425696
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9458348107621583,0.7350093347962943,0.017298319666026046,0.9747981409413387,1.1110720346296334,0.7733655916933981,0.018843319291270148,0.9648760738687412
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.974191773488344,0.6848899650573729,0.017039184605065774,0.9737699870809434,3.5244672128860133,2.7185982412726553,0.060448686860794236,0.5745189029206816
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0049044202570856,0.7387805893159715,0.01782520388085142,0.9698447043597962,3.0727846395473195,2.124843822026946,0.04657586031698637,0.7630580880221748
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9523841784277891,0.7164643051980555,0.01711644312219285,0.974740129379175,2.3612867224608203,1.883493194916917,0.043077485881295056,0.8379962292192098
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9342000532502359,0.7150277501923769,0.01696151200913627,0.9755241255580839,2.719712774120074,1.7276264145200615,0.044426880504998476,0.7853508038425696
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9458348107621583,0.7350093347962943,0.017298319666026046,0.9747981409413387,1.1110720346296334,0.7733655916933981,0.018843319291270148,0.9648760738687412
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.974191773488344,0.6848899650573729,0.017039184605065774,0.9737699870809434,3.5244672128860133,2.7185982412726553,0.060448686860794236,0.5745189029206816
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0049044202570856,0.7387805893159715,0.01782520388085142,0.9698447043597962,3.0727846395473195,2.124843822026946,0.04657586031698637,0.7630580880221748
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9523841784277891,0.7164643051980555,0.01711644312219285,0.974740129379175,2.3612867224608203,1.883493194916917,0.043077485881295056,0.8379962292192098
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9342000532502359,0.7150277501923769,0.01696151200913627,0.9755241255580839,2.719712774120074,1.7276264145200615,0.044426880504998476,0.7853508038425696
Global Model,203,C,Chemical + Properties CS Less,"(2829, 15)",7,Conv1D,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9458348107621583,0.7350093347962943,0.017298319666026046,0.9747981409413387,1.1110720346296334,0.7733655916933981,0.018843319291270148,0.9648760738687412
