Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6193711674697567,0.45378904764631156,0.010692824933705923,0.9895064317589827,0.8603118067776845,0.6902711378789586,0.01660891031681479,0.9755449630678253
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7095360863081638,0.538431301623319,0.012178086957494122,0.9827145726539799,1.4824747930254727,1.1507313470080889,0.027401221037894642,0.9435575215807271
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6819130191593711,0.5282298879707807,0.012028075142856786,0.9882151602120383,1.0853815777071145,0.8858266928343644,0.019864480203955568,0.9656282534772029
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5027717292055452,0.3891246106983287,0.009216494631215879,0.9925959494855988,1.9375181069042324,1.2788229478144009,0.032180669106541424,0.88982192196908
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5338226060709281,0.38332098699249,0.008962646417939056,0.9919599401787379,0.9522649438510398,0.8042055396696108,0.019354867152833837,0.9751006955425723
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6307056372943045,0.4618342161600569,0.010899146705278579,0.9891188537480338,0.9833298070790378,0.8184295802833765,0.019415234424180135,0.9680511695550437
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7100328717867055,0.5399936389079134,0.01220753804459625,0.9826903592118988,1.4800906876690276,1.1494599995570898,0.027369692497320162,0.9437389163844385
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.679339363835437,0.5350952567041447,0.01217843985294192,0.9883039483105569,1.0806125471663017,0.8949892445792138,0.020243984344784888,0.9659296401793654
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.4991485351746005,0.3860645199665982,0.009123514123362214,0.9927022786563954,1.7317613398119478,1.0831382211330713,0.027395619487862823,0.9119803306582813
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.532430335523412,0.38107217535508414,0.008891789169264214,0.9920018242834008,1.0204323459813416,0.854879655416033,0.020531227233900266,0.9714082949388559
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6292284951133622,0.46486784875920384,0.010996710771006297,0.9891697623725852,0.983368434068268,0.814683176226321,0.019352405514389482,0.9680486594890225
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7144743568070365,0.543226353805677,0.012276752728050136,0.982473127110266,1.48657344886615,1.1544638399107265,0.027435777957051256,0.9432449927068143
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.6721235976237497,0.5272173299198656,0.01202318592153914,0.9885510935902299,1.0678707917236514,0.8662292642508986,0.01942660154324951,0.966728366440682
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.507037635781547,0.39504670539788445,0.009345947226360075,0.9924697730053285,1.7305881707580306,1.152044691237728,0.02868368803880592,0.9120995468260147
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5340675871515044,0.38417252093289805,0.008998005393152604,0.991952559020736,0.9284955965760926,0.7917493634519324,0.019128577653469436,0.9763281980342053
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6117640192244018,0.4528251744523834,0.010636550561389978,0.9896447373889714,2.1911419083936376,1.7477491987029967,0.038705987986487334,0.836779081869711
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6832644897530477,0.5230446839509186,0.012052768955744543,0.9860344616831627,1.774478866577704,1.3141551381817793,0.029374057539261388,0.9204643404622698
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6993566895696348,0.5406457217803783,0.012362433425844555,0.9863494272319722,3.0449584698351155,2.037569987951064,0.04450453438013331,0.7342511565117671
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6782958092320904,0.5268053071992891,0.012071686413878695,0.9870768828081574,1.8289751626076054,1.2410449923375608,0.029886099473728188,0.9033823755487905
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6843779891247984,0.5250772173026539,0.012032620302715945,0.9867893854352641,1.263893474284985,0.8681613292005665,0.0208151387607274,0.9548371684094739
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6158584608473092,0.459633069259708,0.010835917438272188,0.9895056612029326,2.0342418770511235,1.5989558397685901,0.03556295034611958,0.8593175293663375
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6838327374611493,0.5233500850616939,0.012084770266325588,0.9860112227024688,1.8036593855189045,1.360669679742963,0.03030603141243044,0.9178269747740407
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6994032964697182,0.5415314292368916,0.012376467104975,0.9863476077539006,3.008681277073608,2.0365246700278763,0.044631751459680465,0.7405456223518374
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6796667334832905,0.5318734726655653,0.012227274870263375,0.9870245914087061,1.7997235225561614,1.2001408541734049,0.029032248923127158,0.9064481617674031
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.681154950741668,0.5239573077330456,0.01202352123014551,0.9869135216828488,6.3267678343388605,1.1296936417435892,0.026301959090044003,-0.1316809782771926
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6114317417239103,0.4611656559167533,0.010878298602627005,0.9896559831838672,2.023119386983109,1.5923905455635865,0.03540881295425081,0.8608517241824408
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.678709609178237,0.5173236416609829,0.01192339404399401,0.986220039398202,1.7939594186878456,1.3405093532813328,0.02989493779878534,0.9187084408803209
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.7037107796967389,0.5429475179769225,0.01240100265386177,0.9861789252712916,3.021514087592459,2.0279996952129777,0.044260852716141434,0.7383276210323461
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6790069558287151,0.5208968974701235,0.011869223832021962,0.9870497706003369,1.7251704072887446,1.148171411988082,0.027681068636511045,0.9140383507286598
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.6815029061134507,0.5280554782909493,0.012115547462055652,0.9869001482985362,3.5917810547945392,0.9993483580247107,0.023548532880171617,0.6352629081852759
