Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9891021897361122,0.7246119379364284,0.017604149363249718,0.973238925395528,0.9679174442818455,0.8048058906487664,0.01923397881024898,0.969044830188815
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2397265065366365,0.9771312241005686,0.02294449116604067,0.9472305073598629,1.6616805224924334,1.0709825498867878,0.02462433510018919,0.9290868954812482
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1408642997597869,0.8922564751279037,0.0205308760888449,0.9670136928102144,1.0674551656695914,0.8202203220603742,0.018958273759303056,0.9667542607094806
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0486170997173108,0.8510440951322031,0.019744010899489108,0.9677921640694557,1.6046766402367985,0.9344910910277237,0.022537709079036856,0.9244249029633513
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9050687360614811,0.6667089340750095,0.015487744263361724,0.9768884813212826,4.920100127584251,2.5138598308732027,0.07342431302608309,0.33530945027120873
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.988664220222305,0.724239466844407,0.01761558486337733,0.9732626194891372,1.011302220465002,0.8704225442261827,0.020693334038962043,0.9662076434884066
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2300164687612407,0.9740726487826457,0.022876713058212098,0.9480538940132257,1.6943675284631654,1.0859493194850145,0.024903690089918634,0.9262695847276484
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1538853380487877,0.9097552304563269,0.02093475346139129,0.9662564299726573,1.1084197145858385,0.8483134919563228,0.019651963523372607,0.9641536292980691
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0344779699363198,0.8462850601061256,0.019660452629306636,0.968654863370495,1.4983735878197917,0.8973680101242737,0.021474815944412907,0.934106303612005
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9190860570919988,0.6728273341086057,0.01563428655262587,0.97616705486245,4.797657379395815,2.450593072671806,0.07158110213026277,0.3679810762271887
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9767991247477195,0.71582121182332,0.017433673450793812,0.9739005265482767,1.0169416749222566,0.841676708660295,0.020077546667452106,0.9658297113471797
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.245617008205491,0.986543721899522,0.023165401443260816,0.9467278525393266,1.6980923635624376,1.0795883057180757,0.024774300099228725,0.9259450559506219
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1746953763502301,0.9159397452700455,0.021066105364699078,0.9650283408230043,1.1246470008628109,0.8651329081037404,0.019949048739183763,0.96309636320444
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0560390718260217,0.8459020327677769,0.019679742418775868,0.9673346250369759,1.666801395698314,0.9507605925703467,0.02297064267777657,0.9184598767901935
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.8891790919487339,0.6547366133833352,0.01523580738042246,0.9776928626055637,4.590159829878447,2.3718987740035606,0.06904231770362461,0.42146819685113357
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9784931356312585,0.7286611297864953,0.017671799588932984,0.9735083613317758,1.964839255881095,1.3969187185364418,0.03334997663330745,0.8687531591785791
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1601763574495825,0.8561330177266762,0.020452346187047936,0.9597349723273261,1.93600108306635,1.4956569527466081,0.03375915639437101,0.9053258497537823
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.200901026324055,0.9263804926037115,0.022129728914932065,0.9597498188212663,5.621977744993959,3.5126220635092182,0.07593869863257995,0.09408619037973809
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1003625731640974,0.8506601727621605,0.020180956799606284,0.9659904695845808,2.021393839576083,1.2097685850754916,0.029364019223133118,0.8819835313788196
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.05589833097172,0.8091784318530832,0.01921733334708618,0.9685532939021356,1.7883284724025623,1.0432720017483785,0.024544028301336986,0.9095820195716252
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9843342800591511,0.7244126924281382,0.01758241976608059,0.9731911320146944,1.965150208945431,1.4038645983653464,0.03344160147722711,0.8687116139614696
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1532872359735533,0.8556398370329034,0.020494974420965543,0.9602117396616929,1.8128883319421416,1.4311508489718103,0.03239365640812441,0.9169838991195854
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2030998840763012,0.927503278592212,0.022170913808101735,0.9596022871811638,5.786460271852451,3.6129708217612753,0.07803587273755161,0.04030200536035344
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1010785287440015,0.8544117575091031,0.02025269368265889,0.9659461982959041,1.9620882459900344,1.2271622458941869,0.029658445934870874,0.8888069067737865
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0724773193286639,0.808293952003589,0.01909858658359308,0.9675580322674256,1.8514470771669678,1.0396749864971055,0.024131481526102394,0.9030868242780106
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9888627708384108,0.7304619492156597,0.017688330871511105,0.9729438928875335,1.840249629661763,1.324395665454257,0.03131092077653967,0.8848700585681891
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1423622854059787,0.83641796875,0.019958664923730204,0.9609619880052059,1.9000898430832704,1.4817710857026896,0.03356801002608614,0.9088055314422183
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2004350419264607,0.9251392701790159,0.022153329082595125,0.95978104923425,5.502979193646486,3.403047353173517,0.07365939618821898,0.13203067417256953
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0992931353137787,0.8445011173282657,0.02002341046958346,0.9660565449047225,1.9927174707497648,1.171792326196237,0.02841787747673858,0.885308245502258
Global Model,203,C,Chemical + Physical,"(2829, 17)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0656702448568933,0.8154977987740785,0.019321338882378407,0.9679685473629001,1.8506057010489705,1.06346949421423,0.024888215451186788,0.9031748871828172
