Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5298467558667337,0.39260948808133517,0.008048528894473186,0.9957287184902425,2.0334322765548922,1.5588063499760365,0.03316067442937999,0.9355146547369827
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.473212855728914,0.36411208953632695,0.007501716536866225,0.9965979157282107,2.0260626687653827,1.5722391754938667,0.033552774516401394,0.9356512579581416
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5703834341332171,0.43205941430879796,0.008812007030790872,0.9950173098149953,1.8980075024629537,1.4826915939668475,0.031652595328056775,0.9448053224866297
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.49447683603607345,0.3676102070871614,0.007621235725169956,0.9962340294630375,1.9860832075101251,1.582115089538499,0.03368388491244066,0.9423810361364128
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5725162805678385,0.4364803445409409,0.009018967778793944,0.9950122693491613,1.9929126006768934,1.5530866116490856,0.032405451723870125,0.9383238990411247
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5342000791779196,0.402800440050892,0.00830548913840783,0.995694822112661,2.002264054587299,1.5771845826470003,0.03337367212323343,0.9355631477639739
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.547417861637804,0.4165787644533767,0.008593245736658265,0.9954425421779521,1.8650765840605799,1.4805371211053115,0.0314440463395169,0.9453968917928526
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5316152456455736,0.40159150877827576,0.008406048330914977,0.9956691168708888,2.0686977165052016,1.6202518114979125,0.0341602341988135,0.9348394691376993
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.534566274826892,0.41770125028135496,0.008707429627883269,0.9955968228739288,1.959210183550831,1.573455071349572,0.03369483502320157,0.9439839834498315
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5212872694843865,0.3830598496660607,0.00785067777895818,0.9958430781514719,1.9997544967807606,1.5702469852992467,0.03311645981938394,0.9386902515290986
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6296794842716116,0.47788351923587225,0.010079785269739199,0.9939418879066477,2.077691629087625,1.6608252028106765,0.03540670943773285,0.9343558787320012
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5550040510567599,0.4075976860709324,0.008458175371920503,0.9953879753853347,1.9485255644837014,1.560489925745815,0.03243958815899097,0.9353713078265973
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6183977067317795,0.464727294921875,0.009422005055572336,0.9941499221943358,2.1255333538934824,1.6515951541839635,0.03512761969995397,0.9312468204252413
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5207157435048536,0.3954336873926716,0.008177229358804694,0.9957980028132166,2.127244075902785,1.6536613603242354,0.03583131385412256,0.9349346796622683
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6164882591588905,0.4706595645271005,0.009908626884215791,0.9941862167905442,2.0290717052367135,1.5932591474378428,0.03379421416182698,0.9371407544138118
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.7639792141305284,0.561293072222214,0.011017114041925949,0.9837814015299622,22.506556193215083,7.246382668984904,0.17357220363875397,-14.344730900124063
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5987284490978396,0.4477635728551987,0.009116188177873134,0.9938083085901672,3.173055855620653,2.611368712347907,0.05449881316819309,0.830745841169249
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5341573845315611,0.41327302544312633,0.008209563747544847,0.996726173792849,3.804371490039676,2.74858023153769,0.05983833944236525,0.793214281944587
Global Model,203,M,Chemical + Physical,"(4304, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.5934280092214717,0.44042183647328365,0.009364795036760106,0.9949962785090215,3.3696321991043465,2.7335819484470605,0.058249536213762124,0.7940802627911301
