Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.864772401617208,2.270895525351653,0.04921455005922373,0.8745962814976718,3.308526702911763,2.58784144770271,0.05528102016252046,0.8280902733708042
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.858978413680559,2.257269556228898,0.048604870495564716,0.8752635574274571,3.263342620400568,2.574010434401663,0.05486497799692412,0.8325516778846781
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.889982949886765,2.2769662872250476,0.048966661725788195,0.8715868303088373,3.312019644731649,2.568798533321206,0.05500892762683367,0.8291472459353517
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9964634615729064,2.374202809295243,0.05141386928203144,0.8607886759060339,3.59701030004392,2.817803102765765,0.061013113149382375,0.810594027377388
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8867288608159916,2.2754479590775722,0.04902761210170823,0.8728124361331593,3.0881786067008834,2.429941565187452,0.0519576967370995,0.8492148882352755
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8833457583333937,2.2834540196613267,0.04922128373590849,0.8737570991502251,3.296807530090397,2.505139002620633,0.05350727400225553,0.8253517850335944
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.926132771435324,2.3047436262041052,0.04984200528520797,0.8692820212370633,3.227787958960333,2.558659365589082,0.05539878359011426,0.8348569182302451
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8589606823392693,2.257536524166851,0.04883362154921051,0.8742713348474326,3.4074477247423167,2.6882155888012123,0.05682354927160389,0.8208625115414921
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9100197754526653,2.2964978994327807,0.04941075460206648,0.8685590072295262,3.6652579895300037,2.756770457574033,0.05858961601454319,0.8033275439705722
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.882044515366406,2.2831464647304514,0.049337946376960054,0.872476064204279,3.23796801084805,2.5329460996209243,0.05423523061666627,0.8355501780038375
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.880728467158505,2.28135969232249,0.04913920424197931,0.8725677683599224,3.160670787302895,2.462503181099892,0.05269033182430166,0.8462355005308771
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.895370029842288,2.3022297319776106,0.04977981533269139,0.8742017290290945,3.206388500501477,2.479610418279966,0.05215876647308121,0.8233909186650663
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8946141635517746,2.277684361405557,0.049222524477627067,0.8713192242484515,3.523520389031987,2.7735360095006585,0.059921451541191204,0.8088645334403806
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9046827219517906,2.2912727019157764,0.04929929794413486,0.8683156850335265,3.525173868212799,2.7460756274846596,0.059976057641792827,0.823010908711491
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9146946982098254,2.327862438407487,0.050189658080575454,0.8693566323047973,3.299993525778592,2.597902685205142,0.05514309907019191,0.8315781332092932
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.5261639676717644,2.0192933924201975,0.04136946926605719,0.826036960969978,7.830052679135248,5.935931825002035,0.13708416138894158,-0.7696436793138886
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.9640407663007307,2.31440891369962,0.05061247869966987,0.8504114136015586,4.33024115211178,3.416078046162923,0.0799369221282035,0.714232595451606
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.6980355462032786,2.123752641113281,0.04373715430075241,0.914178320541384,3.571567350382277,2.8779439481099445,0.06062351885069957,0.8099938365710528
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.58155310198018,2.0688367557075082,0.043888837435002825,0.9030884389592143,2.7850202956060763,2.225588445248811,0.04674946943455095,0.8484232770872278
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.794653602963481,2.1909731411512934,0.04843646276813956,0.8897449448918479,3.3824573256081956,2.8479713999430336,0.06783022453827842,0.8573589036386303
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.5261639676717644,2.0192933924201975,0.04136946926605719,0.826036960969978,7.830052679135248,5.935931825002035,0.13708416138894158,-0.7696436793138886
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.9640407663007307,2.31440891369962,0.05061247869966987,0.8504114136015586,4.33024115211178,3.416078046162923,0.0799369221282035,0.714232595451606
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.6980355462032786,2.123752641113281,0.04373715430075241,0.914178320541384,3.571567350382277,2.8779439481099445,0.06062351885069957,0.8099938365710528
Global Model,203,M,Chemical,"(4304, 5)",14,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.58155310198018,2.0688367557075082,0.043888837435002825,0.9030884389592143,2.7850202956060763,2.225588445248811,0.04674946943455095,0.8484232770872278
