Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2872282512377886,0.9211020888022657,0.020846669565720424,0.9252665981864837,2.7067323862021344,2.089089897557309,0.05053548845579146,0.6763593831011894
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0638225270552646,0.7261339880385489,0.016727913265613577,0.9493350957847336,3.037124547024829,2.3501722375970133,0.05386395089838192,0.6160819742643839
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.111336225196213,0.7667152557732925,0.017521408794082045,0.9458556731648237,2.5130633276875765,1.9762214178788033,0.04619856366494176,0.7035553692855478
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.051177716326834,0.7334022827507891,0.016820696551906548,0.9526183152192207,2.305873356138821,1.8044839243409494,0.04210919892960511,0.7298391081030211
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5238006638814028,1.1046927385813214,0.025602856760817846,0.9003407727335989,2.344615694009989,1.8716395786830355,0.043985870160149786,0.7279811437719428
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1411998565310653,0.7842684853751705,0.017952784772307957,0.9424056149648704,2.5388847042463536,1.9848676982678868,0.04762020470721789,0.7157259726021024
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1753243971855347,0.8369737238254188,0.019233170798435235,0.9406492403151282,2.3904806892337023,1.9758924424020865,0.04561820736895072,0.7084191715664135
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3375274331836264,0.9740979293607315,0.02230059267019089,0.920247577703348,2.6557704725030558,2.072884035612407,0.0492240668746966,0.6835742940186823
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.147741433711638,0.8399236870036669,0.01924828886448276,0.9428320110020065,2.501486659037575,2.0033220482881737,0.04613369432828095,0.6910257155008561
Global Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1982565699368537,0.8235487161732955,0.019214158843709646,0.9356680733352868,2.6495221216606466,2.0518413362048924,0.047737133474667855,0.6995252512134853
