Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.19392798913570478,0.1435543040588536,0.0030749169262239383,0.9947129484310802,2.0387684289288757,1.5855054259930967,0.03376677900840391,0.45929837723865086
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.2418786980633226,0.17962526819194627,0.0038336809840745067,0.9919978520363124,1.7051178009388666,1.315157306005084,0.02843238279106068,0.5816077355320537
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.20896670802363324,0.16659556149820312,0.003563697500335036,0.9939720874880783,1.9537022200874161,1.5485958805790652,0.03265390424921189,0.4721385531074197
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.22063281112932354,0.1699954276861147,0.0036197612915873896,0.9934084549959538,1.6976097637743248,1.316353110661582,0.02817675673106691,0.5608069310627417
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.23522150095689903,0.1747920950561839,0.0037256547237228587,0.9923847768228928,1.7676662773963978,1.3460613755322004,0.0288841787948169,0.5677211493832333
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.2405251548556448,0.18201132387461894,0.0038818802522451812,0.9919168989277785,1.8185895720880771,1.403288709045087,0.030269648205268142,0.5598778653254822
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.23932295824808578,0.18199002662678399,0.0038873304143774317,0.9921572572296263,1.9415752822796177,1.4587923201303632,0.03135079863192889,0.4727265428642078
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.21520819158395876,0.1645019097537649,0.0035242064338241817,0.9936691463716596,1.7165194182462562,1.332364876560433,0.028598288729146236,0.5616210504917754
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.24903153643011589,0.19009878666209923,0.004031348040332196,0.991321433132422,1.7904050716444448,1.3535576552941055,0.028922667230909957,0.576658393964101
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.22232951842437218,0.17104334671059926,0.0036605647308298496,0.9933262878145045,1.6944405506324953,1.3332679910003824,0.0286399453559937,0.5671628987528409
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.2679618894651111,0.20212815750476912,0.004333194423277635,0.9903426118832646,1.803110048473439,1.4354218780679044,0.03076579722951179,0.4996373869416768
Global Model,204,AY,Chemical + Properties CS Less,"(975, 7)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.22506996872531138,0.17210936139720343,0.0037051723944864536,0.9929626967412265,1.6838759212258163,1.3116967821878098,0.02808562128200806,0.6146982874264921
