Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,AY,Chemical + Physical,"(64954, 9)",1,Conv1D_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0302190099405863,1.55182388153783,0.03510342799025563,0.9125179122352189,2.01131674659805,1.5370556122072847,0.03618569250064359,0.8897905940541427
Global Model,204,AY,Chemical + Physical,"(64954, 9)",7,Conv1D_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.08878225564171,1.617631303766109,0.03613749348533188,0.9074711508667805,1.9986158080577103,1.53223863363303,0.03560928008007732,0.891275422974979
Global Model,204,AY,Chemical + Physical,"(64954, 9)",14,Conv1D_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.104219889000838,1.6432101256161065,0.03697377612359363,0.9061698690941387,2.087784858722852,1.6106285110287022,0.037702760677123776,0.881342415290955
Global Model,204,AY,Chemical + Physical,"(64954, 9)",1,Conv1D_4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0302190099405863,1.55182388153783,0.03510342799025563,0.9125179122352189,2.01131674659805,1.5370556122072847,0.03618569250064359,0.8897905940541427
Global Model,204,AY,Chemical + Physical,"(64954, 9)",7,Conv1D_5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2706303248943494,1.7629034844493006,0.03919080635318487,0.8906588370051338,2.1055080803003072,1.6235998241162188,0.037469080333829875,0.8793345559596738
Global Model,204,AY,Chemical + Physical,"(64954, 9)",14,Conv1D_6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1175262841111526,1.6479138988732227,0.03696824524972245,0.9049794151092814,2.0495738458125925,1.5828750476137383,0.03680207274359597,0.885646053378343
Global Model,204,AY,Chemical + Physical,"(64954, 9)",1,Conv1D_7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.056316746976774,1.5877035939657065,0.03600078222795887,0.9102543548289983,2.0789178780688156,1.61205855104536,0.0378924188112464,0.8822577338475406
Global Model,204,AY,Chemical + Physical,"(64954, 9)",7,Conv1D_8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.075899865791694,1.6147379478905595,0.03634372173412855,0.9086089592199861,2.021992722867635,1.5631959266704056,0.036423747150488385,0.8887171429816783
Global Model,204,AY,Chemical + Physical,"(64954, 9)",14,Conv1D_9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0789622247733095,1.63927658716528,0.03742813522541785,0.9084088997364764,2.060567612192317,1.6248845376666343,0.038558917727704194,0.8844159905637491
Global Model,204,AY,Chemical + Physical,"(64954, 9)",1,Conv1D_10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.056316746976774,1.5877035939657065,0.03600078222795887,0.9102543548289983,2.0789178780688156,1.61205855104536,0.0378924188112464,0.8822577338475406
Global Model,204,AY,Chemical + Physical,"(64954, 9)",7,Conv1D_11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.392806540958706,1.8720872373502124,0.04154711216381905,0.8785755916647395,2.243063681991436,1.733339168736328,0.039864526307084765,0.8630530709829702
Global Model,204,AY,Chemical + Physical,"(64954, 9)",14,Conv1D_12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0404862108839943,1.6050143777081975,0.03659061331719882,0.911767739018456,2.0549515671385334,1.616299584610928,0.0382285409217123,0.8850451768234879
Global Model,204,AY,Chemical + Physical,"(64954, 9)",1,Conv1D_13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.4330389194584434,1.8721101288006445,0.041145211689820806,0.8743589748998672,2.218669826852041,1.6817129144470353,0.03848626965212284,0.8658955848420211
Global Model,204,AY,Chemical + Physical,"(64954, 9)",7,Conv1D_14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.083073426595175,1.6128912056760396,0.03596494501420236,0.9079762389661297,1.9795810422122433,1.532153211823718,0.03577068606104224,0.8933365411761903
Global Model,204,AY,Chemical + Physical,"(64954, 9)",14,Conv1D_15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.227502746224976,1.729591079858712,0.038322701980888774,0.8948530750700141,2.092753322957897,1.607862997512602,0.0371642941027523,0.8807769859004664
