Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",1,LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.97403360579928,3.086022490322112,0.06947456386746173,0.6648058506130698,3.752184853768965,2.8347859652712315,0.06865553352036084,0.61644630207285
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",7,LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.445258912719806,3.489186184537126,0.07943004664336004,0.580931570681234,4.650618003898237,3.7648471069217484,0.08916970549654761,0.4113048910006962
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",14,LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",6.001277612512505,4.811863640743231,0.10735652892556567,0.236783915793482,5.011642329032893,3.9821745143829377,0.09639710901772952,0.3162707584067428
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",1,LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.42431864967899,3.497112310142249,0.08191964764441298,0.5845429283624226,4.586212325858082,3.5219653420393238,0.08759985186476545,0.42698493957842454
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",7,LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.6472036083407455,2.9145072355388724,0.06763689418489297,0.7178949638495984,3.879242357168205,3.128364012809555,0.07569604243649064,0.5903971999381579
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",14,LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.5354414343829537,2.7855895570722695,0.06441230592417263,0.7351210936277259,3.3182642255573964,2.6614649449728542,0.0642928060855274,0.700259141709262
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",1,LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.945773766281193,3.0585441213557933,0.07027194018531531,0.6695561137637475,4.036376233001284,3.0519123245251003,0.0743961107692475,0.5561451162810398
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",7,LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",11.785455708948687,9.814394908318974,0.20208910153359863,-1.945666540677709,10.138426424499125,8.412973168913094,0.17989003099948764,-1.7977583340028964
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",14,LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",6.848293662481552,5.505192721759313,0.11828888876692821,0.006140873868283547,5.263043814586371,4.217151799003096,0.09727520726818545,0.2459537442932519
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",1,LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.244540076205462,3.365337333562981,0.07574860750613528,0.6176204692122432,3.889011866280811,3.0372349642312373,0.07345464119210111,0.5879629598796341
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",7,LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.6721084645599453,2.921916223730704,0.06733001357904247,0.7140291127275575,3.5984362416479634,2.863895439653733,0.06987950662456653,0.6475506493804276
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",14,LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.200388013795798,3.198253812335345,0.07119176736072852,0.6261142605795293,3.54406272867769,2.737812118554198,0.06485448011163752,0.6580781796015513
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",1,LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.147744630111447,3.295095721978613,0.07470900303948928,0.6348617090585202,3.905218916182239,3.051872935259131,0.0740966516013507,0.5845215614805788
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",7,LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.015728533903849,3.224483238233814,0.07278177120397084,0.658005190648144,3.32463823249208,2.6714692769363753,0.06523613784420354,0.699144552041087
Global Model,204,AY,Chemical + Properties CS Less,"(64954, 7)",14,LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",17.63978769179517,16.24727014073563,0.3482747210700031,-5.593967272761835,15.984817311394716,14.79195837505935,0.3290415838137059,-5.955676431207572
