Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,F,Chemical,"(62318, 9)",1,Bi-LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.3657506885874007,2.494616223078933,0.05466652767951942,0.7574465969742278,3.3503153871203453,2.4717798665005453,0.05770384272837213,0.6873162709208201
Global Model,204,F,Chemical,"(62318, 9)",7,Bi-LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.202475670277715,1.7184769226621637,0.0397183285547922,0.8962245876936398,2.8294288681557647,2.211402507761913,0.053021571235936815,0.7770000965692752
Global Model,204,F,Chemical,"(62318, 9)",14,Bi-LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2621976289421206,1.7224775597975743,0.0392600047195255,0.8906016459394013,2.952145007518062,2.1907632576055525,0.052596158611970235,0.7573164905498861
Global Model,204,F,Chemical,"(62318, 9)",1,Bi-LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.3475362147187795,2.50940580342927,0.05723634034175699,0.76006475179538,3.6368154367965295,2.669277830554712,0.06387504386592777,0.6315518142225951
Global Model,204,F,Chemical,"(62318, 9)",7,Bi-LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.166527389351559,1.6503622589156326,0.0373732198008842,0.8995845368376512,2.708540292370277,2.032832547739323,0.04781477673949762,0.7956485537858847
Global Model,204,F,Chemical,"(62318, 9)",14,Bi-LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.223456615871776,1.6588117893679475,0.037010942433995546,0.8943165403181624,2.488382023206726,1.8009797248338109,0.04219214603820678,0.8275754881297385
Global Model,204,F,Chemical,"(62318, 9)",1,Bi-LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.598632169059253,1.8880412994741853,0.04306157449092856,0.8554117150629255,3.1246585153220146,2.2594902489555118,0.05400646639048453,0.7280187146478418
Global Model,204,F,Chemical,"(62318, 9)",7,Bi-LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1019981464201285,1.5877240055360882,0.03607251967771564,0.9054771330461975,2.615751203711453,1.9990347439724634,0.04770965040223296,0.8094100561190759
Global Model,204,F,Chemical,"(62318, 9)",14,Bi-LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.7207732388075043,1.323082720152198,0.030092494546119158,0.936700979617649,2.4494807199649222,1.8804765915127861,0.04443989409734616,0.8329244322326984
Global Model,204,F,Chemical,"(62318, 9)",1,Bi-LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.9036659856081797,2.157804822847241,0.04936328892382972,0.8194752302114815,3.338745021488797,2.4766646961774432,0.05932141614063725,0.6894722577333319
Global Model,204,F,Chemical,"(62318, 9)",7,Bi-LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1177618128446833,1.6174858133687435,0.03682201778073233,0.904054092707169,2.575232045070587,1.9617399499230133,0.04656370554860131,0.8152689706253115
Global Model,204,F,Chemical,"(62318, 9)",14,Bi-LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.6414077804769804,1.9999557879794734,0.04386298059507443,0.8508509100808953,2.509031594394149,1.8610234950114979,0.04304835916545203,0.824701921787969
Global Model,204,F,Chemical,"(62318, 9)",1,Bi-LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5151466893403587,1.8152643023378856,0.04096975164152981,0.8645527711971391,2.9379916966562822,2.138712219884726,0.05095793438871962,0.7595443274220619
Global Model,204,F,Chemical,"(62318, 9)",7,Bi-LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0417685643019694,1.5431139899417758,0.03501787031266023,0.9108163476272044,2.8543139619496327,2.1313113390105496,0.05063130214763011,0.7730602363328963
Global Model,204,F,Chemical,"(62318, 9)",14,Bi-LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2800565882738226,1.743163130656865,0.03957064294708621,0.8888675333653572,2.8431074857872547,2.178539092303862,0.05165505860472059,0.774912461215173
