Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,F,Chemical + Physical,"(62318, 17)",1,Conv1D_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.8662494476138354,1.4169884923825087,0.03176347190161547,0.9254267844662616,1.8360543347773688,1.3779695419988576,0.03219027244712615,0.9060914883912194
Global Model,204,F,Chemical + Physical,"(62318, 17)",7,Conv1D_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.01080237376693,1.5588982484255414,0.03488439610195417,0.9135010159320948,1.869505289188902,1.4286981019869553,0.03353379681621789,0.90264449567285
Global Model,204,F,Chemical + Physical,"(62318, 17)",14,Conv1D_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.403835394189114,1.968026426383665,0.04666135373321089,0.87647377964213,2.5424982987283027,2.1317920881273387,0.05214941252825567,0.8199943086198346
Global Model,204,F,Chemical + Physical,"(62318, 17)",1,Conv1D_4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.8662494476138354,1.4169884923825087,0.03176347190161547,0.9254267844662616,1.8360543347773688,1.3779695419988576,0.03219027244712615,0.9060914883912194
Global Model,204,F,Chemical + Physical,"(62318, 17)",7,Conv1D_5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2480667086588277,1.7624991147227016,0.038672699317954695,0.8918838389037935,2.0934779073940524,1.6074830520240853,0.036683801374945695,0.8779201804359951
Global Model,204,F,Chemical + Physical,"(62318, 17)",14,Conv1D_6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.179227827745978,1.7560877988575248,0.04100422495305481,0.898479213366423,2.2944379724829864,1.8834433487491231,0.04556054667498824,0.8534055468260735
Global Model,204,F,Chemical + Physical,"(62318, 17)",1,Conv1D_7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9171431334349405,1.4652217789018178,0.032699962910649895,0.9213040174022428,1.8899553240798355,1.4225413730930176,0.03327588980565816,0.9004968166307084
Global Model,204,F,Chemical + Physical,"(62318, 17)",7,Conv1D_8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.8648049022115203,1.4370546469191947,0.03239782403105087,0.925605807767604,1.7858950721526274,1.3630435982074687,0.0320766948414911,0.9111578638498791
Global Model,204,F,Chemical + Physical,"(62318, 17)",14,Conv1D_9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.4282971392542976,1.9874809626148544,0.04604762144750841,0.873946949927821,2.576135795580685,2.1629029524021206,0.051739144824105646,0.815199816049174
Global Model,204,F,Chemical + Physical,"(62318, 17)",1,Conv1D_10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9171431334349405,1.4652217789018178,0.032699962910649895,0.9213040174022428,1.8899553240798355,1.4225413730930176,0.03327588980565816,0.9004968166307084
Global Model,204,F,Chemical + Physical,"(62318, 17)",7,Conv1D_11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9359354583087571,1.5122638765132745,0.03461235075845349,0.9198222292630474,1.9019235765802305,1.4756566988097086,0.03533634129327669,0.8992388214420884
Global Model,204,F,Chemical + Physical,"(62318, 17)",14,Conv1D_12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.4642825241537283,2.037112502776438,0.047876522726704715,0.8701832606634653,2.6002775379049528,2.199529412881226,0.0533322254793378,0.811719950599191
Global Model,204,F,Chemical + Physical,"(62318, 17)",1,Conv1D_13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.132186781632514,1.646477263848997,0.036241988756639774,0.902659408980223,1.9394770407597155,1.472525431453861,0.034371643365948605,0.8952140187679625
Global Model,204,F,Chemical + Physical,"(62318, 17)",7,Conv1D_14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.074821665941197,1.6277042687922494,0.03613750743620062,0.9079054824790501,1.9156615012398712,1.481347522496309,0.03471494864240173,0.8977779332822489
Global Model,204,F,Chemical + Physical,"(62318, 17)",14,Conv1D_15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9409212432658194,1.5000361340362753,0.03352480363091272,0.9194685481133954,1.8402112893327955,1.4013674838666352,0.03298494577204258,0.9057024788984136
