Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,I,Chemical + Physical,"(63772, 17)",1,LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1082448227911827,1.611627453667198,0.035997473825850196,0.9050358073162417,2.0188889189071877,1.5385743097775184,0.0356785449731891,0.8869415889799155
Global Model,204,I,Chemical + Physical,"(63772, 17)",7,LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5740385971647015,2.0079017969348296,0.044356787250417494,0.858556290642531,2.3287399653229697,1.7657771246248124,0.04079369040649159,0.8496969225913757
Global Model,204,I,Chemical + Physical,"(63772, 17)",14,LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.776255124301253,2.9663869861158307,0.06724494402325962,0.6957951689703903,3.3320747197189644,2.645654001936745,0.06391402570013838,0.6923304449679639
Global Model,204,I,Chemical + Physical,"(63772, 17)",1,LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1168811034303388,1.6222478965104192,0.03642182347253223,0.9042561851127779,1.9956141781333026,1.505585648654976,0.03517848473866052,0.8895333483579979
Global Model,204,I,Chemical + Physical,"(63772, 17)",7,LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.157514849217041,3.271475025117572,0.07085431075018217,0.6310044355332529,3.5210935652893354,2.757582368888415,0.06262113991997363,0.6563779606465447
Global Model,204,I,Chemical + Physical,"(63772, 17)",14,LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.093030468661004,3.1334455942002544,0.06897760551533064,0.6426173978738307,3.3343742084663126,2.5700085064702143,0.05992105529476913,0.69190564849209
Global Model,204,I,Chemical + Physical,"(63772, 17)",1,LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0323062608512754,1.5787657995503033,0.03623710636283765,0.9117537812000656,2.0753391737463556,1.6277685842025014,0.03881464525999984,0.8805307337543311
Global Model,204,I,Chemical + Physical,"(63772, 17)",7,LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.885226816847322,3.093102213835894,0.07150642183164342,0.6777549291313053,3.6740998292207205,2.899596633187167,0.07121025581488138,0.6258654768345864
Global Model,204,I,Chemical + Physical,"(63772, 17)",14,LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",7.032064302246913,5.785230687397649,0.12749472985928914,-0.05489471903370036,5.770391046446899,4.750490664911727,0.11285453636649627,0.07728931281970508
Global Model,204,I,Chemical + Physical,"(63772, 17)",1,LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1882563232389645,1.6769707234581397,0.037354171074204495,0.8976909199163609,2.0161577099035664,1.5318206352579646,0.035629239120252086,0.8872472791840502
Global Model,204,I,Chemical + Physical,"(63772, 17)",7,LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.940527773020558,3.067430244535482,0.06858840797397833,0.668516196629684,3.3988637134569335,2.6557184300504866,0.06279380447049879,0.679820603885307
Global Model,204,I,Chemical + Physical,"(63772, 17)",14,LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",5.6420854472033835,4.456199765842167,0.09521557916515071,0.32091713898191343,4.354040038590089,3.422139179229737,0.07768802750384463,0.4746606929052517
Global Model,204,I,Chemical + Physical,"(63772, 17)",1,LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0916085647427534,1.6123638247650784,0.0371379654421847,0.9065286277586887,2.150065963491422,1.690259885544199,0.04036482240873645,0.8717723754112147
Global Model,204,I,Chemical + Physical,"(63772, 17)",7,LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.296505433044761,1.8087108507920187,0.041580047591932574,0.8874129390796693,2.197039162104394,1.740001433561181,0.04175690438350803,0.8662168318899005
Global Model,204,I,Chemical + Physical,"(63772, 17)",14,LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",5.64154149569256,4.297606158202383,0.09853033356294855,0.3210480729585041,4.68797249652084,3.77784493464022,0.09258880693555979,0.39098895317466
