Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.491973935238047,1.0977247755805255,0.024903408651426373,0.742318608599106,1.5665762407201256,1.1730051499061378,0.026601904668309338,0.6813869748221965
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3817411411780094,1.041303672644556,0.023511738489018993,0.7670305611545749,1.95120804336011,1.3190508572690125,0.03066513981590073,0.6060823600022986
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4522675604360946,1.0515112821790702,0.023867134485701474,0.757745104369576,1.5468766672149454,1.1972595097997167,0.02677159555891475,0.6647655758235917
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.473301648078801,1.0600502411528487,0.02411320039114431,0.7423195559141691,1.6135718434545299,1.2085721449293527,0.027470354983917835,0.703459713841315
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4392160335856654,1.043316344383706,0.02363133212446201,0.7532341576644799,1.790962020681793,1.3851844337428858,0.03161680371229245,0.6402401629069513
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4468693737751381,1.043860246580547,0.0236173940227204,0.7467729226203195,1.6745503362865268,1.2464031975548548,0.02863780939465362,0.7027279172634463
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.460549294934528,1.0592626342388285,0.024057120256960187,0.7528681609496326,1.5781315979265598,1.2130393218994142,0.027474626432536387,0.6798536726680662
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4301927231034492,1.0511180198342143,0.02379273856362397,0.7581532707428419,1.816477395151581,1.2942579024031355,0.029740438664538845,0.6143315282939046
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5084445502590476,1.0981470005563627,0.02486642451004536,0.7323942986608796,1.5040013845771238,1.0904880739504152,0.02473352851732825,0.7354636710957618
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.428519109244009,1.0293127769040855,0.023409668917390714,0.7599828750855396,1.7823383177889849,1.3776433777920956,0.03089880702147728,0.5990947841975132
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4515952445628921,1.0555269355099468,0.02397656382956434,0.7483082294659189,1.6524863131405896,1.22329633145719,0.02759714562503608,0.68921497001206
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Conv1D,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.440530389001471,1.0335488631337575,0.02345372239658884,0.7598360921653751,1.6118554992948422,1.1965784139547262,0.027068114743948175,0.6610607623201827
