Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.387463450963936,0.9986355168099148,0.02261971446375715,0.7789288291161909,1.4645557154441018,1.1131129536387907,0.025009826118349832,0.7244486353370043
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3071432780746968,0.9791963866154508,0.02207440885225293,0.793158323853201,1.7623441057989238,1.1719166225857205,0.027187580635294042,0.6738369702584581
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3789930996099728,1.0005366885578861,0.022732797347438365,0.7827546353144779,1.496362221033856,1.142693254762765,0.02548821145763368,0.7043201538150298
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3511424513313766,0.9964562615162278,0.022555365426156812,0.7844879544200724,1.629260434076982,1.1653238405406983,0.026478775469906755,0.6956058634521682
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.384332023920962,0.9981990150658735,0.022576512730699477,0.7725247074308492,1.6750510863342098,1.2421209466631322,0.028311804674680384,0.6842237598065293
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.362095559133171,0.9947446052048663,0.02247051076326899,0.777110605959133,1.6107368457322138,1.1303489645933495,0.025962300325102165,0.7207737267517361
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.364775947006709,1.0010545077509792,0.022642593545865473,0.7859096144640514,1.6462843733591452,1.2283837864541602,0.027708169077555803,0.6535029362678465
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.33402775310459,0.9841911067154048,0.022243241504495623,0.7906607905414229,1.7120366598671706,1.1837979264218583,0.02709427213388637,0.6599741309407536
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4802065251091485,1.066323615214632,0.024175725546025564,0.7436771926056799,1.5574401961478754,1.1255921216133316,0.02565943540629083,0.7122901262876864
Global Model,206,B,Chemical + Properties CS Less,"(1169, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.254274895980695,0.9131800585689709,0.02069708452400139,0.816009920242797,1.7249639814821616,1.2781453531073852,0.028653683532774768,0.646715379519385
