Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,204,B,Chemical,"(64121, 4)",1,LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.366374266692869,2.4957298085477655,0.05703119242762212,0.7599643102309199,3.5246252144272314,2.6126939666947946,0.06249775620196684,0.6570188597992521
Global Model,204,B,Chemical,"(64121, 4)",7,LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2954752052035574,1.7612279829514024,0.03954524642438829,0.888485223045401,2.5639010447204043,1.9294744322981687,0.04488177131831871,0.8185463762152193
Global Model,204,B,Chemical,"(64121, 4)",14,LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5019623902248678,1.9272616295206138,0.04242196269674219,0.8676227236503609,2.6780057928726255,1.9914456203300108,0.04546658952007664,0.8021820008150733
Global Model,204,B,Chemical,"(64121, 4)",1,LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.1508423394487086,2.293493858244149,0.052090985648281685,0.7897169011388718,3.389900827383267,2.494128923951575,0.05912495728429849,0.6827377950606446
Global Model,204,B,Chemical,"(64121, 4)",7,LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.3846194900323363,1.8264967149635647,0.0410344219621139,0.879655738441288,2.793288077978244,2.087699247266032,0.048782766994164756,0.7846253509672687
Global Model,204,B,Chemical,"(64121, 4)",14,LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.512519420179139,1.9395440977554619,0.043762671261504335,0.8665032349836862,2.718338688711839,2.0619992945567303,0.048075944989254805,0.7961785376400801
Global Model,204,B,Chemical,"(64121, 4)",1,LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.075836601347184,2.2406007006784066,0.05060855984276871,0.7996093083527859,3.262154037536592,2.3603435516714386,0.05551983281614254,0.7061989922838232
Global Model,204,B,Chemical,"(64121, 4)",7,LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.448791489908438,1.8706330763319716,0.04204896541682599,0.8730914673798125,2.7852955189994244,2.080024758489224,0.04851571381489229,0.7858561096900647
Global Model,204,B,Chemical,"(64121, 4)",14,LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1441744805862277,1.641190346990679,0.03646215764649796,0.9027763026708238,2.649652806525712,1.9678750537875345,0.045409566105449335,0.8063485640419938
Global Model,204,B,Chemical,"(64121, 4)",1,LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.5780943475899116,2.7532642270805128,0.06114374743997142,0.7288219091400219,3.3830199600308006,2.5483485744093186,0.058948560845811834,0.6840244542744298
Global Model,204,B,Chemical,"(64121, 4)",7,LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.356775114090412,1.8081053793434942,0.04068732730653627,0.8824497667232846,2.6678174601112956,2.017058491690349,0.04738783480659917,0.8035394532556686
Global Model,204,B,Chemical,"(64121, 4)",14,LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2599666045011846,1.7373994025996573,0.03894402163189051,0.8919919984602629,2.559413712560606,1.9229629168158207,0.044713902906281126,0.8193143070783049
Global Model,204,B,Chemical,"(64121, 4)",1,LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.1391807752590384,2.275226897448521,0.05187159900621697,0.7912705757597344,3.40270549533757,2.509267062914795,0.05952187958926767,0.6803364801459686
Global Model,204,B,Chemical,"(64121, 4)",7,LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0965193894693415,1.6161821813839172,0.036510385715493796,0.9069781495452557,2.7480647098074624,2.068507151512201,0.048536889398898726,0.7915427341266844
Global Model,204,B,Chemical,"(64121, 4)",14,LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2412781852336328,1.727375040643488,0.03925643876455107,0.89377092120391,2.8026982013452324,2.1168455166381155,0.04957640349153791,0.7833316628395639
