Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0700267057458321,0.8110136416884149,0.01803494564347435,0.9027720558454925,1.7235688826923794,1.2937097825066892,0.028469055956949693,0.7092574270857919
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.057893554033458,0.7965650606741529,0.017741980757067663,0.902311066055042,1.6806149061175732,1.2792599738677801,0.02870026322746063,0.7548397344465686
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0888731605402426,0.8150041074056342,0.01808198344189845,0.8930047715674334,1.692694877893488,1.326389919126654,0.029966279270400423,0.780107863721353
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1286162888405191,0.8496827617212214,0.01888901832398649,0.8927721010439326,1.5169679991182985,1.1786562638475717,0.02628918448343543,0.7656508471434889
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0903788853865186,0.8143020668470791,0.01804846786916047,0.8935707406094092,1.5968250291860009,1.2283107425855553,0.0272644316156691,0.7987747227433375
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1009825285060315,0.8412699751119551,0.018631594433432666,0.8948362848890038,1.6282626876031139,1.2345715010097262,0.027401677042117004,0.7646395374798606
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0723748585927368,0.800161702341561,0.01773700088475085,0.8999669794996918,1.7676829670105383,1.3521375601002246,0.030196425244334593,0.7253240889036469
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0983623779185956,0.8242195788622765,0.018334124860903103,0.8946195532722723,1.6481282572583902,1.281654661101413,0.028436241909496406,0.7641605706347829
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0782356576352186,0.8107647651015895,0.018076567417881603,0.8983627334258589,1.6119992523197748,1.2497627059848322,0.02763211583312248,0.7762873669286998
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1053601890347058,0.836697346902307,0.01857739614987969,0.8933475870126212,1.5562039459096555,1.213777746670488,0.02719734928912734,0.789642934316131
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1001977136982175,0.82233616242095,0.018244271542674585,0.8935614943944235,1.5973533671785232,1.2486624635023877,0.027883952651959865,0.7843789675640296
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.126562499616221,0.8544884914086508,0.019009679726790452,0.8907895675236515,1.5290301602227614,1.1973036617212898,0.026625643626282725,0.7852408304000853
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0918768736070328,0.8218455256022842,0.018228839469158747,0.8954142931571895,1.7425765226462535,1.3226451653276567,0.029589011935602177,0.7414010649459446
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0539614991219972,0.7881492316852164,0.01751563878847582,0.9026174245943561,1.7558718818706456,1.3360289755584185,0.029662446595518532,0.7370562292431461
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0741064684769792,0.8129227643757198,0.018094723774322318,0.9002267616947407,1.7399086506534072,1.290448230245839,0.028776291145100986,0.7261919202435707
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0250565610456142,0.7725115098815031,0.017166518678137285,0.7567398902027092,1.926306085716259,1.5089361771293313,0.03292265288666891,-0.08316162628718637
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0964473796192262,0.84259091252866,0.01793873722157408,0.8085651290059344,2.9394355316201106,2.3672980156497685,0.0500279853714972,-0.08581252330414979
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2121173223099424,0.9404967764149541,0.020984077003909283,0.7096593851808426,2.4407405885200957,2.042232015858526,0.04472053927010398,-0.746274872791397
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.8930975414300419,0.697714446247488,0.015686004953106826,0.8841441985386473,1.9888250930470774,1.5545628865559895,0.03731259485031373,0.7954585574563812
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9046956862595871,0.6494861271070398,0.015331915548664116,0.9598892194698478,1.6830641842527079,1.3523347826971523,0.03271120412420416,0.8959748181456639
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.026875166140909,0.7727998788805971,0.017154320534453076,0.755875964193305,1.9719900158023183,1.5245327603989753,0.03319884774271041,-0.1351469741085558
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1268166797975672,0.8667478561401364,0.018361327846294552,0.7978135736906996,2.968497434493768,2.3944174172221757,0.050333152089610395,-0.10738930030713645
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2173919460990206,0.9327048426089077,0.02075055243155851,0.7071270072155067,2.3098088336208344,1.930372873942057,0.04219798651295812,-0.5639448493851289
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.898230418626301,0.6951414329418237,0.015592083813145108,0.8828086613770749,2.0968639362130306,1.6448869566986526,0.03952864618380903,0.7726323706790805
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9133152461138659,0.6605446856954822,0.015552393293154138,0.9591212611419911,1.7179244272153047,1.4034204897673235,0.03362754084309162,0.8916209756451154
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0203233387672,0.7731657995693924,0.017215102889542602,0.7589812218465577,1.9623513102392034,1.5254917421202732,0.03325610139373348,-0.12407733605524185
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1065067568110238,0.8508546248726224,0.018134061480301205,0.805036369910135,2.896543375421384,2.330381973930028,0.04931021048195879,-0.054355432239289625
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2055713367476415,0.9256942721380703,0.020654868802132458,0.7127868605139893,2.3971640898673146,2.012498109237007,0.044081859430653035,-0.6844762214440259
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9061012640535564,0.7075511268947438,0.01592602980305233,0.8807458583651402,1.9781882278125704,1.5217875052189482,0.036677676048431945,0.7976406112279958
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9093313928768788,0.6566409788269926,0.015529625818365735,0.9594771069745683,1.6463706126315663,1.320557967476223,0.03197021357900855,0.9004612143838824
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.124028740834854,0.8485780075759621,0.018727395770500664,0.7134639999546958,2.582440427464765,2.0704763995276547,0.043301785999639346,-0.038622060907415934
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1766056863319834,0.8815094205700962,0.0191503181477922,0.7803033292158015,2.437701581344221,1.8648527595731947,0.04011316695970603,-0.014525774548372228
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2269712392655492,0.936579934710023,0.02028734213061467,0.7553518991219517,2.2109835140786718,1.7825652890735197,0.039885758864355664,-0.22298029435204625
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2083950869493603,0.9174071789201403,0.020087380836592297,0.7514983553891752,2.7255359216281874,2.2625248299704657,0.05370451562914311,0.4560581216113957
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1415748736020361,0.8666452597115788,0.019188751400468565,0.8408145340046027,1.976934804851893,1.5484694242477421,0.03729477519789304,0.8323177922968503
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1044324798934153,0.8443682713492104,0.01868705713648909,0.7233678180878687,2.491056885556252,1.981714553303188,0.0414728590501378,0.03358378176005705
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1948259107033463,0.902275012725354,0.019523346854428383,0.7734464592614183,2.528225096193393,1.9321725500954523,0.04151389637373485,-0.09127318276463825
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2197418368381987,0.9311981686277886,0.02020791789302642,0.7582263740622791,2.142825526699298,1.746586071120368,0.03918334259327957,-0.14874087177370998
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1967272360025702,0.9085582028444394,0.019923585721509894,0.7562740814487311,2.752653234207326,2.3080454667409263,0.05484463301761006,0.44518054007735663
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1451166590340973,0.872581053077968,0.019300750713077484,0.8398252421313364,2.1019958498192537,1.656616952684191,0.03967791919158067,0.8104315771779977
