Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1269244655343884,0.8660138199834484,0.01935101127212988,0.8921571183569149,2.0483872362137965,1.586725080633439,0.03531013843133298,0.5893465630787235
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1604057926453728,0.8855005320826908,0.019748287770276516,0.8824612129441867,2.1220666923002924,1.595408577450438,0.03615720581908443,0.6091305584392974
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.159540231800271,0.8887511423680544,0.019794274428584002,0.8786662927106911,2.0149147289473377,1.5579901568462386,0.03517195774397115,0.6884227918380379
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.164554405971621,0.891903395249373,0.019927689813743942,0.8858345391384825,1.9206902976533744,1.490833569124255,0.033237306427536924,0.6243138070118825
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2024666595793452,0.9221044082862101,0.020494462214229382,0.8705648410661679,1.9093353314375519,1.4612121692602185,0.03256747196655925,0.7123050159638546
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.150228767925566,0.8728242792776331,0.019496102660339187,0.8852180717429937,2.011990055006117,1.516926318923862,0.03402256983368859,0.6406346282245259
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1358330810805137,0.8615933719615702,0.0192040199562124,0.8877777008426508,2.1162404001468995,1.6584245317933188,0.03741055510699239,0.6063213874246388
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1647638134670364,0.8927202976361961,0.019892923518266433,0.8814928708793727,2.0605766732467,1.5428492595694654,0.03413846928314974,0.6313519316332024
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.169875744783883,0.8826969833539519,0.01971741493776182,0.8803521028405723,1.9605943386268947,1.4642720635915765,0.032393562247889134,0.6690698578525553
Global Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1731546077885324,0.9025275252457986,0.020088257514698612,0.8798638944155325,2.0051371369553714,1.4932763472847317,0.03362240210458294,0.6507694395291167
