Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7928362019070305,1.4166550129458082,0.03180502505148215,0.7270500021557869,1.829109307536758,1.4386610571359628,0.03192890057683594,0.672560808510406
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7998523670411852,1.414901372064134,0.03175492090464303,0.7172287865096721,1.911701970947489,1.4920632136350422,0.033711217963616126,0.682784765424999
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7615036220012295,1.3922008892288262,0.0310684817910038,0.7199878313439678,1.9536812483273076,1.508767607584165,0.034354364854998404,0.7070727633390141
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8213882250129474,1.4434047983077154,0.0323334194260838,0.7207326154543164,1.863654420823593,1.470126984436388,0.03272799139232905,0.6462949039478296
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7593884953069856,1.3845595293651427,0.031024612623551637,0.7229043745607678,1.9753177777003976,1.5872872283493262,0.0354472059778854,0.6920772216914728
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7719497505034651,1.3991406096639791,0.03131309303029818,0.7275995194958521,1.8230419092643642,1.430464904432352,0.03197623109176792,0.7049620565145166
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7583323424859412,1.3788512527123793,0.030828543783410177,0.7310620658943201,2.077081522240726,1.5846490915111036,0.03581925341055521,0.620755838159852
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7814484609963137,1.4002649358279105,0.031341945813101735,0.7227859341336504,1.9113630427791548,1.552453774248244,0.034458422177755535,0.6828090604562294
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7796413406890625,1.4038746462123426,0.031368963431065426,0.7231206490909482,1.7995070261418078,1.4230377991075458,0.031758303564406225,0.7212159450039757
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7833016903232866,1.403388480919634,0.031283364253012605,0.7224043281854943,1.911973581877654,1.4783446491628454,0.03323152671844672,0.6824677401352706
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8232722828378183,1.4293893826499162,0.03198451827451129,0.7076787735854297,1.9054255263506512,1.533030625712665,0.03451278625498121,0.6931874811773884
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.778329434900355,1.3930243701065956,0.03111769713302724,0.727869023713205,1.7743184730961978,1.4151056653502359,0.03164043926147633,0.710810340173538
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7769022495822573,1.3855476048401274,0.03094274693890442,0.7230176630360519,1.9607340140946838,1.5641286993302361,0.03531351575201724,0.6725987142091514
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7562519775097558,1.3910164877890852,0.03110211921941086,0.7296007919570429,1.8915300040107141,1.480642065147444,0.03276414559854711,0.6948567921755289
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7651183451125467,1.410218980271003,0.03164147312832734,0.7305569031012259,2.0141578616270452,1.4790021702863172,0.03318832892721953,0.6330724032983401
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5648101736024518,1.1729164538176164,0.02638504423957237,0.4331103068902671,1.8116914892438223,1.372908440189085,0.02986932135364711,0.041899293152623085
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8707542612413224,1.514542165009872,0.032234219853654475,0.4427129537805381,2.7844038688503483,2.2675225078195775,0.04794615797904298,0.025702867831780996
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8310002141942967,1.4881032307942705,0.0333158735069922,0.3374856845406776,1.6527744275373684,1.3627606820369111,0.029891518564558576,0.19925077403235536
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4511724574617049,1.1443889728490853,0.025812498727902426,0.6941150902207791,1.8809488546626318,1.3921859298927193,0.03372397047258358,0.817045916939721
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5842073642169483,1.2216920576233794,0.029023574990195703,0.8770070750853062,1.5459762501210206,1.3269595270571501,0.03081809017856466,0.912230674100966
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5914934662046565,1.169939372850501,0.02632847802552056,0.41361215569819754,1.8317745045468337,1.3901151021321612,0.030261051173657648,0.02054002776535202
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8576501363415017,1.4995604390683384,0.03188289441357167,0.45049289825402816,2.817446178040342,2.2938550866168486,0.048403340278346633,0.002441843416667422
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8357266330474467,1.4882480372553284,0.03336646652197481,0.3340609316491042,1.6963244041208132,1.4021640722302422,0.030789915167142447,0.15649593774400483
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4374312484394247,1.131767798161161,0.025582965579750257,0.699880536212671,1.869644368343565,1.3675274503403816,0.03336561004268139,0.8192384135469778
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5892099447473476,1.2179659553196118,0.028867825338584115,0.8762290791126613,1.5682422651221235,1.34161028654679,0.03090887857596204,0.9096842618976829
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5713657405591046,1.1695654495902683,0.026314269232491357,0.4283505375024863,1.8092513331616964,1.3666364697442537,0.029744206317584464,0.04447847489427603
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8732589718238872,1.5082959299502168,0.03208714434817057,0.4412196767400546,2.8374754641209687,2.300683450007785,0.04854112726570202,-0.011791896575314098
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8468486681467267,1.496374185534491,0.03354467035014469,0.3259670961400102,1.6437706496721596,1.3496858900871829,0.029652944499049514,0.20795145308428575
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4352095874956015,1.1294320009756775,0.02550384898125377,0.7008075348771652,1.899024196580161,1.3918187238168025,0.033920448699035696,0.8135127565108909
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5780382667699773,1.2076510691988296,0.028614936934722977,0.8779631090150749,1.5264502310772394,1.3020675216895947,0.030019870703834182,0.9144337645886944
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6388267211733663,1.2138909204608428,0.027254770294365002,0.39089742579440045,2.9215604117943554,2.282269318898518,0.04719091865776852,-0.3293111923184253
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.867561618017197,1.4229628432354855,0.031091447345532496,0.44650784531132937,2.6762897258014178,2.1776660150951814,0.04729092053544218,-0.2228361261439893
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9251465551984732,1.4875590109411692,0.03247605137864149,0.39771690106744095,2.3284875684345274,1.8145004643334284,0.04142153067448737,-0.35642660035780804
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8369142431600285,1.4262330286004496,0.03135996166272207,0.4257657017020898,4.398891949859452,3.004978153440687,0.07543329172003779,-0.4168871616880241
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7598620897291368,1.3846826784979709,0.030724723968261675,0.6216864622584641,2.7332727478526935,1.9850281212064955,0.049731402661432784,0.6794703340918093
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6255692173004186,1.2215961865487808,0.02744069540805123,0.40071239527156677,2.911382299254208,2.260374731487697,0.0467350602220784,-0.32006523511615703
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.875928675629254,1.4295815082728554,0.031165208766622186,0.44153721961407044,2.6768674441133804,2.1737881501515712,0.047148278901755075,-0.22336411910780218
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.929761926927121,1.4904184065802248,0.03242147070457958,0.39482559650983395,2.271051688692931,1.7752577861150105,0.04046615531001704,-0.2903350319494822
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8264656765822729,1.4232794074317423,0.03126908140059067,0.4322797359938626,4.023639660123391,2.8588658703698053,0.07122935692090587,-0.18545981474771756
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7702017744415157,1.3940965809977608,0.030867105592634544,0.6172280064214377,2.5961664103161186,1.9177822934256659,0.04767255763668222,0.7108206070781892
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6110264948208013,1.2017949510198151,0.0268751526231246,0.4113871654281064,3.0054734517814894,2.347982380125257,0.04850822452193928,-0.40676874708286603
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.863081417921623,1.4179698805255327,0.030929584012314132,0.4491602677715639,2.6571746301550343,2.1647082699669737,0.04697090620365196,-0.2054305710075246
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9378268994257835,1.494572779484567,0.032622912190209956,0.3897566667774778,2.312459149176022,1.8045608070161607,0.04123062937184115,-0.33781662804908463
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8474391613712757,1.4350153152981946,0.031516484358906055,0.4191665003982874,4.112377925081711,2.987244539790683,0.07402660764129841,-0.23832521050684363
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7892176636958113,1.4083854654114913,0.03124788514694074,0.6089601977506831,2.851787426413308,2.1044989426930747,0.05294220360403076,0.65107138377243
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.7804003683283762,1.4033996184839344,0.031070100428358744,0.5836361245099413,2.881747826799945,2.0618400353227737,0.051537052740926716,0.622220175576634
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.8127574462302858,1.4270533867185735,0.03154644269554048,0.5683645688955252,2.8719138763479632,2.0507080320678006,0.05130828692964958,0.6247941199133122
Global Model,207,AT,Chemical + Physical,"(1729, 18)",1,Transformer,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.7990748978769082,1.4112449999055565,0.031215733105303435,0.5748558776383508,2.737640605242072,2.021083280530279,0.050353565154486704,0.6590586477226004
