Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6632601031340032,0.5084559334761264,0.012280929292108209,0.9877327285425596,0.8126384234026685,0.6214482262021017,0.01493433849559965,0.9818742762749922
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6852625285392674,0.521775849691806,0.012528017725159714,0.986913912298034,0.7499599372021281,0.5731137697333549,0.013883830104489315,0.9844935681406605
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6629836295304833,0.5036988250722322,0.012141147226485403,0.9877970169764176,0.8043698323797285,0.6145236387947546,0.014714629259543605,0.9819239727182106
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6632525653288717,0.5041379759004683,0.012164170255266261,0.9878049044649038,0.8051066510370533,0.6182837591108099,0.014899112849616956,0.9817597056906031
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6526421316335533,0.4937798133807169,0.01186786797902798,0.9881800924249341,0.8323808108112308,0.6171406656227364,0.014960942137099881,0.9806051341427139
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6720229365738913,0.506053101141722,0.012178536447432645,0.9873914702481378,0.7844073470143487,0.6031090751526842,0.014476533752101551,0.9831910405736792
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6584329248227135,0.5036606614315841,0.012138306299315048,0.9879034488556415,0.8069048540750708,0.6164006921629247,0.01485294885935088,0.982171807659435
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.661381884758697,0.4980985982036879,0.01194223731457791,0.987855453960176,0.8134078877668105,0.6119144212331212,0.014904659941478838,0.9814533372788867
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6682163703406999,0.5096547651748635,0.012320273444734981,0.9876223016348536,0.7801230550695027,0.5896885384060695,0.014109129132493604,0.9828969117864086
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6607821328223915,0.5017379408693998,0.012090676954496891,0.9879109227821488,0.8373993487065295,0.6144259057455511,0.014736065987960142,0.9801329916150315
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.65492488889335,0.49973102180531487,0.012041454694710614,0.9880775503448702,0.8217100649643463,0.6088284447079623,0.014590359822731751,0.9812256309885093
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6671360683414249,0.5040039320096249,0.012126636611730243,0.9876075680868273,0.8029830278216724,0.6010462179626063,0.01439641182083876,0.9821815156041764
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6640598699507234,0.5065843441611848,0.012233478880719946,0.9877707080359833,0.805496229688859,0.6018318550160393,0.014438762876484872,0.9817964968097785
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6792615227919329,0.5117302919783685,0.012299732102130322,0.9871492166175404,0.8145173418910738,0.6276244389616107,0.015062853233241438,0.9816822457307269
Global Model,209,AM,Chemical + Physical,"(3776, 16)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.671238338371512,0.5020327249152587,0.01199409680001617,0.9874867325691846,0.8178631584866096,0.6149727706403926,0.015037112780267828,0.9811865855011143
