Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.889282791741146,0.667416407250411,0.016049385835039953,0.9779473896236945,1.0512162774712757,0.746905507486333,0.0178413241209937,0.9696691344144109
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8942363765581928,0.6574335299671504,0.01568695540184057,0.9777156216826405,0.9037234198819503,0.6811524009451972,0.016375570530599973,0.9774831921771239
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8606489350035169,0.6405646074706063,0.015353393155454198,0.979435769237537,0.9712105230155792,0.6982457253159277,0.016645662313496026,0.9736477198729715
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8867887251687475,0.65548027025947,0.01569746279115476,0.9781994397035406,0.9640605499496224,0.7061634715503416,0.01673671815940648,0.9738462700076216
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.868201565724583,0.6376517031233035,0.015184255891111194,0.9790827302485439,1.032229112445227,0.7484005666568578,0.017936215341021685,0.9701740100058676
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8604941839526218,0.6367552194153243,0.01522325860563409,0.9793275412484036,1.0036733504647535,0.7408379327683203,0.01753698998321502,0.9724803878273435
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8456128581746334,0.6318077366717483,0.015126616724714739,0.9800482201969246,0.9625288734661855,0.7032746139425318,0.016872217649008175,0.9746317688047299
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8665378314015999,0.644935618921133,0.01541607881308692,0.979152607135493,0.943116519501453,0.6816090211173562,0.01642277274095544,0.9750667024942458
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8803178108117635,0.656906373403752,0.015782704357729358,0.9785175084111516,0.9255064696947535,0.6800534407255664,0.016204296193262944,0.9759282741830597
Global Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.873732893803823,0.6359802007690956,0.015183977417906764,0.9788634578018611,0.9755034483426956,0.7260213950454019,0.01728700542561986,0.9730396916256454
