Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,K,Chemical + Physical,"(60916, 16)",1,Bi-LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.235144637243277,1.790090701062579,0.04165838048651733,0.8934310799308587,2.5077444651872343,2.032821024606882,0.04880650149918708,0.8280484203209886
Global Model,209,K,Chemical + Physical,"(60916, 16)",7,Bi-LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.7409206639150967,2.1466676502160458,0.049031491585435426,0.839884445814878,2.6315389254203025,2.053120911048905,0.0489261742009314,0.8108227191541297
Global Model,209,K,Chemical + Physical,"(60916, 16)",14,Bi-LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",5.33765892988606,4.456425842799772,0.10506382329158964,0.3932458210380688,5.635473198445036,4.899468491784358,0.11720848005071237,0.13312813022337044
Global Model,209,K,Chemical + Physical,"(60916, 16)",1,Bi-LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1556234169057413,1.6947064404503451,0.03917097645789573,0.9008791342131554,2.2820156450592655,1.786591098374905,0.042992816986008466,0.8576108675734373
Global Model,209,K,Chemical + Physical,"(60916, 16)",7,Bi-LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.3894995144336164,2.640475153154064,0.05813683925060588,0.7551434394115601,2.8537959480207093,2.2201871154911528,0.05134444817177237,0.7775178278964203
Global Model,209,K,Chemical + Physical,"(60916, 16)",14,Bi-LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",6.672398901778695,5.3824891318188,0.11396426807548621,0.05185416478099958,5.2502011819028676,4.194976714007555,0.09398911726156411,0.24760478714458367
Global Model,209,K,Chemical + Physical,"(60916, 16)",1,Bi-LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.119734763864992,1.6100340267596398,0.03641971549026911,0.9041521565187287,2.1307644642022385,1.6356248482512619,0.038374154937868096,0.8758603549487457
Global Model,209,K,Chemical + Physical,"(60916, 16)",7,Bi-LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.059142934971516,2.4278506854025923,0.054756346995056104,0.800547202747353,2.8575468394896006,2.3076825775083303,0.05426700058406149,0.7769326039252415
Global Model,209,K,Chemical + Physical,"(60916, 16)",14,Bi-LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",6.41344792108592,5.200954451645913,0.12052300414049938,0.12401981512334825,5.820912187294037,4.669407076173591,0.11609101896282367,0.0751395069705435
Global Model,209,K,Chemical + Physical,"(60916, 16)",1,Bi-LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0719733582203372,1.589505984160983,0.03582703387424387,0.9084227421572809,2.0191190349935044,1.5425241794694209,0.03619862213645295,0.8885286001640893
Global Model,209,K,Chemical + Physical,"(60916, 16)",7,Bi-LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.950342670453811,1.497648827642578,0.03400231423962743,0.9189295772195825,1.9867528327585853,1.5191280896299375,0.035966941528102384,0.8921706310051579
Global Model,209,K,Chemical + Physical,"(60916, 16)",14,Bi-LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",7.138200923435486,5.943411818993245,0.1297273132996464,-0.08514724866111023,5.528505269136433,4.684820653500543,0.11062942932817016,0.16572431055752668
Global Model,209,K,Chemical + Physical,"(60916, 16)",1,Bi-LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.254289246122132,1.7166098104117569,0.03867233357849037,0.8915976792871472,2.1379269492052844,1.636021221999728,0.038337424921156125,0.875024370699552
Global Model,209,K,Chemical + Physical,"(60916, 16)",7,Bi-LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.5001838974689012,2.6765582140542836,0.05831817921418807,0.7388907136479773,2.8823666270966553,2.238494515353059,0.0510541934008138,0.7730407835465729
Global Model,209,K,Chemical + Physical,"(60916, 16)",14,Bi-LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",6.3872115254770705,2.5147650243097988,0.05706123550198282,0.131172146896673,2.7311061062120205,2.163316786237138,0.051090679510073955,0.796403044557437
