Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.538197633605774,5.539697640108101,0.12619676035812777,-0.10308332663668196,210.4311733772383,19.16883057140913,0.3814415675086988,-1134.5238333374505
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.659403315830899,5.5802772326347165,0.12771832895611407,-0.12904423444171442,311.28464330183755,25.501649565774883,0.5068583859063731,-2622.0753962808235
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.259825458443014,5.247953630663973,0.11994802511525907,-0.0007929008644824709,147.08471153956089,15.246125826913802,0.310793241823239,-562.5622273289337
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.469614049357721,5.460206728016501,0.12396128358588972,-0.08794119951604928,211.69142410949627,25.10018891350168,0.5252456835604076,-1113.8385672130682
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.706219325946079,5.673895070110016,0.12968012089825734,-0.13845921425920493,792.0563993291701,85.84645209857956,1.7053032195616502,-18306.470832178387
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.790175526094818,5.300529064485879,0.12194782444846486,-0.1901352768024276,679.4615354208971,69.7286333984625,1.3712794330939688,-11884.110456178922
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",7.247497327560429,6.184239137391032,0.13968062761088498,-0.347350872443424,7.816738125502837,6.293087574693022,0.14247070656593017,-0.6318283055743026
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.977312421944869,5.6408864686427975,0.1290562313583579,-0.22611326282704858,284.9052516383355,26.469586791992185,0.5461527006012364,-2344.5261430193736
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.439114597357506,5.3254478901733835,0.12270086776511138,-0.05485384706939378,6.477462035000972,5.25538640882148,0.11966563068881965,-0.1398566138681574
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.609391054684616,5.526788029160285,0.1258405935320779,-0.1381098200342603,425.18220678856665,44.057517702393085,0.8808494534028241,-4459.524731015287
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.567628767733021,5.581178079542223,0.12809151110813455,-0.06897784177058042,77.21898021532508,10.79526063012295,0.2204827109901891,-184.78362574150538
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.826113396406955,5.696729832254486,0.12929837905530675,-0.20587598480657743,419.21178484746014,43.52767817075135,0.8961235909093935,-4542.877724281618
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.88890274451635,5.931229173010522,0.13405469410598309,-0.20707563135206986,23.56591266442341,7.535311867135471,0.16644652719426328,-14.168551806635055
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.488196472991983,5.474626021682124,0.1251616938811928,-0.07785955404045386,6.656477737223885,5.373395516442473,0.1222947282165564,-0.1738420230607951
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",6.447588802195628,5.284263125992868,0.12083147243352255,-0.10161701771069698,21.786788034514828,6.906993190938062,0.15673521270056004,-10.12855285785911
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",17.717804357143834,8.62337517276887,0.19178617477760118,-6.021135003798827,14.24682550428333,11.54115371704101,0.2293878609213706,-9.546437279643833
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",10.730432015599053,7.369989083402903,0.1675959714633789,-1.4738875021620483,13.313836948268953,8.960631145901147,0.18738882362954215,-3.852657046847103
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",11.496422204466946,6.561426827215379,0.1572903921250953,-2.898738643203044,5.716168456183517,4.911737696329764,0.10811382359601884,-0.09070597627479948
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.712971741460853,6.4195365741688715,0.14414737160491858,-0.9790810743800629,3964.4891866898884,1789.7040029313828,35.79706564112975,-12431321.069144797
Global Model,209,L,Chemical,"(1414, 10)",14,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",10.02619187702573,6.006487860730899,0.13475170198384107,-2.4754796797010963,3062.680390881043,995.3166590796577,18.562299751367465,-1845650.3551883292
