Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3184295856139359,1.0468037005760953,0.02301026626824402,0.9557671258215964,1.5094363315261448,1.1941693713723975,0.026268105486892884,0.9432598491612253
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3160093174600371,1.0422280925612444,0.022926384934373125,0.9562471808835753,1.5060094091249876,1.2029708754468738,0.026273947470933725,0.9418598422589417
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3491507480011393,1.0753993345171249,0.02366802323882804,0.954140482260325,1.5079380831196387,1.2098956153249574,0.026739122566530226,0.9410540059892369
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3549518955261959,1.0863230616723836,0.023885443463275008,0.9528177402053261,1.4213116761618538,1.1251292710590681,0.024932951765956213,0.9515557586334327
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3259051348634143,1.0575511428239908,0.023321015724174502,0.9559136815820359,1.5267825666733277,1.1992347722696106,0.02594599145152607,0.9382475920482831
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3380404026051718,1.060474918004584,0.023375267996062953,0.9542761010854379,1.523622961971313,1.2331219725052784,0.02761196534787597,0.9428930205744558
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.321424976872372,1.046098362309653,0.023053817785108434,0.9557291721379668,1.5086936199186098,1.2107938786698735,0.026456752367684012,0.9424292541682804
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.36573612580167,1.0880156605903508,0.024100542685938874,0.9535875668245346,1.4467660994674907,1.1501057363988645,0.02469692039108847,0.9423482302575291
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3310266194715967,1.069025021122158,0.023541255612309353,0.955371713373208,1.483697164268903,1.1374382261673897,0.02491517117182753,0.9429421506459575
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3418022872269693,1.0670116444779791,0.023446663875697153,0.9536593279785706,1.5034061626424673,1.2173920354099161,0.026924148442358162,0.9458526938823317
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3675397241755651,1.0900964663072983,0.02418516362155246,0.9540240464953448,1.409358316925838,1.1343028151441412,0.024445130899018643,0.9418585920856152
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3549627188455895,1.0775993994755844,0.023620324253013556,0.9531251240132336,1.4613790585796356,1.1613399114709857,0.025494609129191728,0.9473639222528905
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3319540165232915,1.0621916053023206,0.023459321398608485,0.9554313130291108,1.5184303958106349,1.2139626929616756,0.026667167488402827,0.9395266045007632
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3203133270012304,1.04669635614181,0.023038694757352478,0.955857726611393,1.5188046705557616,1.210604168248263,0.026462194867180575,0.9414315218830315
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3470049008522333,1.0703410619728986,0.023549795610136176,0.9524735130528571,1.6121866793956012,1.2899915546390166,0.029004316262621305,0.9412868346556443
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2665186416032996,0.9816380479600713,0.020685963265581593,0.9647723929559597,1.9694930195027716,1.5249921430621238,0.03298517463050788,0.8983382844768804
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.291423895333211,1.034815934922957,0.022148999789720725,0.9646663316652154,1.5816791138923931,1.2740971320972099,0.02834744693398394,0.939544332746518
Global Model,209,L,Chemical + Physical,"(1414, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2786833513270177,1.0234472181532124,0.02262240904846652,0.9550627423095802,1.9586839791104296,1.4650658992298877,0.030881916893019196,0.8970108138146354
