Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0075448208382456,1.6174456233961407,0.03512267013571826,0.8974438331302166,2.2749563553169994,1.7241748095401208,0.03786530315967979,0.8711136199081566
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9835818917651409,1.5724500195733433,0.03413456289394336,0.9005995426382231,2.1966981734695508,1.7311348338851662,0.0373441668796922,0.8763023032580287
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.01594219031657,1.5982364777987461,0.0346531614471575,0.8976083186714379,1.9673673327760812,1.5938068775406147,0.03467317476504704,0.8996636754176636
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0083469446215423,1.597958981811632,0.034728740089316215,0.8963406541895886,2.1200783026481034,1.6304631236585203,0.03524186075470861,0.8922127692029664
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.981753582891451,1.5852616294618214,0.03441288509489551,0.9015131534223759,2.347740909624397,1.7187643654464844,0.03749818369041197,0.8539842015843654
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.010808106534932,1.5991855201080358,0.03461972350174114,0.8967366865861873,2.2188520621789585,1.6930950361595551,0.0373763783824635,0.8788869709273128
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9856930319260706,1.5748014000471882,0.03422181563539951,0.9000329573969372,2.0816987249125978,1.6132235469750715,0.03494567212337372,0.8903937042358803
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.999453550353473,1.6029380857702071,0.034818929146839185,0.9005228392751603,2.101396901780168,1.6213972241297208,0.034888365789855075,0.8783723905389071
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.012079761177919,1.6050798660669574,0.03483785391949581,0.898017156513461,2.0085843105570373,1.6145400461796757,0.03499026038194324,0.8954305083447416
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.997585909485803,1.58244384792584,0.03437952818039553,0.8972939081761185,2.3222968205750654,1.7934611191986318,0.039040900646247545,0.870800849592587
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.014288973684288,1.5983777942876705,0.03482516177384358,0.9002542512765978,1.984688753609741,1.5902351320084773,0.034021694961186226,0.8847004755009309
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9937992029694112,1.5911607244813697,0.03449343876234171,0.8985041521256724,2.2044363942268426,1.6779972898665234,0.03687437978377994,0.8802286608857982
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0130081535711626,1.6121113527063562,0.03502107984300405,0.8982012503094656,2.1265976531203195,1.679948521806159,0.03622172398438391,0.881383463959358
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.00702934668223,1.5986728954905436,0.03478024753853103,0.897998131417959,2.2519993345530085,1.7207499527678498,0.037350379523447025,0.8712353632898534
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9686128327883912,1.559971976937339,0.03376020399462718,0.8984878595277632,2.3248584379107435,1.750903496167336,0.038778612200939665,0.8779050040396149
Global Model,209,L,Chemical + Properties CS Less,"(1414, 13)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.261508193147041,1.6386130472819023,0.03598164909054767,0.8876802052207668,3.232024942199115,2.149840706273134,0.04797131039826598,0.7262223763031592
