Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,S,Chemical + Physical,"(61946, 17)",1,LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.3330791599188347,1.8777497535198204,0.043670075669183905,0.8834299438498587,2.4833911395431745,2.0148777568268135,0.048105282817385665,0.8288863571165699
Global Model,209,S,Chemical + Physical,"(61946, 17)",7,LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.244843572454737,1.739740901272758,0.03842149647818836,0.8921740834751615,2.0500951981957156,1.5709507800915201,0.03608250886104271,0.8834499814802581
Global Model,209,S,Chemical + Physical,"(61946, 17)",14,LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",5.100853314305918,4.040488032063846,0.0889087137904247,0.44369276203775276,4.12732083913054,3.2733059081780183,0.07739610147826732,0.5280639684238483
Global Model,209,S,Chemical + Physical,"(61946, 17)",1,LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9861686362333217,1.54261866655187,0.0352755531108625,0.9155187568065266,2.0849067829512133,1.6185999991324327,0.038409733562339995,0.8793943462397578
Global Model,209,S,Chemical + Physical,"(61946, 17)",7,LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.1705070493603036,1.7196396412099246,0.040118024087281205,0.899197014971087,2.2489017551821533,1.7659646394231228,0.042702925869103105,0.8597492291789985
Global Model,209,S,Chemical + Physical,"(61946, 17)",14,LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.42504839425264,3.4923326968993105,0.07482153409716943,0.5813365089444954,3.5696060024040137,2.813002056026106,0.06363021957809412,0.6469898097576181
Global Model,209,S,Chemical + Physical,"(61946, 17)",1,LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.073798762824232,1.6275523262490152,0.03771818478737876,0.9078996503406942,2.192456870941544,1.715939361858006,0.041131231781372485,0.8666305069460303
Global Model,209,S,Chemical + Physical,"(61946, 17)",7,LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.9348056667114095,2.6267568294404926,0.059224083078465134,0.6687182071591267,2.8324300249790477,2.2143875274397287,0.052671992857198986,0.7775242554258743
Global Model,209,S,Chemical + Physical,"(61946, 17)",14,LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",6.839258096453495,5.856174673240279,0.13714426610437147,-0.00010829088670782916,6.171418374051282,5.132176872488796,0.12864416916066018,-0.055155954633503645
Global Model,209,S,Chemical + Physical,"(61946, 17)",1,LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.204926472065323,1.6900394071073812,0.037531505076106045,0.8958842864080631,2.0769388613999964,1.5756367609804756,0.03678245114137488,0.8803144258387435
Global Model,209,S,Chemical + Physical,"(61946, 17)",7,LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.5896641626299446,2.1214431791348685,0.05018402416285071,0.7242861199041667,2.64827728542859,2.095625077666876,0.05095202394054532,0.8055127206314388
Global Model,209,S,Chemical + Physical,"(61946, 17)",14,LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.1056689314137893,2.4330787419975395,0.055556784868640144,0.793775928901662,2.8130360511613706,2.240317116615361,0.05368625327697006,0.7807713690313925
Global Model,209,S,Chemical + Physical,"(61946, 17)",1,LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9020001171124605,1.4441207951064505,0.03240756364222575,0.9225272208389286,1.8519508699016678,1.3804200762857184,0.03229703183915292,0.9048402472405753
Global Model,209,S,Chemical + Physical,"(61946, 17)",7,LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.127014143291852,1.5635246750613945,0.03593458589891004,0.9031963468546025,2.075989171264796,1.6496429917983384,0.03898685982661964,0.8804871900069295
Global Model,209,S,Chemical + Physical,"(61946, 17)",14,LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.766796185226454,2.6115688723530073,0.05906477421986091,0.5141723733692761,2.704135956300346,2.13572705650565,0.05094128746728398,0.7974166625541603
