Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.4947048674409475,3.274718296265545,0.08139523106111946,-0.012956243888701202,3.7846476054007123,3.592865749072006,0.08881838758753981,-0.019516602474002998
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.589853899875943,3.311974526616099,0.08246286332086583,-0.03772669867631562,3.5262989673065763,3.2810916797534877,0.08221704432750837,-0.025651034717040222
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.591277413332862,3.370046976576214,0.08375476214689605,-0.02643007150434684,4.533230205498042,3.450083160400392,0.0863497578945939,-0.7490499033844258
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.5912460212585167,3.357715248042704,0.08351187296485087,-0.02646271881180451,3.4640413387895648,3.2489374934016046,0.08031933546254595,-0.0014092517691255413
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.365780092663134,3.458730196923711,0.08578987300019643,-0.5283918377699177,3.671798320248605,3.392931427826753,0.0846884821123462,-0.07914727073539463
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.999234331336301,3.4003749511644146,0.08444019208074398,-0.2849482294175776,3.5804367455062454,3.3362182289041535,0.08282574627159985,-0.028213320659185248
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.585776560677157,3.3381640908191224,0.0831033224246179,-0.019982653773142456,4.179985853127808,3.4240608215332045,0.08464467501218853,-0.5092060407147172
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.5475108767126966,3.3078892420208654,0.08218821743406554,-0.014665379576729531,3.6378671414558883,3.4060672656909876,0.08515336521616985,-0.048804663410349614
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.5510536726612183,3.3238747425568427,0.08265670183864358,-0.025249545378156713,3.644836105265153,3.4271592423722574,0.0853239997153096,-0.023891864897976678
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.6724392795488767,3.3634037907452545,0.08354536393336633,-0.0949689352823806,3.628506345345771,3.3773468429977815,0.08522621717627804,-0.021140174347064278
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.609283555522215,3.3359101792128003,0.08289334463581537,-0.04809890772870995,3.568557457301017,3.3361540558517646,0.08117184079173957,-0.07077155222635167
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.594879376269264,3.3383011125091837,0.08304697365503558,-0.03987628220789108,3.575908262456324,3.343586112357476,0.08377922470309511,-0.026839480568823904
Global Model,209,U,Chemical,"(1056, 10)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.5175835497114134,3.2917431096599814,0.08177838157803552,-0.00340499317237275,3.696503173449509,3.4627378102895414,0.08698487464413554,-0.043130392442291665
