Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,U,Chemical,"(63190, 10)",1,LSTM1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.0471197179773157,2.27068821542229,0.05234290262471743,0.8020388318774943,3.4362468814679605,2.570655104249322,0.06228842271155195,0.6768064006101926
Global Model,209,U,Chemical,"(63190, 10)",7,LSTM2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.374657820829232,1.8073191556643888,0.040145958774082995,0.8798757384267776,2.3668010827678496,1.796204431938606,0.04208667220659261,0.8467681927339723
Global Model,209,U,Chemical,"(63190, 10)",14,LSTM3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.6143255346053444,2.014391067653978,0.0445444860029911,0.854511756874061,2.446055787242815,1.838178700129755,0.042893622844525,0.8362565851499701
Global Model,209,U,Chemical,"(63190, 10)",1,LSTM4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.6462171818675837,1.9252144933467945,0.043214789588999034,0.850702703760748,3.009762542811073,2.199430503962943,0.051770407253872476,0.7520532044436832
Global Model,209,U,Chemical,"(63190, 10)",7,LSTM5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.272237923704443,1.7335779794387054,0.03867609909640994,0.8900142900928364,2.488806471283402,1.902161878375275,0.04474513684222965,0.8305632315205086
Global Model,209,U,Chemical,"(63190, 10)",14,LSTM6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.081646699643364,1.5911549026008227,0.03531980131383521,0.9077592948058322,2.2761943566157625,1.723862321295873,0.04027026162076021,0.8582086255753739
Global Model,209,U,Chemical,"(63190, 10)",1,LSTM7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.3491091630674683,1.7140281722671638,0.03893815321261587,0.8823458174882997,2.897519785339768,2.1099549857270374,0.05055240581061525,0.7702016774178685
Global Model,209,U,Chemical,"(63190, 10)",7,LSTM8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.009099518365715,1.5284030032108977,0.03423636308846759,0.9140132462234143,2.381180901521607,1.826972244704785,0.04282850892279285,0.8449005754701523
Global Model,209,U,Chemical,"(63190, 10)",14,LSTM9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.8808387495199064,1.4369751677338183,0.032250212172065404,0.9246971007646362,2.2990035137012628,1.7666429883961061,0.0415163510862817,0.8553526779067449
Global Model,209,U,Chemical,"(63190, 10)",1,LSTM10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.625277278358384,1.8985351815988143,0.042824481626540664,0.8530561777530387,3.0089165489115963,2.1716787286365844,0.05146254353418822,0.7521925722464459
Global Model,209,U,Chemical,"(63190, 10)",7,LSTM11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2709739046050395,1.7361624829162274,0.03867828057631247,0.8901366235578487,2.3990180919546256,1.8043506286484692,0.04196749948259718,0.8425682034099989
Global Model,209,U,Chemical,"(63190, 10)",14,LSTM12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.224662871793548,2.4652807255676246,0.054743137542010524,0.778651183392177,2.893290761021568,2.1949755327291935,0.05129421627619358,0.7709051701724675
Global Model,209,U,Chemical,"(63190, 10)",1,LSTM13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.50434945318511,1.8210373212629856,0.04153292315537766,0.8662817045272153,2.9950867639834007,2.2104489753000474,0.052882707090684995,0.7544653155319956
Global Model,209,U,Chemical,"(63190, 10)",7,LSTM14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.2717359036617872,1.7262063280818265,0.03841910796755963,0.890062884415375,2.4072961802513144,1.8294462960555533,0.04260141783770926,0.8414798558086849
Global Model,209,U,Chemical,"(63190, 10)",14,LSTM15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.049134177632482,1.573955988142353,0.035473067640080035,0.9106181449239852,2.540710788778813,1.9276183286920765,0.04557611820206531,0.8233386311246185
