Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,U,Chemical + Physical,"(63190, 17)",1,Transformer_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.0123641557677288,1.5820171659362703,0.036391876881886276,0.9136595875548001,2.0972891918321204,1.6779024239549383,0.04002462791741027,0.8796043844752749
Global Model,209,U,Chemical + Physical,"(63190, 17)",7,Transformer_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.1407627206204647,2.5317421542363756,0.05874563880242236,0.7898647508577135,2.9949950503375526,2.4562179896327043,0.05933237164418016,0.7546321693517903
Global Model,209,U,Chemical + Physical,"(63190, 17)",14,Transformer_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.3595571301461775,2.7041646867180713,0.06254958151519101,0.7597448910724036,3.20719263658424,2.6132644391154063,0.06276174445017568,0.7184981715770569
Global Model,209,U,Chemical + Physical,"(63190, 17)",1,Transformer_4,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",7.020627751719447,6.453500182378544,0.1540613325381365,-0.05087936827242023,7.784958566237156,7.359145109528764,0.17841875399586787,-0.658848196017656
Global Model,209,U,Chemical + Physical,"(63190, 17)",7,Transformer_5,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.1061877713585035,2.5096126301574158,0.05857057642367731,0.7944658148124941,2.997245638566052,2.4618598423678546,0.0597067941738491,0.7542632676170341
Global Model,209,U,Chemical + Physical,"(63190, 17)",14,Transformer_6,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.398678699729499,2.7493533469664433,0.06434496805899088,0.7541168380136859,3.203843427096299,2.605620888062065,0.06330404701315874,0.7190857984663501
Global Model,209,U,Chemical + Physical,"(63190, 17)",1,Transformer_7,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9446973331690485,1.5130815349228715,0.034722790028963696,0.9193684496949843,2.072077151821008,1.6317037204852012,0.038871905294425434,0.8824815978992181
Global Model,209,U,Chemical + Physical,"(63190, 17)",7,Transformer_8,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.935813441012987,2.3031592636302505,0.05207641538882487,0.8163945520872229,2.628590338537087,2.1209506494980475,0.05010344543986231,0.8109959023585402
Global Model,209,U,Chemical + Physical,"(63190, 17)",14,Transformer_9,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.093018273136025,2.4404821087293365,0.05551032079387913,0.7963550984806329,2.862816685350622,2.293698842802865,0.05436376248908653,0.7757057153535292
Global Model,209,U,Chemical + Physical,"(63190, 17)",1,Transformer_10,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.307322710422458,1.8009675663364573,0.03986661198175573,0.8864943044598462,2.1549299838931355,1.6452371360233637,0.038701711235676756,0.8728956652590892
Global Model,209,U,Chemical + Physical,"(63190, 17)",7,Transformer_11,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.072190947047213,2.46308939540315,0.05722141244751869,0.7989402840976578,2.918931582385603,2.3766755675051656,0.05752878481605831,0.7669370515397015
Global Model,209,U,Chemical + Physical,"(63190, 17)",14,Transformer_12,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.047682407870763,2.445604597817799,0.05631153881870216,0.8022811907313596,2.8348294109791805,2.3082849241166135,0.05561536992102047,0.7800697400849496
Global Model,209,U,Chemical + Physical,"(63190, 17)",1,Transformer_13,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.9709551691514449,1.5303462282254912,0.03476134090661736,0.9171763310949916,2.010497378074847,1.547156465323164,0.03688967745301,0.8893628306010314
Global Model,209,U,Chemical + Physical,"(63190, 17)",7,Transformer_14,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.2168977021297835,2.591410834083151,0.0605039386088999,0.7795535266909326,3.151673997596273,2.5708769993093563,0.06214974576932094,0.7282885234413258
Global Model,209,U,Chemical + Physical,"(63190, 17)",14,Transformer_15,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",3.355460974499845,2.6951831329883866,0.062336954154569434,0.7603303982300653,3.2444823859458487,2.627233224376828,0.06287646747393662,0.7119141222564527
