Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.2775620460948209,0.20224382541323746,0.004831101667175972,0.996770239062146,2.6219017039494643,2.219280106680738,0.04811156352716005,0.6831708296797103
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.35535571783997144,0.21930843484812765,0.005467494071682764,0.9953798301182002,1.333123659106847,1.1981470522673234,0.027045131616774652,0.9225184542036995
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.16381271266112285,0.12890340631658417,0.003019078524415521,0.9988987249663132,10.670523153260303,5.5133884264075235,0.13832731030914489,-6.840928527537195
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.33996434755237837,0.23255522401182785,0.0055465732405642785,0.9955760399744675,1.1372426932356243,0.786928494771319,0.018053454319086847,0.9498003465199253
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.4060758623176665,0.26914326060901944,0.006318714681549835,0.994664737302284,5.959777870971957,3.9854619061505256,0.08740988773165181,-0.46085218927501925
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.26794302558181887,0.19900248482723443,0.004690620944750779,0.9969902173718478,2.9161347070139763,2.3347558157784607,0.05034568059963736,0.608070898397489
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.2800447132400543,0.19656416268184101,0.004793754844808316,0.9971306330895219,1.3642542063725418,1.1473872309145718,0.025810870101125274,0.9188575703588048
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.1496405689468445,0.1157195884864651,0.002763898220698463,0.999081034322821,12.605111281722447,5.953317459769872,0.15450657434138235,-9.94181678307861
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.3692244909265959,0.2515852601378114,0.006029360616893968,0.9947817432221656,0.9048878848010758,0.7300789197285941,0.01718062847163433,0.9682178000023836
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.31707942530186106,0.22328464001208959,0.005381762583203917,0.9967470485435521,5.425967306572222,3.7281930711534224,0.08209097618963145,-0.2108782389948809
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.2857501296863021,0.216143363594208,0.005308715706190175,0.9965768723899289,2.4096442663783653,2.0252232415335523,0.0441063127714165,0.7323925411587848
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.23151426290067548,0.1757658386230456,0.0043057527137834945,0.9980389582826639,1.3166143050809231,1.1164962105129073,0.02540602311253193,0.9244256286247908
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.1797201688662672,0.13501870215355855,0.003276484902687912,0.9986744557641669,11.820881869440282,5.358465012260106,0.1393083309506037,-8.622675149087273
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.30213378772768273,0.22479327541964803,0.0054021157864340835,0.9965058380049754,1.1079866994715795,0.8027998924255343,0.018495619454471073,0.9523499343808515
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.3517447516271554,0.25862448632300183,0.006301157395413635,0.9959968975060967,5.649882195690166,4.0308113098144425,0.088321888559851,-0.31287964257101963
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.2339040847963931,0.1750653824716246,0.004136286523525721,0.9977073407898093,1.9834456414870418,1.5857266053458732,0.0359679726970551,0.8535797771503169
Global Model,209,W,Chemical + Properties CS Less,"(1011, 14)",7,LSTM,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.28777481463205423,0.22479288326287236,0.005415435339931242,0.9967574768443508,2.0314869688287365,1.3909467926025405,0.03282349668992636,0.8341162375252396
