Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,INN,INN,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.7498647762316806,1.2701048694902886,0.027256344292954107,0.9069267439656039,2.0350232321570534,1.5754146303191892,0.03579844779382914,0.8796086628243602
Global Model,INN,partner_iv,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.7498647762316806,1.2701048694902886,0.027256344292954107,0.9069267439656039,2.602643694693335,2.0476428247947056,0.041166153019533115,0.8204921259627835
Global Model,INN,partner_ii,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.7498647762316806,1.2701048694902886,0.027256344292954107,0.9069267439656039,2.059485847614393,1.6366581173851376,0.041861187056684644,0.45495170303314114
Global Model,INN,partner_i,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.7498647762316806,1.2701048694902886,0.027256344292954107,0.9069267439656039,1.4499536402207436,1.1724046488277229,0.02659873512558292,0.9147134908305619
Global Model,INN,INN,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.6305309774067858,1.157687176297831,0.025033241308858024,0.9191883382670137,2.057159369240118,1.585726969801534,0.03674676285706556,0.8769752840229545
Global Model,INN,partner_iv,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.6305309774067858,1.157687176297831,0.025033241308858024,0.9191883382670137,2.543300712538264,2.0298219965307753,0.04151202629233432,0.8285847343965062
Global Model,INN,partner_ii,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.6305309774067858,1.157687176297831,0.025033241308858024,0.9191883382670137,2.3302683843576952,1.8756002124604725,0.04835787959363467,0.3022027571595004
Global Model,INN,partner_i,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.6305309774067858,1.157687176297831,0.025033241308858024,0.9191883382670137,1.2416133386341688,1.0068147534229692,0.023218700576478853,0.9374618766615689
Global Model,INN,INN,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.6102571464528967,1.1463259983624834,0.024726672766842584,0.921185450117503,1.9753556991313053,1.453407359205831,0.03350742313341787,0.8865649897966296
Global Model,INN,partner_iv,Chemical + Mineralogical + Physical,"(3180, 19)",,MLP_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",1.6102571464528967,1.1463259983624834,0.024726672766842584,0.921185450117503,2.573784754379787,1.9388851692663371,0.0391269325704272,0.8244509360246823
