Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,INN,INN,Chemical + Mineralogical,"(3180, 13)",1,Transformer_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.044078412155856,3.3301528521882178,0.07694847845584224,0.5024244996512621,5.035883655211397,4.320101321707698,0.10388208882795122,0.2654873382600953
Global Model,INN,partner_iv,Chemical + Mineralogical,"(3180, 13)",1,Transformer_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.044078412155856,3.3301528521882178,0.07694847845584224,0.5024244996512621,4.1720907680626205,3.232237939520197,0.06558762988209682,0.5383578369541309
Global Model,INN,partner_ii,Chemical + Mineralogical,"(3180, 13)",1,Transformer_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.044078412155856,3.3301528521882178,0.07694847845584224,0.5024244996512621,6.1560542226835775,5.580080737073275,0.1447125115699799,-3.7456849689527605
Global Model,INN,partner_i,Chemical + Mineralogical,"(3180, 13)",1,Transformer_1,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",4.044078412155856,3.3301528521882178,0.07694847845584224,0.5024244996512621,4.52455312657421,4.043103276466835,0.09716524119357343,0.17553503672239334
Global Model,INN,INN,Chemical + Mineralogical,"(3180, 13)",7,Transformer_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5333717860888307,1.9128826460884316,0.04203637911594144,0.8046687202361033,3.7090320644597417,2.957826788392786,0.06892565220894806,0.5993826099203606
Global Model,INN,partner_iv,Chemical + Mineralogical,"(3180, 13)",7,Transformer_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5333717860888307,1.9128826460884316,0.04203637911594144,0.8046687202361033,3.0326805162498927,2.3998413225499595,0.049749569901301006,0.7413775189576525
Global Model,INN,partner_ii,Chemical + Mineralogical,"(3180, 13)",7,Transformer_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5333717860888307,1.9128826460884316,0.04203637911594144,0.8046687202361033,4.1361980489308,3.577632351415763,0.09239465343581595,-1.288997474981056
Global Model,INN,partner_i,Chemical + Mineralogical,"(3180, 13)",7,Transformer_2,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.5333717860888307,1.9128826460884316,0.04203637911594144,0.8046687202361033,3.768544658193808,2.8339815685927636,0.0628259167544956,0.42026258619427836
Global Model,INN,INN,Chemical + Mineralogical,"(3180, 13)",14,Transformer_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.4671787377516567,1.8783918563370854,0.04206615645657023,0.8143629570771004,3.665506668297379,2.825943293360968,0.06828356789370385,0.6039527838600973
Global Model,INN,partner_iv,Chemical + Mineralogical,"(3180, 13)",14,Transformer_3,,Standard Scaler,,Median,,Out of time,"{""train_size"": 0.8, ""test_size"": 0.2}",2.4671787377516567,1.8783918563370854,0.04206615645657023,0.8143629570771004,2.508583554402722,2.0606305529187603,0.04307292765590857,0.8244877971485869
