Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9253966108432286,1.49798170127616,0.030538283446563657,0.7857460597858232,2.1169934836265667,1.618267393806912,0.032872436482839225,0.6574558844609594
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0121193730543925,1.5769200210066028,0.032173472738849795,0.7467002040181789,2.2682729182813035,1.707172754047722,0.035492051100506586,0.7197813724296781
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9779027935776285,1.5523173780630755,0.03151285293505369,0.759966969783051,2.2122276536060603,1.7417381993982175,0.034953937775439016,0.7146159329848867
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9369203417714058,1.509885350663141,0.030649936071106762,0.7674557608934764,2.0474135286992308,1.5906277870026644,0.03267083034779599,0.7649253634249907
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9794086027285724,1.5331136607492208,0.031139927417204397,0.764583730223636,1.9865924138669953,1.5726221203330335,0.031936335701797505,0.7489572738527804
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9311767154462776,1.4868444633483888,0.02997658702385225,0.7670073868922683,2.355448815966366,1.8017275606875391,0.036536424702614236,0.6975543981253816
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0197556392977485,1.5874418877607939,0.0320550140481738,0.7564247458158345,2.0563038840755214,1.6337829973839766,0.03328724387512176,0.724928022062008
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9543926781345926,1.5296694849026915,0.03104014734800417,0.7684040730443209,2.007389950107534,1.5527764074060302,0.03188315632670582,0.75352870252142
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9593989364045052,1.5266130847804593,0.031022330067200166,0.7627899254618661,2.0852222542268026,1.6118648089478347,0.032920501334302514,0.7533775445643565
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9882206408973995,1.5488611519415647,0.03150439827793387,0.7665965400935759,2.0506504620115864,1.5908745640634698,0.03211730626707118,0.7116611645265317
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9659180433585268,1.53639355198437,0.031110601135963385,0.7592865302263094,2.0608921814924277,1.615127782758498,0.03321885711357939,0.7635024192199522
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9573292557389386,1.504542244538566,0.030524301278660966,0.7729995552259299,1.9902934347499441,1.555678781673608,0.031597679878989496,0.7335211053588186
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9394838363226117,1.5095485493994705,0.030814062082564698,0.767374753130172,2.079009309598033,1.5788374687346403,0.03265185551201658,0.7555926673566828
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.008160185592581,1.5713709634187203,0.031591412786534365,0.7533533497273939,2.1459016653165057,1.6419582841885798,0.03315470439987209,0.7281343088373915
Local Model,203,AV,Chemical + CS1,"(1510, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9472415967247467,1.519389525533512,0.0310149714251767,0.7756957528251831,2.2356419811728494,1.707017142693728,0.03410047415777227,0.65895606404931
Local Model,203,AV,Chemical + CS1,"(1510, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7511179477465397,1.4059280047545564,0.02874004500746711,0.825037348611997,2.1167727451274527,1.6810263698221113,0.034408328213447865,0.6681888117896877
Local Model,203,AV,Chemical + CS1,"(1510, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7028588824831636,1.3685552961761887,0.02797154588369134,0.8211024768967076,2.3172423237896855,1.8581091336037616,0.038662856525667096,0.7043993500277754
