Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7200220648401574,1.3449305553309965,0.027444789177163576,0.829015616107396,1.8431016955009472,1.4611337057959954,0.029457670633693617,0.7403573301964641
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7849096570387941,1.4029941048527395,0.028397785147643295,0.8006758900977342,1.99562062554418,1.517732660154633,0.03144085377566257,0.7830986004688931
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7794104809113918,1.4041060126854097,0.028531144485535162,0.8057265697008426,2.0043725082480424,1.5667071593834074,0.031761090361577766,0.7657244512293895
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7241059243866774,1.3480460506717102,0.027369284935123958,0.8157489578186035,1.8853495484571305,1.4777418043123967,0.03000791914973207,0.8006673692077939
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.771402149560537,1.3861168774232169,0.028136559728960116,0.811461563279698,1.7897832621183596,1.4346199242800277,0.029290397225042415,0.7962343465596581
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7634856513070745,1.3848443494885172,0.027920462492610505,0.8057137883734872,2.0776228471431453,1.584066438990713,0.03190350559639905,0.7646938080526716
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8250240713634298,1.4381810941127753,0.029016708189306305,0.8011284312048316,1.8820913670241421,1.427735552250944,0.02897577791634502,0.769562495253027
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7691604700902004,1.3771722396951638,0.02783598004907096,0.8102238126410853,1.8165828797422736,1.4565880645347746,0.02970596983223009,0.7981571852010257
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7095942756423563,1.325707505207188,0.026978842559972873,0.8194183969498892,1.8750767760559717,1.458472925653521,0.029837559004223246,0.8005812339413225
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7569355503162525,1.383035542949146,0.028034093171632263,0.8177406595138514,1.8223785582839203,1.4560302123012923,0.02959144944896885,0.7722821610922206
