Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8844102984137001,1.474505841463607,0.029774214214273644,0.7947707067730139,1.8681383745378557,1.4725044781009091,0.02949767953541319,0.7332554516758095
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.937969623285071,1.5271256339471069,0.030563863981493872,0.7650252015639093,2.160882835827224,1.5742090472796106,0.03209986889789194,0.7456868447582385
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8211246339996885,1.434661716562233,0.028906130260421995,0.7965112246429755,2.063418144074577,1.591829003340361,0.031998680878141054,0.7517183749679506
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8446668026254043,1.460379638166617,0.029480375736891315,0.7890799192790843,2.013881235117144,1.584866964074949,0.03193872723584875,0.7725623566812021
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8833388616849764,1.4734571173964746,0.029619142487123253,0.7868808364687212,1.8241902172691977,1.4504573160133614,0.02938484043985637,0.7883246231066057
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.883471641159918,1.4923484955086612,0.029976953242422975,0.7783762544105095,2.2722386987117424,1.701314709897073,0.03416860798833604,0.7185457345970688
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8503552602106883,1.4589296362415844,0.029491172268044506,0.7955694750702013,1.850144694851492,1.4045129182322926,0.02857716133560577,0.7773190076086344
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.900390577181363,1.4903443801324099,0.029963240388465942,0.7810257739206583,1.888441787640565,1.4961577808304338,0.030401380542340865,0.781872679649322
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9014311543026392,1.5013234146067638,0.03016205086789032,0.7766177788953219,2.003410612663027,1.5703014717354682,0.03145457154098878,0.7723498949765619
Local Model,203,AV,Chemical + CS7,"(1510, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8615152186589654,1.446102733233117,0.029101811846954345,0.7953973211890104,1.9197301216916747,1.5309276510074439,0.030873365200161804,0.7473029230629058
