Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7583503802986094,1.3660790157949687,0.027611618783774404,0.8213104106100989,1.813956339148596,1.4418688793056058,0.028951217603475913,0.7485039733032719
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.905662419042665,1.5146762970425434,0.03043688695206229,0.7727942626705907,1.984266430198847,1.5707432424785286,0.032218281234960816,0.7855597244705917
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.71049788746318,1.3383038201237356,0.0269815847875547,0.8204827427160419,1.9718597070705,1.5217489507814117,0.03069743334197002,0.7732631469925084
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7131953845524637,1.3476950818497613,0.02730201488885322,0.8180735453679566,1.9259249308437052,1.4973651875881167,0.030428915945470713,0.7919952051685569
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.776136260154085,1.3829241950938242,0.02776767080655772,0.8104524705604969,1.7878093429191102,1.406064981119522,0.028466749850370687,0.7966835575285323
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8098136578590707,1.4331317257407483,0.028754094358092338,0.7953716313311121,2.084142147450164,1.6038780454926143,0.03226429823632956,0.7632147729873205
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7425732544643444,1.3693620162610185,0.02769024683596373,0.8186917384291674,1.7946524113709765,1.368164723882612,0.027623377893859144,0.7904766389046989
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.80177617802888,1.4209615908237483,0.028664304702474448,0.8031619995553888,1.8111401593932284,1.46584394341273,0.02988743200235092,0.7993648683426262
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7808928254884198,1.4042000591202288,0.028260480381239,0.8040420160663524,1.8647878994870242,1.46536154387013,0.029569509369515985,0.8027637214161301
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7992935533700951,1.408708883752886,0.02827709082151092,0.8088465321862804,1.8910464386731918,1.5305057459951237,0.030887017454734798,0.7547978647709062
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8163998471107237,1.4429960063909062,0.028946058585035055,0.7945091497757771,1.8248585441891745,1.4525486007589379,0.02960681593376398,0.8145723177552737
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.804594646774078,1.4120593316033976,0.028445404427987916,0.8070440110614564,1.8460357792148185,1.4736832564398155,0.0298386589537404,0.770750273828728
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.784093894627267,1.4164885549987387,0.02855783740312707,0.803157019635909,1.761018855567641,1.3686746003611987,0.02803147792157917,0.8246404689692688
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.82331055812392,1.4329183143969402,0.02889927382204847,0.7966707725507324,2.010424949793027,1.5780438995361328,0.03193746357370244,0.761377989192929
Local Model,203,AV,Chemical + Physical,"(1510, 18)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.744945511308843,1.390308259117682,0.02808070948412648,0.8198801567825246,2.030524790533926,1.5874937479385476,0.03170973489332563,0.7186658765843054
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3734779414407703,1.0711144099364411,0.021760584629853173,0.8923639056716406,1.6787840276303891,1.3069320310963144,0.02645107731936746,0.791295307992431
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4932460916249481,1.1688186533386644,0.02349677390304509,0.8624344201930662,1.85118289448038,1.455678768569617,0.02971811927601199,0.8113481199826555
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4729706089517236,1.179488885209367,0.02368023924919077,0.8683872620594921,2.004783156565119,1.4989347449652581,0.030183838287159297,0.7709483537773557
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4702016716428163,1.1576290823962236,0.023348680459602037,0.8677332319407538,2.0103479895159544,1.542661765668032,0.0313850304881498,0.7672528551635631
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3439489363950063,1.03945224607313,0.021055775175820975,0.892862904806078,1.8024016073613423,1.4215782796736243,0.02893078282277234,0.8033009195787071
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8400031473815825,1.4342370949564751,0.029231662577510274,0.791435950836179,2.1871233820849816,1.6582211298222165,0.033465935182251154,0.7380200712364993
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4275131196313169,1.1022365798176945,0.022413973187102806,0.8797541492605192,1.6400241229993784,1.2586141495738954,0.025337432549593242,0.8203101627005327
Local Model,203,AV,Chemical + Physical,"(1510, 18)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.668001610407478,1.329699904983108,0.026585745177105304,0.8334153874346728,1.8387845296872671,1.4411050744365443,0.02920856170164593,0.8042911680823797
