Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.4888338345519316,0.6452229707075303,2.654332771649499,0.4442380748340168,0.053050041633356124,0.0064760116524328545,-3.4307873159645896,3.125620343021008,8.31031434968049,5.3971988752851745,6.589846501251388,4.178872407710726,0.13745819981492835,0.09336800228101134,-14.710857832052694,22.767163517607422
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.5173479757277875,0.0005698838016380208,1.1557886599441762,0.003863100168486292,0.02399059358688116,5.825341280066135e-05,0.8379641387282373,0.00012171208238378121,4.201540487145706,0.08064746142878876,3.9520275718907905,0.0863267669949073,0.07282844632049466,0.0016135723020531082,-3.2522378947633386,0.16343370409157884
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.714640476628012,0.040415575082541295,1.3401573921102563,0.03654492008023496,0.027170678255548857,0.000717802220678585,0.8212950490512103,0.0099517126095188,1.8465929581467522,0.08066067023936467,1.441473521521023,0.05831069629741955,0.02931865917186777,0.0010761107552515697,0.7905991227523993,0.024005625467475776
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.769379548888066,0.5328128015641076,1.3440212797046605,0.37234396784916163,0.027745619138440345,0.007720473399122643,0.36384531735861536,0.8458979995754566,5.936093859812184,5.752868207275013,4.30308661218975,3.59834595867856,0.09301739007340391,0.08795065009820142,-4.577668666641134,7.663140101455578
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5947147553665844,0.5246738340048999,1.276726192895459,0.41518079304161126,0.025912354293341502,0.008957795112961282,0.18888235270057632,0.6284710387422415,13.380439960277165,15.844331413262578,10.306273452191387,11.747310939230479,0.22230527814330064,0.26145260335382975,-60.93100610292345,117.5184132275248
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.5088287654732424,0.08050992344506647,1.2190250617963774,0.0714157018497494,0.02537174974047567,0.0015339961575764171,0.8412210860298712,0.017004753425894074,3.502356035638899,0.18096136994304196,3.0983421721480817,0.167984846708351,0.05737519627904475,0.0031552956457603387,-2.055597588926405,0.315150058907796
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3385264714023122,0.07198918176515157,1.0599522618903772,0.06899295580927028,0.021718640425983194,0.0014142073972536163,0.8922180507021384,0.011703037422431763,1.8679831178236972,0.0866099090572185,1.4493057063992363,0.07121467636198556,0.029819028363011788,0.0015284007456813136,0.7888279868863035,0.018866774523691
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5408554035489235,0.36749830453969096,1.2680159359487166,0.38188335379325783,0.02613746615572207,0.007795986469708453,0.5860988691886793,0.4546853233363755,5.021151959724053,3.4219628410244916,4.078673468105214,2.9776282189949588,0.0836710532959879,0.0602455015843539,-6.150872520633539,13.370271163310903
Local Model,203,"(1510, 13)",14,Chemical + CS1 + CS3 + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4834548040221276,0.261492206150828,1.2095399952481547,0.23998416290433328,0.024507225799727084,0.004869525393778945,0.2180020047999551,0.4706769525527684,14.79004073926075,17.03718480611938,11.448527667342079,12.120043151540573,0.2460524139664253,0.2696518965416541,-93.96333792084059,192.73973192896617
