Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.234853852172832,0.18322531326446317,0.983512112186163,0.14238133220204624,0.020207721147614488,0.004114367413161912,0.5493485686298333,0.21611454669269353,2.579137219295135,0.5074561672797793,2.038392692857753,0.403317853762885,0.04285420340318505,0.008832935923327862,-0.160682131567613,0.8555495823066976
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.3914840406077147,0.012884555221361314,1.0680847469439307,0.007974271530756484,0.0222071056888612,0.00017325924636020328,0.8637192875375055,0.002516372183160135,3.8763390788414243,0.16020374477152227,3.6182083293249527,0.1585959323562818,0.0666524240320608,0.002979345222692352,-2.6243084505427756,0.29922023162309364
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.578389299571443,0.06378320672228954,1.2135037020584345,0.05573163981231039,0.024845280854857973,0.0012026630869558064,0.8485236900804678,0.011645327444366211,1.8075290093724665,0.10081689286890247,1.3766708013606126,0.077015738852993,0.028326971110551023,0.001632763910379047,0.7991846916088089,0.02782641444887104
Local Model,203,"(1510, 13)",1,Chemical + CS1 + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2567022783120996,0.18048753852853938,0.9629830087112251,0.1277233595421222,0.019958991253349132,0.002736499724379818,0.807322738306779,0.061851960954009744,3.0694271002945652,0.48336965493849654,2.4016954675195703,0.492897224212628,0.04959834741277237,0.009740310482779395,-0.3562736030465951,1.017020930640493
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3022514447565023,0.20758662530090236,1.0199491882647085,0.15582935783328697,0.020818332039706615,0.003795940501160242,0.4571751588077901,0.27128451826757505,3.7044966724757407,1.9568706144272265,2.8376639534801367,1.1800339239725006,0.0596438023198621,0.021580527555892383,-2.1202897194656645,5.691886168355998
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.3889269549393413,0.022603478438130587,1.0806114919765575,0.018488225613878643,0.022535150893023468,0.0004218541636121195,0.8658001699165081,0.004391074975538589,4.177765175533667,0.49144831790719823,3.810366481906371,0.4970667936853631,0.07030819841472902,0.00918275955241239,-3.396167699547728,0.9991276046923535
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3925305957514797,0.07188899208005027,1.0928909382003922,0.06678943882609123,0.022495703963325328,0.0014091885063388441,0.8834319101955046,0.011846704387733864,2.2444571575365058,0.1540275500442358,1.7019502265985063,0.08478235385225318,0.035174555351620986,0.0019817686937696113,0.6954459614894175,0.03166395219644732
Local Model,203,"(1510, 13)",7,Chemical + CS1 + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4025278742057585,0.07597496158930954,1.1003551091031694,0.06646701873351007,0.02289538005669555,0.0014561733800350929,0.732020782164428,0.15031065501633079,3.6804724250318386,1.1262148413974036,2.9459353015991527,0.9215942290777036,0.06073328083281753,0.019465723064811046,-1.3714035826327253,2.7071558937249773
Local Model,203,"(1510, 13)",14,Chemical + CS1 + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3957724644842457,0.21303037948990503,1.1092869544696486,0.15115872651968545,0.022871881652165516,0.004495086458818433,0.3936832354839401,0.28232714728500224,5.9248543754592315,5.8421073021546785,4.601374713612191,3.7475710133350777,0.09448323297162674,0.06648798335825346,-14.385710434114664,43.40628606985452
