Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.484592380344895,1.0092281699928622,0.023607678195354913,0.9385338996859334,1.5283069990371447,1.0295056198174035,0.024088883618661017,0.9313688309400479
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3855542485629992,0.9888988893368156,0.023155547217252548,0.9458297596109865,4.449405345397088,1.3659165516506238,0.03177700945000131,0.44569629310688286
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4653835885708921,1.0180824372160504,0.023968461898237706,0.9399522976054584,1.5024643678132799,1.0548593074946857,0.024540300302547922,0.9344670271126275
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4183686775516484,1.0161579665092573,0.023784488419134567,0.9427550444290528,1.7276350382298895,1.1257549223882992,0.026646782012512197,0.919055372852713
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4515128807707625,1.0414639383996753,0.024460791169569545,0.9402964299825926,1.5825996532778894,1.0253327309937605,0.024333086939961383,0.9309936227166619
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4845404633327264,1.0275055250571565,0.024041934949955348,0.9377414837033057,1.5602705677842947,1.076126415535755,0.02524674970384064,0.9321953013168898
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4223129662032883,1.0014411361229087,0.023489115194588163,0.9436147915115111,3.2408499689569843,1.2515289632844417,0.02928658333050309,0.6905550738437618
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4332970633875335,1.0155550098292763,0.02376819032386391,0.9415292633494606,1.5287458180741709,1.0418605014544913,0.02459001137131786,0.9366812143808211
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4433056409284557,1.0132049966458982,0.0238161340791249,0.9418673975829315,1.580354849540458,1.0989021910542733,0.025287913828569656,0.9266188567790866
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4768132222461203,1.0253379912763938,0.02413554298348322,0.9381047412590137,1.968519471781532,1.1319539811125898,0.026985644350489287,0.8936600314729374
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4593904116919967,1.0423445924361932,0.0244857601337409,0.9403029017682709,1.7463253528010176,1.1327202646639656,0.02646913405730334,0.9123268113194445
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.439275048844717,1.0139352568703524,0.023707771695305274,0.9414357263660587,3.2898206529420158,1.1653061665241793,0.02739988579746821,0.6994007975805538
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5131656348424714,1.0813317371794886,0.025394535765819567,0.9359317684711718,4.416004020550956,1.291591661001684,0.030108466719630175,0.43453263456811664
Local Model,203,C,Chemical,"(2829, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4451111894069961,0.998281204419172,0.023431317423538083,0.9404186230991209,1.5444837139186978,1.1185763800523307,0.02613164759518865,0.9360062406607758
