Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4161349883144694,1.0767191859290712,0.025121687219513036,0.9440718425238623,1.3316935095836648,1.027892948594301,0.02385704259503825,0.9478914775460809
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1731468307300201,0.8281758519089152,0.01932404182592798,0.9611654356562072,1.3699857671415288,0.9249398327471033,0.021575129415733273,0.9474496093273214
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3933048027197505,1.0593880477636246,0.024724076766941487,0.9457142282757973,1.4229115635713343,1.078007016980243,0.024822511877545635,0.9412230122399852
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3923953438207486,1.0649678228672703,0.024755289348266016,0.9448324009627593,1.4247783212796614,1.0541450159424026,0.024732517700499244,0.9449473007892404
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.420564899713787,1.074351548573491,0.024978326448173365,0.9428151913997379,1.3081160986375326,1.0169629185854765,0.023846623049429437,0.9528545618025679
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3889327697171967,1.0674325909733398,0.024852516297940344,0.9455024301275516,1.6157722959491967,1.1031244756769345,0.025766674810185217,0.9272856254768924
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.220091831122613,0.85045701222053,0.019883880750361117,0.9585084278420053,1.1637399907020833,0.8577745412610909,0.01968867839132456,0.9600995833550681
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3861029153564268,1.0614493670435223,0.024671666926798515,0.9453164000857949,1.4988313382164395,1.0835791173830849,0.02549037010446201,0.9391350117052722
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3879056232237126,1.051350193379814,0.02450454167176805,0.9462444860907592,1.445064257901635,1.095806086356166,0.025295334275704767,0.9386450558340198
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4162787185785863,1.0643755588697772,0.024739968861545822,0.9430749137363925,1.325879606306612,1.051752465992584,0.024623893661192064,0.9517580028410382
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1977009605260358,0.8475297246084311,0.019752364287499023,0.9597925028425978,1.2232227039036145,0.8430826791360256,0.01974176726136897,0.9569842449255453
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3975177473401297,1.0730439309660365,0.024954905669697137,0.9447846497255521,1.4029849338385127,1.0210435132714202,0.023912938093000432,0.9453299598089345
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.410556205995788,1.0690280010858058,0.02491487894924859,0.9443262353414029,1.349491693330489,1.0426075030219428,0.024258185850825006,0.9471932965470147
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3941655940325448,1.0466658083517484,0.02440279611230884,0.9445455082330951,1.4189726196219767,1.113780419211271,0.025748353056723152,0.9459844269034996
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1834485489826059,0.8347430364957565,0.019467479875286554,0.9607208154598909,1.3380695011488952,0.9041994444318027,0.021180024494978886,0.9486521414383929
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3071147605349933,0.8745868140342714,0.021385767969941016,0.9532643098901504,1.1525379606592958,1.0246159292381736,0.024526498043289113,0.9561098531713281
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2927237793002075,1.056318282250428,0.024644954589891476,0.9426223681050616,1.4588910918087628,1.1546368317616438,0.026263101991495355,0.9453390487722396
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.001594388349902,0.7973441812782693,0.017957109693588547,0.9745756719373485,1.05317226675765,0.8624615013328256,0.02008195671861702,0.9676379863300224
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7209825567963507,0.5620058875671995,0.013215398634857805,0.9847743027599318,0.7771087957874873,0.5073192341343855,0.012177996441755415,0.9822757730771748
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7172861069786552,0.5270599117330972,0.012364353117821756,0.985483891821056,0.6732466174532888,0.6039540829160034,0.014195652600204388,0.9875542812568943
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.3091519309129533,0.8923303027258735,0.021760299793693927,0.9525787107026762,1.7069499760254383,1.362868137700942,0.03127715162721001,0.9009450020319023
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.1373422894802807,0.8490747523678704,0.02016005352610627,0.9613043313703535,1.585745376468117,1.2419179503907483,0.027741682832140676,0.9364834162390542
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2789303589689092,0.9732575599660706,0.02266637301070503,0.9543493252623573,1.917604735220702,1.21112012719965,0.02908381571859842,0.8946033462212607
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2178733661886398,0.9230501945814013,0.021481657016653544,0.9583386555522062,1.5251813668925354,1.0073985636746559,0.0240719222084837,0.9328132364324512
Local Model,203,C,Chemical + CS3,"(2829, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.243825997543117,0.9411580968792554,0.022255050270442885,0.9563634693223266,3.6789258775998857,1.7471820789100714,0.03965581556605603,0.6173494905652482
