Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.196699209874786,0.8993807700878215,0.02101110182589798,0.9600615492152824,1.2035653400256219,0.885970884936437,0.020669189458239076,0.9574362839015623
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.137026021149183,0.8501998765838393,0.019629973244695138,0.9635200275561852,1.3542995524389307,0.9262623129800858,0.02111946133265178,0.9486461145087453
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1596773362847785,0.8672950651916423,0.019870067053664342,0.9623930521880758,1.3609012366762152,0.9157266262310553,0.020882945428517218,0.9462343717071279
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1414437055856512,0.8536653990499012,0.019591062221345497,0.9629261273504369,1.733300451429886,0.9620371451226227,0.022195301960833174,0.9185236208741528
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2246307053015195,0.915447071196755,0.021082566019079013,0.957501969751394,1.09669732652085,0.8457633631883468,0.019686315864440616,0.9668624294517206
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.139209012133644,0.8501202112754993,0.019574996943753854,0.9633375476359632,1.6615575700690581,0.9267863081537793,0.021223099632643114,0.9231063025227124
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1477175326879263,0.8545549482547019,0.01973308170632799,0.96328488572649,1.6408949935542534,0.9514196953925143,0.021789606576703906,0.9206718925589011
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1413099605456938,0.8552388882436849,0.01961410739233397,0.962925665991449,1.1972614149118797,0.8738160533028861,0.020474212681285704,0.9611635087680933
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1393686167150698,0.8500034565236575,0.01978366879511677,0.9637730598846752,1.2599731218791221,0.9037441213223621,0.02071820198741911,0.9533557829127922
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1967364463749286,0.8988502051552275,0.02060876432992588,0.9593553606918943,1.1539483844251834,0.8694362701145949,0.020192286000898285,0.9634582060543261
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1712871152383078,0.8689282128792971,0.019924043182829053,0.9615464025218914,1.282289431793319,0.911593940923576,0.021107738139804853,0.9527296726309771
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1778159158774995,0.884738934660611,0.02025898746788323,0.9607806848837184,1.5205781705380428,0.9247299995017978,0.021275353611898713,0.9357813929090726
Local Model,203,C,Chemical + CS1,"(2829, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1933771189567954,0.8894490224220455,0.02039560128291196,0.9601502858349501,1.639180144876611,0.9461424104400743,0.02166593061595743,0.9220884229433528
