Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.118732914553437,0.8241220628449287,0.01921888239206647,0.9650960934264619,1.372066461066902,0.8625308831885765,0.020291914140428836,0.9446840354371244
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1656832502144774,0.8403368864308814,0.019565946085001323,0.9616579961628045,1.2224921609504862,0.893381989431899,0.020656182299255532,0.9581557291632853
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1332713145225024,0.8130740897363365,0.01900750396219715,0.9640861851077718,1.229169076716186,0.844896533369882,0.019422004825639525,0.9561393807136959
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.139379287882698,0.8106992614020705,0.018878984708520615,0.9630601098623823,1.2943504558192416,0.8912406856709875,0.021036055417714705,0.9545652877300391
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1727241944474216,0.8339534974944516,0.019432515886767303,0.9610282163493529,0.9986003739863747,0.7741685171554541,0.018198125570089742,0.9725254527456745
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1674245198751239,0.8346407434303155,0.019484728820479604,0.9614989734474522,1.1935617453595246,0.8389647692906581,0.019756114052082305,0.9603220030621594
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1352383219879536,0.809358573326057,0.01892214884898953,0.9640789569965502,1.226028616901472,0.8663988578728795,0.02010211722346025,0.9557139722522896
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.144998698874072,0.8334130178487421,0.019438206823937175,0.962685628625249,1.1553407106384295,0.8278760948739949,0.019526678305746312,0.9638355248536643
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1070507028559045,0.8078503946018664,0.018793009629870152,0.9657990498590854,1.3786310579894803,0.877286656426422,0.020212902372579115,0.9441566629434798
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.169098506462027,0.8351770910990183,0.01955006835074103,0.9612110119088075,1.111776228271933,0.8460001477464844,0.02002928910916448,0.9660803107352266
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.12311152716748,0.8126661654275693,0.01895026555145536,0.9646445789541135,1.2236727644400571,0.8535434538227572,0.019955256056124304,0.956952585514303
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1526533271657249,0.8431829129708651,0.019610588583370406,0.9624385296502246,1.1381399247907118,0.803506635888091,0.018874820464208294,0.9640221924000687
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1530927989725437,0.8294088362333009,0.01934156682762152,0.9627952562889748,1.3541581127375542,0.8728208799464184,0.020259774627491386,0.9468274635849733
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.142157155516104,0.8215049110693436,0.019184380122049687,0.9627814252959365,1.176354031943568,0.8840103909635677,0.02053182058160446,0.9628766595569428
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1276719785851301,0.8142422371657295,0.0190146315841423,0.9643360635199967,1.2411538433965124,0.8499762047274121,0.0200129404137268,0.9558209649896432
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9882466339644881,0.7102742416642787,0.017216209404580494,0.9732852010785277,0.9547458195231221,0.7984463254975095,0.0190322297099187,0.9698815867662952
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9531260514520403,0.7838047100611931,0.01797590274751352,0.9688088185608987,1.2188218848583259,0.9690163448559588,0.02233522475236898,0.9618484727725363
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9442686871662248,0.7510250129822733,0.017021437316657468,0.9774026821089691,0.9071026397418467,0.7035795591504037,0.016450809135317355,0.9759923544795853
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6108035796592319,0.49178093791047245,0.011593176473037226,0.9890722482214533,0.7064987571604376,0.47920633286669645,0.011520181381959855,0.9853503767183246
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6339019801507139,0.4585787656893365,0.01076476209159716,0.9886627016757393,0.8684987293421369,0.49765627663922457,0.011924635727598977,0.9792885742201587
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9844937023185644,0.7095352382069053,0.01716810419145644,0.9731824474113134,1.8876527592727341,1.3566860549020459,0.030481879152694593,0.8788623846349751
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.0867099432824026,0.8261018253643754,0.019450151186023643,0.9646729590640688,2.1772316303395476,1.5905320287652764,0.036446694255612234,0.880262690873138
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.211125012214625,0.9242475152946343,0.021484687300420233,0.9590615538913342,2.142903322865017,1.602582840881664,0.03677358253293811,0.8683824530118995
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.203751887594313,0.8923352000231483,0.020737535791708995,0.9592991970319679,0.9960379141307277,0.8251301830536787,0.019958020606854223,0.9713455234144357
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.1644014974519354,0.8666289102141278,0.02016627528144387,0.9617583638120929,1.7446530973187355,0.9699731716539163,0.022506100494335216,0.9139445476527188
Local Model,203,C,Chemical + CS1,"(2829, 12)",,Random Forest,,,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.1701606381720964,0.8731763708616279,0.020304798873401295,0.961227027160494,1.7685577855814343,0.9957196129141525,0.023044127903212072,0.9124728847809201
