Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8955222689495987,0.6912411731647485,0.016254538401092443,0.977634738221782,0.903683224889871,0.707198010232339,0.016510252698578653,0.9760043436440357
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.881095930053202,0.6759786912460428,0.01591765444165863,0.9780941512658519,1.1460978728299764,0.7827247320384102,0.018433935249328973,0.9632220725766384
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8772528395992762,0.6579933366088597,0.01539107149633989,0.9784799481586477,0.9705543139893129,0.720630633620407,0.01660292276840556,0.9726541645343018
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8953557309722708,0.704053342029472,0.016512000043889904,0.9771886916955053,1.0310564562378015,0.795408076363823,0.018781167039740258,0.9711697165536528
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9589725513780674,0.7583151937289289,0.017898883779573733,0.9739402127576903,0.9104394677450465,0.7207629194681622,0.01719749112904413,0.9771624638279771
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8785403243579811,0.6712383784396533,0.015634113128860212,0.9781959038753004,0.9275819243117309,0.6956688717144538,0.01627983357021848,0.9760357130147609
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8929856598535801,0.7002287385530088,0.016591361603213603,0.9777738714575115,1.089497678389311,0.7671529161972207,0.01788359233720355,0.9650281882741365
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9057080242287865,0.7101360635593091,0.01686059029342314,0.9766523822628311,0.9596592665854163,0.7472921628918328,0.017885372918303843,0.9750485300812983
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9257315213900164,0.7347886566013769,0.01765592456005855,0.9760848421877509,1.0047454316301048,0.7691589050832148,0.018125964340223885,0.9703388949543769
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.923039744088347,0.7022181942943129,0.016304517979192065,0.9758205153042784,0.9570824446956421,0.742654904795959,0.017439021359002084,0.974862863820649
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8705965337598995,0.6688976890978642,0.01577479962414258,0.9787556175277344,0.9547274637452027,0.7262654655645256,0.01714587230365618,0.9737955339126926
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8853767729898223,0.6743732085251144,0.015711564360522113,0.9778383844320009,0.9527871017354551,0.7375533073614006,0.017400163553301054,0.9747863849975128
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8985793361541862,0.6889986057256208,0.0160821974721713,0.9774065448286554,1.0287313325730343,0.6964453534776669,0.0162697090455129,0.9693131323255872
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9363621241485437,0.7538702049373368,0.018116191964680995,0.9749852778022037,1.0310149836630518,0.8043893532365455,0.0192168366821006,0.9714831920263503
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9098351102478007,0.7073527175040631,0.01656798845488735,0.9767839097063978,0.9547370236717854,0.7548299128439574,0.017637003933054594,0.9738583785619103
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8882498386678572,0.6913307712652045,0.016362110229694644,0.9780170564848215,1.1401279178111183,0.8361898896615004,0.019903285833051843,0.9618960475822951
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9269076048389002,0.7299886562931799,0.01749615768579255,0.9757875581164966,1.5077924520240702,0.9991925946900765,0.02433113173282626,0.9366462547380986
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9223849455966954,0.7169667716322333,0.01719938609760593,0.9762161849957344,1.1342763963400948,0.8825197193103522,0.020844467518838197,0.9627870909860534
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8571824922778728,0.6541083469706063,0.015294274889703105,0.9791139714514083,1.1393296487853815,0.8698549035554443,0.020760475843822516,0.9647772777808205
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9362827458712304,0.7364713674954005,0.017370405280386258,0.9751764646811566,1.1804952301913656,0.8845752263377643,0.021156748230905326,0.9617971413534622
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8954314733158901,0.6987203859548156,0.01653780750388657,0.977379184908439,1.1312852327949832,0.8832785084854633,0.0209699352307374,0.9645088975458344
Local Model,203,C,Chemical + CS3 + CS7,"(2829, 13)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9233415326397537,0.7204013721215613,0.017154227584580087,0.9762789611467786,1.1224480148299723,0.8510409357275032,0.020095602945343773,0.9628855273287787
