Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(2829, 12)",1,Chemical + CS1,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.110018688177964,0.0350330565104318,0.8413122503905169,0.04255377565343601,0.019518007725071514,0.0006065375669154607,0.9644053166910084,0.0038856531019172765,1.5397791569722514,0.30508954581719006,1.1910142947846807,0.22983011465781947,0.027698131588622926,0.005628777590999636,0.9306969766942237,0.02175245881521136
Local Model,203,"(2829, 12)",1,Chemical + CS1,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.073219904064975,0.013439027704522055,0.8136242711068182,0.01027407169923994,0.018864358630411485,0.00018107165137487845,0.9673800221714055,0.0008160674106277875,3.598017065393872,1.0387931731324105,1.5229213486796134,0.06375857870816608,0.03435828067232846,0.0013809355790199423,0.6075346299228729,0.22740252130204405
Local Model,203,"(2829, 12)",1,Chemical + CS1,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.080588901988215,0.024181626137942145,0.8182328077434261,0.01980333415777787,0.01910964512992108,0.0005064741140952522,0.9670923767958429,0.0013849025755330458,1.2080288446307605,0.16963771685217346,0.8623511560143654,0.05052553976698116,0.020166059809444855,0.0011434231386431742,0.9580867257244104,0.012998808864786835
Local Model,203,"(2829, 12)",1,Chemical + CS1,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0878194219359727,0.017169580918305092,0.8081032050128899,0.027366244041223408,0.01889390436716988,0.0004231317247499041,0.9664494689169995,0.001004533933437697,3.7117678196429136,1.3265188384854418,2.2489889177132056,0.7355716948117739,0.049908690072671354,0.01578810228758381,0.5547007360645765,0.29293830144801575
Local Model,203,"(2829, 12)",7,Chemical + CS1,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1886821830390724,0.31204784553745374,0.9842363123640776,0.27789064178463185,0.022682300958254083,0.005940141086954734,0.954840498795745,0.027294415194676735,2.630529689592519,1.529753879797489,2.1627955744693153,1.2852507493088472,0.052951896526196966,0.03341817185698359,0.7397911281079002,0.306335721133936
Local Model,203,"(2829, 12)",7,Chemical + CS1,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.9828044895681641,0.07367030499007819,0.7822443603883634,0.07321587880228063,0.01801522142086545,0.0015757753235681074,0.9725289750786829,0.004202092073764981,10.088167718608664,2.7640882222704533,2.6581536836461717,0.46655313240403434,0.05968748840101665,0.010190137173740423,-2.0662954895355927,1.4969113984003541
Local Model,203,"(2829, 12)",7,Chemical + CS1,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9194067236152945,0.03446513445155053,0.7160821548251389,0.026521549604284496,0.0165824195364756,0.0005607331384566864,0.9761749056139212,0.0017653309409522901,1.9672856809741974,1.9926731702944647,0.9348524653989891,0.2584138025473903,0.021608165015370627,0.00559271547591825,0.7827109881979629,0.5087829474900107
Local Model,203,"(2829, 12)",7,Chemical + CS1,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9640218109836933,0.12128962042044827,0.758814210777841,0.10690291282470417,0.017933677736377503,0.0025437642419160636,0.973090595063441,0.007764289632343947,3.180716957284109,1.1121373754069543,2.0749292400693613,0.6332533331103749,0.04670658279367064,0.013766465339345708,0.671343733401961,0.2215072813798086
Local Model,203,"(2829, 12)",14,Chemical + CS1,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0320874023758815,0.2548591193082172,0.8446778956089352,0.26268058099856817,0.019830512680532368,0.005729553944634155,0.9673957057741238,0.01472296588635779,2.127211929075563,0.9141104157632565,1.7814767641634555,0.8819191692456295,0.04237934919686496,0.021926100597454565,0.8414476348224346,0.13265906645006878
Local Model,203,"(2829, 12)",14,Chemical + CS1,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.896565339260528,0.042891293337080715,0.7027805415210583,0.03317749204517925,0.0161388955743712,0.0006614301719047849,0.9772276989493985,0.002188576055827475,10.833444330604799,4.834294349058286,3.243368262062338,0.9437708979148073,0.07144407951884803,0.020497214852212516,-2.9378523488022252,3.22657306411137
Local Model,203,"(2829, 12)",14,Chemical + CS1,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.834789496307608,0.04038190939682233,0.65122211074512,0.030750891823221105,0.015103398424963421,0.000685824812123931,0.980358461361231,0.0019219003345612707,3.5963350682418382,4.104128862068228,1.243042592880579,0.7304668385043599,0.028327295076262728,0.01567479522783381,0.17733227319408496,1.5034870402898335
Local Model,203,"(2829, 12)",14,Chemical + CS1,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9526887509149901,0.10299247778607684,0.7685681312590578,0.0981581555436487,0.017849446154495838,0.002285380348270322,0.9740620365229847,0.0053230328436827375,8.508919622244603,11.368926933575834,2.9939323048760413,2.002646650865548,0.06624643138515295,0.04253950432172023,-4.795686951500498,11.030794660861826
