Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(2829, 16)",1,Chemical + Properties CS Less,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5049001781887508,0.23145378367347746,1.1274063560350807,0.14912623336744735,0.026670577225983053,0.003925323465907409,0.9336453083477649,0.018106128497142975,1.9597848667262103,0.5127901917236591,1.4443285577824685,0.22179950440307447,0.03442086781080976,0.004809432824241828,0.8851178563062081,0.05395965685612973
Local Model,203,"(2829, 16)",1,Chemical + Properties CS Less,GRU,Out of time Split,"{""Test Size"": 0.2}",1.176835483253137,0.015339748438632048,0.9017067788405453,0.011690467483454729,0.02074894346494019,0.00026850957651422606,0.9607767639283041,0.0010239563592638636,1.899040681196986,0.20351013275911037,1.028293992122295,0.06311297645942811,0.023585041403759995,0.0013659532402720308,0.8979220881194502,0.021042241354839758
Local Model,203,"(2829, 16)",1,Chemical + Properties CS Less,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1646907592784115,0.0369406306195578,0.8886250102467178,0.027898108723806502,0.020439096814681004,0.0006020182206020472,0.961752599264816,0.0023252157825101416,1.3738679027160665,0.23115854623886006,0.9336929465341052,0.04314169220946129,0.021525904381724147,0.0010469407043153666,0.9454366102152615,0.018961175712372
Local Model,203,"(2829, 16)",1,Chemical + Properties CS Less,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3695336722765872,0.22170017710518986,1.0229833732530371,0.11597788605282261,0.02402637522599077,0.0033698989097472086,0.9455225532104843,0.018283967608862615,3.2921337143777123,0.9038592764610496,2.293360507843601,0.7637813280199202,0.05156237560964231,0.016390589355134454,0.6667952896017325,0.15428217195440697
Local Model,203,"(2829, 16)",7,Chemical + Properties CS Less,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1254846744889102,0.15497179187650642,0.8935295938765971,0.12550925069940888,0.020863528272447713,0.002758596712972535,0.9618261676380834,0.014110339469311438,2.149694485726031,0.3871240059728128,1.6865080248380961,0.24816374179916606,0.04069540721008269,0.006637948340629626,0.8607359587719716,0.043211956365765795
Local Model,203,"(2829, 16)",7,Chemical + Properties CS Less,GRU,Out of time Split,"{""Test Size"": 0.2}",1.2704872639312124,0.04834232079750236,1.0050705503412916,0.042411551827652674,0.02291408820011728,0.0008572417880035494,0.9542831674872367,0.003514791218031788,2.335276687545431,0.5378315010109015,1.3332906162883822,0.20203304579414533,0.030502331740133018,0.004271700539268471,0.8390563101856731,0.06500679637653839
Local Model,203,"(2829, 16)",7,Chemical + Properties CS Less,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1485114719990397,0.10258263920359975,0.899083446187296,0.09037261355786629,0.020552777501560846,0.0020011287158067355,0.9625690324647741,0.006777430645638113,1.4845517063618525,0.3628785884192999,1.033870137426897,0.08147288131413458,0.023880264508431486,0.001785745039724503,0.9341230725257892,0.04099764055801387
Local Model,203,"(2829, 16)",7,Chemical + Properties CS Less,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1658190311126384,0.09900309337024431,0.9222991461681037,0.08907882015803512,0.021524348159906687,0.0021077352714056054,0.9613799097753408,0.005687836930104786,3.2727688445160465,0.8153264427896202,2.108315134345598,0.288705125280101,0.04848677904445908,0.007463234459219715,0.6720652621043712,0.16593116555371026
Local Model,203,"(2829, 16)",14,Chemical + Properties CS Less,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2821686090492483,0.35218193587447394,1.0925806530766478,0.33255738060211537,0.024995283651939607,0.007555053663369887,0.9484655675166188,0.02535462603886986,2.778466394611156,0.941129088345372,2.3972287508990315,0.991113922598673,0.05633522490535028,0.022486223905585186,0.7421646569849785,0.1603605925825054
Local Model,203,"(2829, 16)",14,Chemical + Properties CS Less,GRU,Out of time Split,"{""Test Size"": 0.2}",1.0870253791999522,0.03439939689696152,0.8610278942120232,0.02939751116381018,0.020074584293356602,0.0007784632848052272,0.9665678511062844,0.002096411487377806,4.147716946260218,2.6849015526739906,1.7969455332457451,0.4745004493995295,0.04033468269826066,0.010183426030263048,0.31692483132534865,0.7658226835144839
Local Model,203,"(2829, 16)",14,Chemical + Properties CS Less,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.986945181010534,0.05638603947591245,0.7745175534535877,0.04702547646814503,0.01774441118539023,0.0009817147599513602,0.9725235945840213,0.0030552422860905004,4.780098980060536,6.788081945349314,1.542785365889635,1.1532677217540084,0.03469708414612495,0.024617170306564296,-0.8819910210710833,4.0266860889986855
Local Model,203,"(2829, 16)",14,Chemical + Properties CS Less,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9902210021347428,0.07296264979899587,0.7800187971667626,0.06786821082713221,0.018257954341422442,0.0013679048963645697,0.971992214107839,0.004485196064564826,6.775742717464306,8.942063958951746,2.446617951537946,1.4367135320979094,0.05415244494711938,0.030380756951571566,-2.617598412727895,6.917725201130921
