Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5867945509101375,1.1993306988188117,0.02610612788447623,0.9587487764867408,1.6955952570456128,1.2563992641778738,0.027343775682681728,0.9532589345029943
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.625425732686277,1.2260606351690502,0.02656898711062069,0.9567295700709988,1.642685172996866,1.2442133885793776,0.026850201988304657,0.9561050086134437
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.618355434721523,1.214060528129419,0.026369247622671656,0.9571728426584665,1.6489435796379486,1.2440022208621941,0.02668983914700447,0.9554335359073398
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6327655451960565,1.2299442283929685,0.026767052297280467,0.956230640912434,1.644177312271773,1.2523291282164744,0.02746768984420468,0.9564459092838586
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6102627766376776,1.2173628539876173,0.026615280626398882,0.9578662255145133,1.6724735869322804,1.260119868955042,0.0277442140550452,0.9530221490198846
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.610872577107624,1.2059450377440364,0.026160171496122302,0.9577293704369587,1.5759466589785154,1.2035287602606806,0.026313290241918218,0.958564329182481
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6274989100219994,1.2299208711623129,0.02685422314040382,0.956762382442404,1.5978745904075078,1.2045523457237088,0.025855757524408104,0.9576537067854634
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6214847778093933,1.2239014244588757,0.026440050284368254,0.9565577111531298,1.661295630714314,1.2221702740159335,0.02657901326281244,0.9566051474203378
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6327845465298407,1.2354543679702876,0.02708580115559409,0.9565329645367703,1.7416772262707156,1.3076534362532135,0.02847647119890251,0.9497423701559021
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5917194051575625,1.1940438289963027,0.026067266521700237,0.9585821219825525,1.7196141670413534,1.297214744437454,0.028599736867124786,0.9515278932972613
Local Model,203,D,Chemical + CS1 + CS7,"(4683, 7)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6031982933000388,1.2066632462566191,0.026381351764265402,0.9581083678596513,1.6251050905683557,1.239657641627618,0.02704669437219782,0.9561947229409808
