Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.218634248202914,3.1956245072576857,0.06768769761227537,0.708432454016974,4.365683696336122,3.323143721317615,0.07086558239812245,0.6901448235660148
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.246221852131645,3.2170076836053307,0.06814209100457913,0.7047007728115753,4.273749475879791,3.243841387585965,0.06907535328427666,0.7028851115619192
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.2474062629561145,3.2228685951737193,0.0684366284150869,0.7050020255364501,4.258977524383589,3.223999536819624,0.06795468811424202,0.7026915294276423
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.260428157722882,3.23443652705099,0.06864365003704116,0.7019912434128603,4.220816534608832,3.2103381622361185,0.06821860151611289,0.7129717789058204
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.16971099723415,3.173752865456544,0.06722294657808858,0.7174802787767521,4.221323662042211,3.2432683554500086,0.06905941466684283,0.7007239834179226
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.27252429035196,3.2531108363677315,0.06886779782362772,0.7026380333177134,4.053713982372715,3.0700181786831275,0.0658215520554672,0.7258441279041439
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.135359225611775,2.269252466372424,0.04972889756261344,0.8395295925238011,2.963927619599763,2.137755026970339,0.04602251823059001,0.8542981028397546
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.222053807090227,3.2012898853057417,0.06788379353194976,0.7054666517025592,4.367796216684622,3.316313043302312,0.07041480745658052,0.7000360200802488
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.264794896478554,3.2226281957043765,0.06833311735426663,0.7034495698017822,4.198438294329576,3.219836236309327,0.06808232128225845,0.7079600897598832
Local Model,203,D,Chemical + Properties CS Less,"(4683, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.231925192041299,3.226060524364728,0.06829992676881326,0.7072271590646027,4.333141057993421,3.2230014568493424,0.06912683124131674,0.6922234545841509
