Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7052171864148395,1.2931335661847898,0.028148980312386558,0.9523618556909907,1.7671732949686196,1.3066257240678103,0.028507334643264205,0.9492293758998034
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.746644629681229,1.3291098992734176,0.028872804247981342,0.9500349813037303,1.7830052695199003,1.3659891669600088,0.029377802444013345,0.9482855932264522
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7266636184569844,1.3070138803371056,0.028433528747137254,0.9512486210390592,1.752214950366044,1.3361794077446774,0.028797117861052116,0.9496764408142345
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7620414228845003,1.3293048373839045,0.028679385185948224,0.9490252903954874,1.743926620957243,1.347618621842474,0.029368980855861912,0.9510009044733614
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7223897754665247,1.3171247050944792,0.02862617076325258,0.9517941509593418,1.737562299988626,1.2821542462732038,0.028039941311309463,0.9492944636896022
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7525095267562418,1.3267984815720753,0.028812876006387673,0.9499692383499977,1.7073106982254114,1.3140257901544883,0.02889477856018495,0.9513686338572235
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.738262393502711,1.3191998834401224,0.028812925199410845,0.9506768264624664,1.6881977812892197,1.2816726741566857,0.027500482084068866,0.9527309722695974
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7180675792489133,1.3081414200211998,0.028397429855648637,0.9512283518417197,1.7514928585675635,1.2930795477803005,0.0282277525347299,0.951765129886648
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7604861006151664,1.3465064446984019,0.02907595500280621,0.9494678868507371,1.8412063708326167,1.3925954551370736,0.029824031212707394,0.9438342458091915
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7680656761070503,1.3458108383068759,0.028887566214291414,0.9488963865823025,1.8574335490575204,1.4337390899658204,0.031008399710121905,0.9434468971745361
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7304705488457128,1.3076956209548323,0.02847441462689951,0.9511931002010492,1.7382233601902028,1.333201858862487,0.029001599846377908,0.9498841968861929
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7216821987267426,1.3064105657403378,0.02840993920763923,0.9517588689996892,1.7059392545840437,1.283245074456377,0.02804227235141106,0.9514361530304585
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6982943420802286,1.2781568528647353,0.027837985728485292,0.9530638985872394,1.7799797474378163,1.36552129657953,0.030093106097013395,0.9469612136111841
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.719028524527104,1.304178193262618,0.028390192164454636,0.9515955256637144,1.6858451098180436,1.2707919725597414,0.027676414891532084,0.953794190542869
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7566627049441665,1.3483713867049043,0.029200796208833178,0.9489018637227187,1.8214665270519614,1.3516372941498063,0.02883246105197642,0.9481387053727409
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.0374264762607983,1.548021818354806,0.03137695192605388,0.929235638888466,2.1873451424365062,1.6924364536366563,0.04010884996554946,0.9339725277870572
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7851750939105373,1.3262290363005778,0.028368613536134717,0.9357302582170609,1.915924995013877,1.540900518539104,0.03203617194607752,0.9268471852790712
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.604869952572165,1.2773163871969129,0.027386538886459436,0.9517012450901575,1.8671402440300882,1.5091795982198515,0.034445698095302645,0.9359186354021669
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4268025154639918,1.0988587629348836,0.024358324712903567,0.966918409660245,1.2344342648596882,0.9850249757157995,0.022304206822056173,0.9745595014705639
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8444402451207758,1.28435528495095,0.02887909888684222,0.9451647901167443,2.075789956300177,1.4421517290967576,0.035464057425371544,0.9179801966159853
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.010513538525222,1.5552879721085655,0.03156129519960324,0.9310927841471095,1.9690609509041896,1.5383093732468625,0.03574157382369646,0.9464932764137785
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6759143711356805,1.2671365462522457,0.026908348004844505,0.9433566974011092,1.8581661007761883,1.4962749359455516,0.030903943180336665,0.9311913399903818
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5648904861940034,1.2335141737830828,0.02668186798010238,0.954077645820382,1.9285304307474513,1.5731246420677671,0.036392222877584715,0.9316354650206543
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4609504949179661,1.1312181442179146,0.02498898321770019,0.9653159625532939,1.2176594216411463,0.9765517944985249,0.022150076869082744,0.9752462301897608
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.858528721659705,1.2588621460817715,0.028464894486610992,0.9443238899551436,2.2155521152855573,1.468649450261542,0.03678233131642262,0.9065636528334888
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.975476815250088,1.5116459137615672,0.03043959518826979,0.9334735156867425,1.971615199346613,1.488155746459961,0.03398930166232159,0.9463543694809817
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8326191028095205,1.3671713905538467,0.029050862891676143,0.9322687118499634,2.0349923449876632,1.6395822362696872,0.03375360970639326,0.9174723279702971
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5721163772784652,1.2450544959083598,0.02674744323321759,0.9536525732087066,1.9383338309987606,1.5617778575166745,0.0362083396677575,0.9309386563702892
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.450445732121666,1.1105553871807567,0.024577204352402043,0.9658129509070471,1.3278322317596856,1.0646078474978184,0.02463255892943392,0.9705641830134245
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.835278447043271,1.285854795527331,0.029064167681341065,0.9457081976630989,2.3885398546430543,1.612956420411455,0.04036675794819648,0.8914032331164818
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.002658656964752,1.5183748501013978,0.03064482239120368,0.9328977827323033,2.440470308464406,1.943248533591246,0.0420013750781897,0.8923345812487694
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.763077530572353,1.359565459072628,0.028221949214869115,0.9474285375996083,2.299830857063255,1.8103697664309772,0.03805164628030876,0.8936705197167033
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7958516686630088,1.3967466890837361,0.029115509390493774,0.9425852141704697,1.7047631781652994,1.3723466131748296,0.031141948886665313,0.9476108539972585
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7352859714202908,1.3609324707070338,0.029083621880049187,0.9474458909560035,1.359099376874103,1.0854970034085785,0.025174653666430406,0.9731419035444873
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6610756171820764,1.2944121910601496,0.027806292356318863,0.9541648169809034,2.095968487591304,1.4724879357753657,0.03338407128438054,0.9212767231335198
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.010467464232487,1.541786151949321,0.03106745908117045,0.9323734698615849,2.362232900955715,1.896538827358148,0.040504648231538216,0.8991270770409789
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7551536107546206,1.3584717289881298,0.028303855711234668,0.9479000267218207,2.5357309553426894,2.0013705664414623,0.04230704452907963,0.870738782369858
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7824544240441575,1.3835820030769224,0.028879184208397062,0.943438659682911,1.7210633721348185,1.3744482634128667,0.031013097553084512,0.9466042205657659
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7195241037566877,1.3466607018872938,0.028768486492695765,0.9483962690568472,1.3006766920971153,1.0390218477493676,0.02401572502912855,0.9754013361280051
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6807269693115572,1.3091789937391973,0.02809032599843391,0.9530738957550664,2.104120662528612,1.4903250469305578,0.03377151760812669,0.920663150946461
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9727911798380513,1.5039478794063799,0.03031252682840115,0.9348843708056299,2.415900403834005,1.891426782852564,0.04063272467885432,0.894491553109278
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7579915468940452,1.3590904250483593,0.028192373798358487,0.9477314079390347,2.4847560416333216,1.987984735537798,0.042056873348004786,0.8758835319892203
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8070014611733145,1.4039519140265508,0.02928887699605087,0.9418700657757973,1.730139172989615,1.3907735865666317,0.03169271807438367,0.9460395845034827
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7238032355799973,1.3519220419232374,0.028916442781286838,0.9481391119431828,1.3080313415885705,1.0395040293962525,0.023699512107865327,0.97512236435795
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6873800900218099,1.3144310246593915,0.02813642020697977,0.952701648542882,2.131043165247185,1.5420340376633868,0.03504413300605373,0.9186199112862159
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.6718447831790457,1.3070516382432278,0.02814243981330736,0.9529016043695844,1.9121575600821175,1.2979594007754656,0.029669609580112506,0.9394580880065538
Local Model,203,D,Chemical + CS7,"(4683, 6)",,MLP,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.686763121113908,1.321694944130184,0.02846181975931228,0.9520573098869883,1.9748591783074703,1.3840042350386352,0.03151329960263429,0.9354225267600724
