Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5654912407561654,2.00807716634397,0.044867517547717235,0.892170769537586,2.7429002664011106,2.113255376825974,0.047039285016770856,0.8776865389438298
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.576318057964771,2.015033252714028,0.04504207841412614,0.8912934022481551,2.7935369030812174,2.1704718364442805,0.04881686655743196,0.8730551404468545
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.602885587653151,2.028607171461408,0.04532387938592194,0.8892148410340632,2.7324437620355306,2.1498478975570827,0.04782993666516709,0.8776232117940592
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.602427937597938,2.032570037027343,0.04543077447180969,0.8888063573246128,2.81387528558318,2.1611121609679653,0.04849714444762673,0.8724321197222842
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.579474982268672,2.023770498820932,0.04522295471298982,0.8918816276300698,2.75584369070701,2.1002112519027842,0.047152237125265804,0.872449027971608
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5818562545516257,2.0259066141090862,0.04517889132972887,0.8914123441623634,2.7236713408883686,2.094585892586723,0.04745994348197134,0.8762341728419523
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.6091902896926156,2.0487256773435933,0.045834012491838376,0.8888698628734657,2.6947649340487465,2.092304035133842,0.04584722077293485,0.8795597096127639
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.6000951726650023,2.0249271939059215,0.04520628832538318,0.8882968457188412,2.684848187751296,2.090146333415582,0.046867059397854335,0.8866598352695543
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5738423317493413,2.0140593226534356,0.04502557818971351,0.8919894599439108,2.8876367938646124,2.1879653638856027,0.048801015975254436,0.8618497132008716
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.576251515638633,2.0114585545389434,0.044894024466798736,0.8914995989633987,2.8992443104549657,2.2853508500971347,0.05144574456605981,0.8622157762451397
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.592768919945943,2.027112497552728,0.045253299165336415,0.8904328357405504,2.7529080290021497,2.1276223246799337,0.047425650976157814,0.8742966259398397
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5943640057176913,2.0393617717378354,0.04550814990904926,0.8904598519623551,2.8102596400766773,2.162537380776258,0.048639748862525346,0.8682110951367406
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.55570797633024,1.9985397681436372,0.044602678394057196,0.8937072740749006,2.782341131329896,2.1738489158736223,0.048654353103771295,0.8704062048908912
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.6048647339090394,2.03199852610767,0.045388592902950546,0.8888550604645858,2.67422774456263,2.0653005911346174,0.04665062114453155,0.8837325835404806
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.588043517928196,2.0184647036884065,0.04521661571524043,0.8890898104396039,2.825259511315401,2.2166054864215035,0.048861276418066577,0.8752278507656787
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.3639958413436553,1.8809663435992072,0.03913601101834349,0.9047326432813441,4.45362926567887,3.5817142811227356,0.08838277593727246,0.7262726686482287
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.262878885913213,1.763962597770487,0.03849502835444978,0.8967315788393886,3.3594511438398924,2.627326815179054,0.0549276149495165,0.7750890013509062
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.2209578064777578,1.609201194640787,0.03572185857640272,0.9075010380096238,3.1683328151395997,2.5750215855050596,0.06240762304315734,0.815481692337298
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.9624371465183053,1.6211476702358634,0.03789488841502803,0.9374178962051674,2.6407219848494368,1.9147899749431205,0.04787249953098876,0.8835780033226407
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.9875416988707657,1.627079328241195,0.038088578838948374,0.9363258980596517,2.6795866141548808,2.072813801055259,0.05256145394284424,0.8633254947313256
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.3698153316643538,1.9091409520018907,0.03976026384735046,0.9060380511273848,4.334456299985871,3.555682824941781,0.08179316701342954,0.660375951378658
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.642247319280494,2.049006538610769,0.044294127293670764,0.8819260291831487,3.319892475948793,2.499344131274101,0.0565337112208405,0.7784305222689889
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.6249535311479697,2.018821566195453,0.04374848956927171,0.8773334747482324,3.578531595825006,2.8471105655767976,0.06772289469806164,0.7691536997396253
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.6900263865236638,2.082125667898158,0.04566585481108,0.8737074750181185,2.832428511960829,2.3364556612846177,0.056695781506416264,0.8833483953257782
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.60229074205789,2.037781947158161,0.04508196204389946,0.8875053687195646,2.8560971046013575,2.3216253622984273,0.056301994376181615,0.8538228118466061
Local Model,203,D,Chemical + Feature Engineering,"(4683, 6)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",2.6247360506772037,2.03303469020927,0.04499012770787461,0.8839124949654393,3.1786880563103606,2.686560669271007,0.06347872743295829,0.8326966632246567
