Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(4683, 6)",1,Chemical + Feature Engineering,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.1752064570016687,0.19143341873813527,1.6166978359528406,0.15679211233571466,0.03510759976029046,0.0024089919005650597,0.9148026573967366,0.02054647151028178,2.564316068000714,0.8632943586091404,1.988009301855209,0.6883877610028677,0.045749227171167535,0.015266110356868917,0.8740492670669849,0.0763399666712549
Local Model,203,"(4683, 6)",1,Chemical + Feature Engineering,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",2.404909825734229,0.006207310819823149,1.7916860073447376,0.008737603576183745,0.03890539845623592,0.00019582523693207767,0.9025426290365668,0.0005034919566636769,3.4275415223977745,0.02502909280525806,2.437627484441355,0.03173018317178791,0.05312375349262422,0.0009175846611945732,0.8054651610266402,0.002840730810983304
Local Model,203,"(4683, 6)",1,Chemical + Feature Engineering,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.349067988651733,0.022161666343213426,1.7229582594755206,0.014996738160391463,0.03775786590462472,0.0003340381723761939,0.9097287378514591,0.0019321056811209883,2.467238464349754,0.11516347632878188,1.786916226707409,0.05535925462682788,0.03915193090342365,0.0012943856200931482,0.9000494899131091,0.010025910927143073
Local Model,203,"(4683, 6)",1,Chemical + Feature Engineering,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.4486731731753646,0.07410386072879242,1.851617777138718,0.05386895448050385,0.03944903455079247,0.0015177979492044214,0.8972319148533424,0.008476487811771656,3.16323406736997,0.7432942803613685,2.347154937039889,0.5474789806098105,0.05242506987521342,0.012478270923739477,0.8057684135735897,0.09456285138899703
Local Model,203,"(4683, 6)",7,Chemical + Feature Engineering,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4549115859402337,0.28407020538576333,1.1350819256307068,0.23633329985567691,0.024308988761394146,0.0040053776249757604,0.9604930634708941,0.016725638787412976,2.9947458422541513,0.9337335549716655,2.281305410103271,0.6676255121479041,0.05178272661578267,0.01612121747750595,0.8231790954202106,0.10326284858638866
Local Model,203,"(4683, 6)",7,Chemical + Feature Engineering,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.69470873446138,0.04047988272526294,1.3135718629451734,0.0234169636596655,0.02854920548373362,0.0004965565316145284,0.9516527939078947,0.0023169029916601143,3.5332333800518323,0.3320242035083023,2.7074522823019653,0.24211238944577537,0.059394420275417394,0.004926234392716386,0.7906483106296115,0.03980801628431714
Local Model,203,"(4683, 6)",7,Chemical + Feature Engineering,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6159670750077006,0.08253733960967713,1.2510324334175469,0.07598975386886644,0.027318085722152694,0.0018692331160523282,0.9572496608266445,0.0045153949660131434,2.1575186038073273,0.10862073953778092,1.6247245676803652,0.0994577819195555,0.035752510629074176,0.002351389313712346,0.924243405160624,0.008022861503834309
Local Model,203,"(4683, 6)",7,Chemical + Feature Engineering,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7643198061456395,0.11399747574213771,1.3856551874430025,0.09929460301325217,0.029089251903862225,0.0015135494245719424,0.9466457603793393,0.006903947339388058,3.514001027195058,0.7493024956170675,2.7167723743672023,0.6053046222544887,0.0597371316779366,0.012754770863401993,0.7656067110673493,0.10364707539260963
Local Model,203,"(4683, 6)",14,Chemical + Feature Engineering,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4846895851415822,0.215343165621835,1.1860985378013396,0.17132148893052848,0.025345073178467167,0.002669165294796216,0.959531221629266,0.012377861942753329,2.9128971781833433,0.5073023663105739,2.2825651161142644,0.3624486210046385,0.051320749427556156,0.008498669071052303,0.8421074212377943,0.06251480837053527
