Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(4683, 7)",1,Chemical + CS1 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.538172829385659,0.1984395228508121,1.1686027069907776,0.14727140493274188,0.025248292874848748,0.0023785347511647422,0.9578836497030646,0.009983912441830958,1.9624326936135617,0.5411466854169783,1.6072690492995243,0.4438730869345253,0.036596612590958824,0.01080148021021729,0.928092641877745,0.04071440329063722
Local Model,203,"(4683, 7)",1,Chemical + CS1 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.6507990923428049,0.014151128728613347,1.2935453907046206,0.011325485946059909,0.028099119302327797,0.000500774344561717,0.9540765443751775,0.0007889337845292785,1.9152724111744295,0.06663185867950948,1.2024339277606042,0.05708152088937917,0.028054573611907486,0.001838335586609558,0.9391871707612127,0.004240695000250707
Local Model,203,"(4683, 7)",1,Chemical + CS1 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7273627796998938,0.07283042208990735,1.3078571839796136,0.05756602404887041,0.028368307698443087,0.001179399231248548,0.9511074473135299,0.004194728592738612,1.7628064474831955,0.09717794039405084,1.3326124193757278,0.07348631899005255,0.028910287116975304,0.0015654110199686334,0.9489599047587884,0.005647673273289126
Local Model,203,"(4683, 7)",1,Chemical + CS1 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7395997346365324,0.06549618524229751,1.3581429788126729,0.04328783651654777,0.028551389930414076,0.0005192967846231086,0.9482091931041731,0.0036678211818435232,2.0338045842836867,0.3406898032723522,1.5505398197663136,0.28113243723730635,0.03457443433963801,0.0051851360107868436,0.9224294023702976,0.027221238034608637
Local Model,203,"(4683, 7)",7,Chemical + CS1 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4998261411641651,0.31800871068871833,1.1659176885469051,0.24842524112482506,0.025091078942221155,0.0044241958213731445,0.9578752829153486,0.01870240782276968,2.3548353108099533,0.4147126593960843,1.9118637896500839,0.299328420189098,0.04319701647683038,0.008283247058607996,0.9010510194515543,0.02665808315501506
Local Model,203,"(4683, 7)",7,Chemical + CS1 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.7555436099082904,0.044212305568329904,1.3547710675614943,0.043304864387066044,0.02952171972868847,0.0006958749729613623,0.948116156141078,0.0026345508948608797,2.1177689514941607,0.12530651359439615,1.4304565406165608,0.10883648942815835,0.03290287588067331,0.002663023177999935,0.9251850328877355,0.009000567394964722
Local Model,203,"(4683, 7)",7,Chemical + CS1 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6976644004177721,0.0468387495203034,1.2910024793872443,0.03815952818364724,0.02826020299339198,0.000828788670436565,0.9529058280051319,0.002725663213666192,2.061721683631577,0.09266420983475217,1.5436246962155442,0.06384129206192693,0.0342061786565757,0.0013629794770719436,0.9308989469611378,0.006063453037001728
Local Model,203,"(4683, 7)",7,Chemical + CS1 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8836721699598693,0.12465536801583164,1.4581928278166731,0.09705574709666741,0.03079200456550752,0.0014626637301296589,0.9392232421941565,0.007661876832579669,2.355280158076066,0.49197310811665385,1.7869795894241869,0.41954952997721234,0.0402370460833181,0.009435450463063025,0.8934691077036899,0.04641982610032345
Local Model,203,"(4683, 7)",14,Chemical + CS1 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5567624963492335,0.2893042624320271,1.1884357800480179,0.2355092870959689,0.025515119505655753,0.004078892249329756,0.955073137423371,0.016521723652427708,3.012733913688268,0.8334912621610036,2.3572157470651924,0.5656601541803075,0.05444927287761014,0.01656351416284621,0.8307046977919821,0.08446404191925351
Local Model,203,"(4683, 7)",14,Chemical + CS1 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.8059549427339974,0.06990029904205924,1.3949981480392655,0.06746642659998307,0.03038515632963586,0.0015338800367943944,0.9451996640392899,0.004293732259417433,2.7972495047866226,0.19747005529842557,1.8857453774591686,0.18490728460612968,0.044469230042269325,0.005575045868024221,0.8681930779927075,0.018116690348735438
