Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0362974002335665,1.587180910186363,0.03728980017559253,0.9324671884327598,2.0755055131691726,1.5861134604802207,0.03655689081870119,0.9355128736360877
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9353282704986994,1.5180129325366165,0.03555444227130488,0.9396791013353876,2.186139781058957,1.7425031015411296,0.042291846033777815,0.9249942351821128
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9649583367382801,1.5163507291415892,0.03572399138702399,0.9382621188411149,2.051142857983777,1.5872301699691491,0.03684118138827894,0.9321164463266944
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9463511524649901,1.5235765295110848,0.03607401846438569,0.9403886096080588,1.9521533402593478,1.5224037340401972,0.035637618433365714,0.9344581532422531
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9562495623437106,1.5190960315681594,0.03569110890562076,0.9390674398356874,2.127444445698691,1.6913390858293529,0.04020291086036747,0.9258532865691081
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9163759676460161,1.5159644654575015,0.03571487325155454,0.9402922370134286,2.09707700612167,1.63708409708013,0.03907302036579552,0.933723589539196
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9255921064604853,1.5068199743191246,0.035614701180833416,0.9405253462690394,1.974931699594507,1.603947865615157,0.038063668751700086,0.9380703800709344
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9277757630284849,1.5098405559178298,0.0357828303563969,0.9412294216446662,2.0514535896795674,1.620914146767371,0.038023944028072125,0.9292560664239962
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.972860317547958,1.519552063787118,0.03572229315606472,0.9372580390613745,2.156237760627778,1.675977684850718,0.0385697393821805,0.9272966386698543
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9418670148212314,1.5248232069577976,0.03600817148153718,0.9404189564940266,1.9045961716271602,1.4757047219112003,0.03529367365004911,0.9388014578559682
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9485606709880918,1.5421595092287748,0.036472348925117345,0.9394779022032025,1.9904456575329181,1.5928688868769896,0.0384296628784351,0.9355600481529811
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.905666654824521,1.4867656000945015,0.03544191929441683,0.9408451059541715,2.204869562652935,1.7368535664606475,0.03953736324563447,0.9259727084062992
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9992853592074082,1.5515916083394652,0.0362603466618638,0.9367884553897609,1.9099549618513187,1.5037603713220247,0.03588220869851311,0.9380784432383416
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9386806364068616,1.525997431750642,0.036112215326453805,0.9403146390279808,2.007024393538223,1.5571817465865645,0.037681357588716956,0.9332083192019732
Local Model,203,G,Chemical + CS1,"(1886, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9979421745540868,1.539564683331489,0.03619482104764586,0.9356136121397229,2.17037405334922,1.6881732343678764,0.039830046153386006,0.926825837106147
