Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4170973637388515,1.907961200692426,0.045572766665751,0.9048473896960358,2.5702169618901185,1.979877900619579,0.0465312668134031,0.9011071683101143
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.383507428038382,1.9014436726458035,0.04525940797542538,0.9085062261862882,2.8248025528927125,2.1229665024727096,0.052210412563446135,0.8747680959818225
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4558494524061554,1.9449704956437581,0.04667253561460464,0.9035619304575477,2.4910024958578827,1.9423392093273883,0.04544332966658739,0.8998799457187675
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4179811585122435,1.9201409103743603,0.046013308300245796,0.9079989713382689,2.6162998704895903,2.012421323979139,0.04732736025026235,0.8822757703411848
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.433399766778133,1.9072168054707634,0.04545486662772598,0.9057182066525168,2.491921835806327,1.9818272687278424,0.047870451561062934,0.8982711158677619
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4346702065906642,1.9023781874857615,0.04532047507754947,0.903628270974673,2.4695317071673744,1.9653505211972238,0.04722889637213315,0.9080907048736953
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3969413946081013,1.869582993937943,0.044552622060955664,0.9078451578614783,2.7327140250128523,2.1503952048984707,0.051112063519042426,0.8814278691305419
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.427359433610984,1.9241482213373882,0.04617199883268661,0.9068216292692232,2.9968572888286893,2.181309039065595,0.0517886936605091,0.849027468950132
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4268062571937987,1.8868511930251946,0.0452657347229099,0.9050629734778649,2.595634595228634,2.0586850740866183,0.0483298217546317,0.8946466612028328
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4407788923833267,1.9301962488045397,0.04594867189225739,0.9058704432635436,2.523643602847484,1.828953268234622,0.043991004531917885,0.8925537389423419
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4076835358342352,1.884517033236567,0.044807059667523366,0.9075972463477799,2.6015773141426157,2.088191872359397,0.050438927574561004,0.8899150294164213
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.427446844047968,1.919753343679417,0.046187772633240615,0.9040165693809367,2.514630986202558,1.9214511314506448,0.043788669975791436,0.9037114644886891
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.442282058032406,1.9277226624140742,0.045863874209075874,0.9056724685016856,2.604508270703035,1.9370613179134275,0.04777672774971519,0.8848544667562487
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4084184532224104,1.9203503244293187,0.04592608523393278,0.9078873722561618,2.6146522710724307,2.0194980523972794,0.04795485722359672,0.8866438860959164
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.433067196323777,1.9065522397575365,0.045587417240987915,0.9045147170748262,2.480406095094884,1.9653726822644153,0.047036831865510866,0.9044272318691958
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.8145171542605498,1.432487074789053,0.03068109310879388,0.9630119506875916,2.1251295590209076,1.6925968117969326,0.03934520396436827,0.9507201260929923
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.802451588656949,1.4135792796761344,0.03552032633998203,0.9380394473058317,5.497011876561437,4.146971214923306,0.09452590445505264,0.10887982153760689
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.8305877700868014,1.3910881453268913,0.03246982593725246,0.8979900171293006,2.7794980956090813,2.207158138401559,0.054262586761926544,0.7645420810814618
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.5655213347585555,1.211756197533217,0.031623084921161275,0.9512137039085278,4.3640338934419205,3.174694556213674,0.07748208940417405,0.5235973624195049
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7081810380018896,1.3207688677273257,0.03291824962840067,0.9599525759208798,3.182902058393482,1.8296707555526739,0.0492454407821219,0.8323838830372576
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.820271273698772,1.4397035578312791,0.030931985625669102,0.9633907522931493,4.585019877481301,3.390623377345968,0.07876219184708973,0.6527446111292428
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.2400478900509424,1.76376910634585,0.0402978584237133,0.9382604283533434,3.971362303539869,3.0541558362390138,0.06892300290005926,0.49061938754558165
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.3116667294927926,1.797955334529583,0.04095773087651982,0.9175400000216487,3.5269746604792713,2.7418103990082994,0.06969805748685996,0.7184255625498428
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.4202838892176253,1.8749752483309057,0.0437141714900462,0.9032505120523343,3.2460775612688084,2.4587054250866545,0.06428698218442425,0.7801722966489896
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.4534397803783894,1.9150004866736414,0.045484625997317375,0.8975143996805817,2.6120870519323582,2.076715565270199,0.05167097337583863,0.9097319285816947
Local Model,203,G,Chemical + Feature Engineering,"(1886, 13)",,Decision Tree,,,,,,Out of time Split,"{""Test Size"": 0.2}",2.467779853869746,1.9211927705693563,0.04553369002929227,0.8975994477083385,2.517137231270983,2.007610219260141,0.04961511516862233,0.9101362489084093
