Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6871919540874372,1.2883625148904734,0.030198362205767607,0.9536380804885635,1.7595679071081194,1.3986377114593667,0.03249032486462809,0.9536513267893639
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.620225656069082,1.250950055232974,0.029266276025139905,0.957722477288472,1.6864138443129713,1.3114152103899646,0.03169351424788087,0.9553658665939696
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.60259308382288,1.2481389951105544,0.029594148661257445,0.9589331344900415,1.614616963260215,1.2283648131190938,0.028841599464035635,0.9579358833789519
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5846660927411786,1.2318957627728098,0.02921261948610366,0.9604849633435328,1.625518424653055,1.2398540001016716,0.0288529041160127,0.9545562030471334
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.614707626428249,1.2554779594224208,0.029505978922531578,0.9584865618207188,1.703005964335689,1.3216475748320158,0.03169943212970144,0.9524875104242747
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6678673791854275,1.293955152395233,0.030194775507168935,0.954773560620947,1.667009936222237,1.26575484220313,0.029886392589083252,0.9581200071238157
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6211074832866006,1.2612341189273863,0.029758957305826894,0.9578471493891333,1.6444266350968764,1.2930459724244134,0.030668719281661733,0.9570638343035701
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5523941322116859,1.1970069566224886,0.028411170259468026,0.9618889496670521,1.7077238394116259,1.3328671683556839,0.031229654515055258,0.950976863514859
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5936773615881112,1.2315081967605985,0.02900198658499524,0.9590582671521067,1.7995085695623185,1.3393362129272137,0.03154836455436499,0.9493628756832407
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.622702837919732,1.2590573997826193,0.029684200258770693,0.9583948466467758,1.6208758526365972,1.2432568905777264,0.02956545436242807,0.9556764265096621
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6770042700851282,1.2987038702926839,0.030295897583717573,0.9551714755084129,1.7044277397425456,1.2702658811700407,0.030072354517097936,0.952748919449365
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5845870453729025,1.217068829748155,0.028973671072973044,0.9590994626890617,1.6911338417045754,1.3315430828873613,0.03065064476349677,0.9564506159709759
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6019637079339355,1.2395036065143965,0.02911528232559345,0.9594162496799833,1.5459921037975304,1.1954506219919545,0.028976319932169876,0.9594295190257819
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6016133654814178,1.2440305472463073,0.02938825172105416,0.9592647253965153,1.635770661069594,1.2693559588930652,0.030406775659308542,0.9556328124465082
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6001997639002807,1.2523325580978646,0.02962544658990909,0.9586974717981847,1.7809915559096716,1.3495586397287385,0.03155008125194363,0.9507266255139228
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4694836722146583,1.1734714005848885,0.0282487917186707,0.9649603609006644,1.7094988747212954,1.3781292326160286,0.03404654365455971,0.9556971755574557
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6928469453472017,1.3500382712168522,0.032086970983970314,0.9539546684578731,1.799671296379574,1.388113092240833,0.03398853591063172,0.9486565626510661
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.502591774900876,1.197138051018068,0.028259713304427524,0.9640183711655584,1.6484076351030532,1.275047179720295,0.030230940749297157,0.9564094123002791
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5845544769317395,1.2508695807063668,0.02983755486148412,0.9605505576834282,1.7628374672012714,1.3632845955464379,0.032386631431090794,0.9457946102782668
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5568127768994051,1.2258489619946107,0.02887916026550346,0.961439700416278,1.665972148735883,1.3092225874715777,0.03156868570981577,0.9539750281841364
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5684196560574302,1.2566522559234912,0.030618210468043982,0.9599560673491988,1.7361911492231223,1.413111506416684,0.035262604600176904,0.9550195593282368
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5394366832618265,1.2015667588351613,0.02856788833785857,0.962057841159098,1.6761493306239998,1.346157256624592,0.03290536530966381,0.9545553952826394
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6097860921216285,1.2902220947432048,0.030361780946218254,0.9592088760377095,1.775118897424611,1.3819932492384273,0.0324694233134558,0.9479931904440404
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.579102643374871,1.2567512603738964,0.029962241240317367,0.9598847926819484,1.8140542992544202,1.4182242304104478,0.03389932081542608,0.9485830622975882
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5277914780462845,1.2183088662239183,0.029190287361708898,0.963201164593305,1.6237620596558502,1.2676182843108679,0.03107246198077023,0.9546916523847686
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4816581326184648,1.1766767789624724,0.02844007638586479,0.9651074152158402,1.7915413904456825,1.3958455335526243,0.03474634096889315,0.9470319582149179
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5668834173403288,1.2433630313886292,0.029918121664569707,0.9600650903252363,1.6822411954639689,1.3518378048851378,0.031210020242476218,0.9568777369314756
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6371123461716854,1.299263669243457,0.030350558585846198,0.9577102367330521,1.688008359263104,1.362966798696945,0.033090379398654085,0.9505333487142442
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5723178107328146,1.2526599618278562,0.029869579439521947,0.9608457644174235,1.75416770430004,1.3154054180543815,0.032075780843525144,0.9492159068505338
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6690337745039616,1.3208098597614313,0.03190151876827985,0.9551812917131326,1.8794086840995705,1.4155094297038975,0.03395022621888491,0.9448621951374592
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4916879766359459,1.1492937005903827,0.02722039934371744,0.9637523979007128,1.812531664759467,1.450170502484855,0.034554170315158575,0.950678493439038
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3922245784634928,1.087468608484954,0.02579011827015312,0.968738656607647,1.7915025783299934,1.4135302085616963,0.03528100900887153,0.9505627505690495
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5332129668002072,1.1925314788387928,0.02823175053986384,0.9623440319497916,1.8804837543610031,1.4294691878098709,0.03437587765881138,0.9444392100193777
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.406262705467101,1.1089701918049157,0.026632301038717172,0.9688322572863375,1.7037220230665282,1.3599455620567142,0.03241050983731592,0.9509410821610011
Local Model,203,G,Chemical + CS1 + CS3 + CS7,"(1886, 13)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.534808982285091,1.189922123681675,0.02786609429757736,0.9623969426155347,1.7057689802403246,1.3303474236194652,0.03222383491573166,0.9528842679538092
