Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7980311627141174,1.3942047528077546,0.03363860466747053,0.9473465483471208,1.940753496683001,1.5114826490652924,0.036047874250141776,0.9436146868737488
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7911046881945607,1.383380118647053,0.033126862173243794,0.9483345206586994,1.8736183806229207,1.4463903547337924,0.035391035212892226,0.9449064108428104
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7774104249989682,1.3808811592566714,0.033368456038098,0.9494849864508395,1.84165211149988,1.4134159217038353,0.03344045379780746,0.945274726388009
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7673690212760336,1.3716514561633097,0.033135594060353636,0.9508479840357269,1.7284834975599888,1.3063786166069322,0.03117871333085188,0.9486167827830669
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7875366284600835,1.3973610233305296,0.03369636746921568,0.9491242517140448,1.9803982890916465,1.526048879315989,0.037268581588835045,0.9357489048844854
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7801423065247695,1.3825251098084268,0.033185134128362374,0.9484796491761898,1.7875195720219779,1.3999465750562838,0.033852491741229146,0.9518460592961355
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.773154384068284,1.3767169279671003,0.03317334983782001,0.9495691336926457,1.9433416831354469,1.4923358460182041,0.03601219765915967,0.9400357252574207
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7609620201382814,1.3622760889493957,0.03288389320975554,0.9509604008415539,1.962489897468226,1.541658595599196,0.03668612530306147,0.9352588110030209
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8072164902817622,1.3917262277751732,0.03342933674905408,0.9473515275969357,1.9338565548672566,1.4840028141752906,0.03523029961287841,0.9415196841632134
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7850372832645325,1.389763460317753,0.033547882041712336,0.9496541452350943,1.761028903199448,1.348591780972383,0.03249902361870187,0.9476799403476435
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.769211814817658,1.378082387002411,0.03311033441259116,0.9501062933233853,1.8969214047576513,1.471268493650368,0.03580704876350828,0.9414734086337224
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.78169546324489,1.3831496927631604,0.03346259187097976,0.9482912833143722,1.9572013322152062,1.4829737784484416,0.03461990972980223,0.9416693170566413
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7954932148201592,1.4020679427015201,0.033620400215663676,0.9490182935608433,1.7555423335357168,1.3520930443857506,0.03271655977414614,0.947685964014677
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7908345181741754,1.392831626838258,0.03342152881781701,0.9490708775279572,1.8079726993049388,1.4110518124960134,0.03415666215554973,0.9457998102303767
Local Model,203,G,Chemical + CS7,"(1886, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7491665061477306,1.3503407644469727,0.03257352862281117,0.9506496158321615,1.8672536390290395,1.4468472272844606,0.03474954247038007,0.9458379349834999
