Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1886, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9720901831451358,0.19501996803832797,1.527426525010355,0.1232660024878127,0.036254666170397985,0.002192945385989194,0.925461829677213,0.031129785371528655,3.4266490803734357,0.8784200566043756,2.791329341353032,0.794614854682394,0.06571892319190621,0.01812143223490045,0.682065719441008,0.2537911682280464
Local Model,203,"(1886, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.6010311408428004,0.035267808775101744,1.233660133371935,0.022989054620029106,0.028695754995118717,0.00037425166672779654,0.9568779186181001,0.0019124569340933917,1.712683676578636,0.09491796816752142,1.3544532375571168,0.06897930544181707,0.032678581785614,0.0010408365426810473,0.9582691779516633,0.00468008068441957
Local Model,203,"(1886, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.523874368468777,0.027930126911671644,1.1805473202398646,0.023285042947643313,0.027923553309423296,0.00047924930972195935,0.9628155535880791,0.0013643659665597547,1.6098416087156657,0.070926564061796,1.251834188272308,0.05504789223683422,0.02969983687750202,0.0011944329086021176,0.9582867246262732,0.003613998003585876
Local Model,203,"(1886, 13)",1,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6534209023322508,0.19884634497175813,1.2764068728811195,0.1564881267447377,0.029308606573765595,0.003193563046935982,0.9610260145771488,0.006024792657865551,2.4247697322168973,0.6885819636323481,1.8872193523658056,0.47959512845678265,0.04633518745561213,0.011970492449228813,0.8671854252003821,0.0670425991438729
Local Model,203,"(1886, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3687326550458847,0.239687974137221,1.0836460856569559,0.20395017053649842,0.02571341615835757,0.003815654918906898,0.9629077235865274,0.022604016076510743,3.204887612457327,0.4673528695017164,2.5953416889032153,0.4240884963105056,0.062147415352637014,0.011219868276326794,0.7573784578050797,0.1011618025928692
Local Model,203,"(1886, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.56864507924263,0.04621346522041789,1.2526773565517009,0.04058866715553748,0.02928395792949386,0.0008911585914749612,0.9586276897134716,0.0024235772875299453,1.730960026169784,0.24269001202836055,1.352299093760115,0.1983941043242899,0.0340841599177821,0.005054643385451219,0.9574448868234593,0.012161457558722862
Local Model,203,"(1886, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3796584952783477,0.06772907020686357,1.0886427324761736,0.057955180996972805,0.025847914899316485,0.0013155832560871306,0.9695086805654964,0.003243699661823246,1.6881714383107302,0.08909421101358048,1.3373954758092677,0.0825570179845346,0.03237868608925403,0.002376342686196906,0.9538886012347884,0.0040944170793034045
Local Model,203,"(1886, 13)",7,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.566661782095968,0.15845879122605055,1.2408461354270452,0.13162970551227837,0.028724414332492256,0.00287849458028975,0.9645812674837562,0.008259444665501067,3.2135093249847744,1.048136578985702,2.497739811531287,0.7627974296131182,0.06317178215946709,0.021321010348650235,0.7622769903354155,0.15194100074600903
Local Model,203,"(1886, 13)",14,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5448603379525165,0.3573986661785502,1.2410589188346008,0.31913449770598334,0.029024343506075696,0.006318869754736733,0.9533737704202857,0.024737313297247595,4.082944631603836,1.6271626828649504,3.4213728663805147,1.3341259651605757,0.08259351996362008,0.03337501287724359,0.4500514576266922,0.594824834007478
Local Model,203,"(1886, 13)",14,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.468392820922005,0.1520999095845288,1.1630947260743338,0.12724414940866186,0.027775926900320814,0.002955385029009625,0.9633550450937877,0.007553951889739677,1.8864289713038236,0.20859491352242718,1.5021798833991367,0.15648540870603714,0.037690807608941855,0.0034981499549858438,0.9508768428763057,0.010524907502813725
Local Model,203,"(1886, 13)",14,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2832653347485214,0.034405798662401024,1.0053848958111444,0.027661485919590657,0.023856811677468847,0.0006929234500232083,0.9735683554535502,0.0015153394632176126,1.8182834240334622,0.10027421953193462,1.4247841428052868,0.06170761064619454,0.03493169352480878,0.0019200063510352327,0.9473696750465129,0.006070999016060767
Local Model,203,"(1886, 13)",14,Chemical + CS1 + CS3 + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.44265289499355,0.1411447542187567,1.1331417557287926,0.12571852421437027,0.02603881625535062,0.002366084030804528,0.970356060393335,0.004304383708265169,3.411782509927801,1.6970305874354643,2.7277150418846046,1.3303687750571118,0.07032333123615872,0.03738544816994922,0.6865893010242516,0.32659733554302706
