Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1886, 11)",1,Chemical + CS1,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.890461540729757,0.37412564655855063,2.191824974000916,0.24377115985261702,0.05190788701133129,0.0034462729626683368,0.8428842149251817,0.0668246595270432,4.685283250378827,1.2469364385054422,3.763041124511183,1.1029643205252526,0.09027988941469599,0.026528155609646775,0.41824140653399505,0.39643596245224216
Local Model,203,"(1886, 11)",1,Chemical + CS1,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.9915502967201286,0.007279992124811719,1.5622038968572778,0.004233458974544964,0.03635690188753549,0.00010314744710907757,0.9333073719683608,0.00048792266198694227,1.9309394816153993,0.009001752018103364,1.532645333305238,0.0073959974130464855,0.03812830795213879,0.00036356080199498406,0.9471168252138988,0.0004930628124664046
Local Model,203,"(1886, 11)",1,Chemical + CS1,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9542527591842929,0.03396022718914501,1.5258197488085372,0.022158713418217135,0.035977192125720814,0.00045006479813996224,0.9388418782166922,0.0023234371109622618,2.0572900529830163,0.09582045250851827,1.6148037249132485,0.07850251602484526,0.03812767548513161,0.0018497397546083402,0.9319818989081299,0.00472699206354738
Local Model,203,"(1886, 11)",1,Chemical + CS1,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.2678074191077466,0.5273512267457556,1.7506391756105217,0.3439216160133384,0.03979835127187792,0.007038180720833842,0.9265788044172376,0.024707750785802108,3.3055160646072683,1.1651505427560405,2.63740711772619,0.8768058092649843,0.06432909726839928,0.021235653636186017,0.7420194601092117,0.1508603900476962
Local Model,203,"(1886, 11)",7,Chemical + CS1,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4797398547155092,0.2682276072428925,1.1792387367376698,0.24491959210203743,0.028013747098337812,0.005044152384966361,0.9559854168793457,0.031042895789189118,3.846386793258683,1.094793286606399,2.9562184195784105,0.777293522180474,0.07170008661916547,0.01949531303538597,0.6402122433148268,0.20889197291049136
Local Model,203,"(1886, 11)",7,Chemical + CS1,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.7061443648180858,0.13848440919443217,1.3429378131347767,0.11716065110779031,0.030960731749092352,0.0027915036232787965,0.9507771196502527,0.008160254227908736,2.5484475127256556,0.4394310321855391,1.880352854611959,0.1400096083067713,0.04785302036137704,0.004657443468302373,0.9068465178088894,0.032962681835153766
Local Model,203,"(1886, 11)",7,Chemical + CS1,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.608310711003732,0.15938145821646596,1.2694410344567697,0.14908449474424976,0.030154415572935862,0.0036252272716402805,0.9582425877489136,0.009143057572619184,2.096903320571796,0.21196563499936366,1.6643305158060637,0.1855767580514543,0.04029323064394561,0.004679268526577178,0.9284108670122251,0.014771416672531387
Local Model,203,"(1886, 11)",7,Chemical + CS1,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.655164666546501,0.14047910610318332,1.3060395370499955,0.1257166322736211,0.03013717092776896,0.002682087397302501,0.960768669268253,0.0067169173142426685,4.5768194398283475,2.2102868935017312,3.5372641893958567,1.5022290562993863,0.0863808407173097,0.03639976522386465,0.4789043522679906,0.4514898891769151
Local Model,203,"(1886, 11)",14,Chemical + CS1,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6753157913047156,0.3638313269366826,1.35066710925066,0.3061561999941148,0.03197244309922628,0.006544219353583582,0.9442743836659638,0.038083452242935883,5.163329403818795,2.3843976495804884,4.334883757399807,2.091260233023759,0.10593071697671826,0.053724960916978565,0.12617954753614896,0.9175813277444593
Local Model,203,"(1886, 11)",14,Chemical + CS1,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.518605021839927,0.06255901586043605,1.1896269810258628,0.0665814351810059,0.028045947507013547,0.0019959536737430604,0.9611562759618703,0.00316890048344409,2.105245869598418,0.15109651204115376,1.673271567065779,0.15305849748332576,0.041916231542908855,0.0038122858719634605,0.9392474690384409,0.008869847517120359
Local Model,203,"(1886, 11)",14,Chemical + CS1,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3779736867946302,0.07411854973178197,1.0757988316871228,0.06486414122525225,0.025437777240881813,0.0016494440285653826,0.9694515042375342,0.003483655998513437,2.320620865404613,0.1257341549628388,1.8366077360046902,0.10456262230931591,0.044869241011048756,0.003066705686377595,0.9142253296716746,0.01063949810472188
Local Model,203,"(1886, 11)",14,Chemical + CS1,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.490153488632308,0.1462215999504138,1.1676539873875582,0.12785488060090552,0.02666136651787919,0.0022320604168499128,0.9683410871662563,0.004715558090200928,5.105445712469142,3.079229008567383,4.048995171516528,2.400315383782838,0.09969622670517943,0.059633175236516164,0.27148515012212765,0.7859648937073949
