Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1886, 11)",1,Chemical + CS1,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.493622889417682,0.3563429933760667,1.9107445751709795,0.2598813680692655,0.044832989856083964,0.004603980719156347,0.8827591589100297,0.053582829319491834,3.844941837033565,1.2497485881367205,3.166432704590915,1.096482796959175,0.07507986436418787,0.02464962352471422,0.5787133378572418,0.4032873554114882
Local Model,203,"(1886, 11)",1,Chemical + CS1,GRU,Out of time Split,"{""Test Size"": 0.2}",2.1275555019039243,0.04531021497881976,1.6596427072412034,0.03278376834010655,0.038461058436482044,0.0007043660582614243,0.923853806364446,0.0032343440331933453,2.0767515961841005,0.10468958064065546,1.642754309047046,0.06437109363510657,0.040385883203130746,0.0009735163251084319,0.9386743600852713,0.006255215150627739
Local Model,203,"(1886, 11)",1,Chemical + CS1,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0876242676979233,0.029226424994833834,1.6294947359111593,0.02388041810371951,0.03831398424392907,0.0004418201146886401,0.930213873095129,0.0023042622916413253,2.1651659162305728,0.08521781074215344,1.6912865671735657,0.07138124532692944,0.03979894536661274,0.0018489619668416069,0.9246493999712803,0.00471496391477852
Local Model,203,"(1886, 11)",1,Chemical + CS1,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.272023464907144,0.37740120993914966,1.7713436675253282,0.2751718865815901,0.04016209693751868,0.005653642931358422,0.926351685179782,0.016714984009541013,3.0643337427927095,0.8465644744514569,2.5119277024805675,0.7062151047350674,0.061256240229184605,0.0165027110029477,0.7805254836147439,0.11658427297798026
Local Model,203,"(1886, 11)",7,Chemical + CS1,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8124902554424773,0.3810007305331271,1.4556084972783063,0.35950424460821495,0.034141943260150937,0.00796260630902967,0.9341562476575451,0.04288418855826937,3.6793823240280066,1.0540349593650702,3.0131231469677995,0.9719437531650378,0.07157087677965347,0.02281921008408092,0.6355291660625173,0.297690803480544
Local Model,203,"(1886, 11)",7,Chemical + CS1,GRU,Out of time Split,"{""Test Size"": 0.2}",1.8211474151537186,0.04754089998129336,1.4401660230323474,0.041182644191061046,0.03402262596587508,0.000987585798015748,0.9442468160869012,0.0029344020418742164,1.9714831454244681,0.12061132454936799,1.584651106207609,0.10638825830468426,0.03982837014520449,0.0023264867550344508,0.9456584674438481,0.006652094448295311
Local Model,203,"(1886, 11)",7,Chemical + CS1,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8282567893009949,0.08025933276561793,1.4475575912750784,0.06617713623198788,0.034345516091402135,0.001482844673233743,0.9465090300788529,0.004736450838981063,2.066425376701264,0.06575661341653549,1.6415698650135118,0.059188226236383715,0.039527752954473125,0.0018454581656583598,0.9308385761425684,0.0054049094945580935
Local Model,203,"(1886, 11)",7,Chemical + CS1,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9771957417108188,0.17681083373958476,1.5667540775878797,0.15991482662759574,0.03590159080124504,0.0032589927656209274,0.9441039094352,0.009505929882036943,3.6819965595210693,1.4047736002842475,3.0064097764461803,1.1906558233554598,0.07260001958217646,0.027564888487789412,0.6485390503368194,0.27641698048304086
Local Model,203,"(1886, 11)",14,Chemical + CS1,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.673073684754585,0.2632232704661551,1.340716748308303,0.24578828970312272,0.03155854414061495,0.005270936740304031,0.9471006581727704,0.02252908534870787,4.399161205141231,2.055176830982075,3.814974090211357,2.0143360215799624,0.0918467077194053,0.04804154849730038,0.3269761052035198,1.0448014611312921
Local Model,203,"(1886, 11)",14,Chemical + CS1,GRU,Out of time Split,"{""Test Size"": 0.2}",1.9112435708238833,0.29309989670391634,1.5278309693086347,0.2605420842231921,0.03577557975700265,0.006230051189724526,0.937133056909166,0.019810783457497434,2.3946500594148166,0.35424197461317825,1.897594944460504,0.2539999073918943,0.048480456641620595,0.007068892557619464,0.9200878452471599,0.02312444822656405
Local Model,203,"(1886, 11)",14,Chemical + CS1,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6897354631245494,0.05383570420541391,1.3138768214567633,0.03844973358203073,0.031026702441367755,0.0007941165570992999,0.9541548069576853,0.00311255838271393,2.191611003320936,0.10286626534884905,1.7269754929217187,0.07171777235055632,0.04163297664480718,0.0018467348995790881,0.9235523382336218,0.008325593426069049
Local Model,203,"(1886, 11)",14,Chemical + CS1,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8163590056794492,0.2490189503883557,1.4335071244462638,0.20157804655022035,0.03242497949405201,0.003289252202892201,0.9525449464078724,0.01147644922459978,4.098304431713996,2.3507801933212007,3.4074037676988573,2.2088651021269796,0.08420065111141219,0.05699506348633078,0.5039445433111882,0.6419325104362102
