Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.539057374660534,1.2105890710472267,0.025442083665420834,0.9638783922921386,1.7426180877819324,1.3638902007135087,0.028782566132802067,0.9530508259528726
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5945024226347961,1.2497226340598295,0.026064266693743773,0.9612941039338269,1.6630556309280808,1.3105004141139651,0.02777016855111548,0.9568985775358342
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5803431630699059,1.2484640625691368,0.026171706632491062,0.9617792240353149,1.5720096164353572,1.2169593401653012,0.025842621098604864,0.9623430779502442
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.604604926849933,1.258582988232677,0.02642250086639808,0.9602964746490856,1.6254579288491042,1.2650531778546021,0.026530132199290554,0.9609346902038545
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5820052673470968,1.2450184207123194,0.026130683379131464,0.9618293245108748,1.6293504721660337,1.283688638465349,0.02652566930262971,0.9588933753193063
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5956809028097394,1.2503099455377789,0.026215077396377868,0.9615506281902881,1.6702724062539376,1.2943097840064355,0.02722644117528628,0.9551165419054634
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5486752990135815,1.2152281113623744,0.025503261865178144,0.9634263695929801,1.5835333039756818,1.243089388981375,0.02645161061635697,0.9612559855005034
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5798557584609711,1.2425247799321866,0.02604617432939211,0.9616876907463998,1.7435677741641051,1.3682871599009088,0.028543933527286836,0.9542137681483328
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5861002459015534,1.2451564524459728,0.02603435765416785,0.9611944104122355,1.6233001100030988,1.2732689409776572,0.026927654111610275,0.9610344884119758
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5619950798514295,1.2286555959012588,0.025835269097497324,0.9626127666106673,1.626002204718445,1.2777877474052963,0.02675075983809815,0.959925152411823
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5831247967682813,1.243465932623924,0.025999209309755116,0.9616166131046603,1.711958854020064,1.3674425981545975,0.028570782784919164,0.9554955785838721
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5789553633327458,1.2438691440419405,0.026215542144304868,0.962581593019548,1.5639535839422876,1.229925222097789,0.025777617189201452,0.959320668049408
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.570158608197994,1.2336081455573071,0.025875126496280612,0.9622393961326627,1.6366307375042208,1.2957485795325656,0.027164859998820696,0.959306274690229
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5646114295968852,1.2379361411301577,0.025927012639299404,0.9620534453087479,1.6475732457483219,1.2824529846758514,0.027324526974004844,0.9604384044228732
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5905806187160543,1.2568256819012826,0.02640631461903773,0.9612393607694346,1.6366252609045233,1.2649895660045531,0.026710247949579748,0.9593364166953117
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3420435493200722,1.0583321570282656,0.022167322201781508,0.9725974578580048,1.7912169826695397,1.3941956754452187,0.029467914117763543,0.9499622238202629
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4303310086009735,1.1228549950533657,0.02349898789878457,0.9689182755502489,1.7325967504833648,1.3653748070035325,0.02915126725627099,0.9529424509830896
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.489567200637262,1.1632454500043865,0.024157703338176368,0.9660178949006714,1.792689938582074,1.4200885538387065,0.030242921589378805,0.9507607178599451
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6347338584905715,1.286311817354587,0.026994806389550523,0.9588396432612963,1.8716005606125443,1.4969691151974385,0.03193843058827336,0.9488321818435271
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5613233839476057,1.2441969349864515,0.026244767621211744,0.9629051995994335,1.891867252544665,1.485518517141859,0.03135323530905854,0.9444195928191886
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4220658522632836,1.117845831757266,0.02358290903759249,0.9694913759879751,1.7876363402204576,1.3750964516679545,0.029240745660112047,0.9486370493645461
