Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6292667824814082,1.2774327287721037,0.02684140368479149,0.9595198738109753,1.7804729347837047,1.4128073038595204,0.029776861074559537,0.9509889198681727
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.743476063013662,1.3572321050568026,0.028307389117984475,0.9537236883182082,1.7941900009813212,1.38560441977471,0.029409673717506354,0.9498333716823694
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6824386277840677,1.3229913605294736,0.02779398370712042,0.9566813256300617,1.6626624770888447,1.2821786683334013,0.027225439606627166,0.9578747380939431
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.685560449230155,1.3195882520141071,0.0277309152434219,0.9561891688829158,1.692021319036461,1.3406271054825023,0.028071776221796626,0.9576696881845952
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6953983196962492,1.334708999607206,0.028186313728387202,0.9561613176688405,1.707117845921144,1.3331513512189999,0.027687291655746845,0.9548757703337277
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6693853083296348,1.3059734345147196,0.027467496914410795,0.957916647677609,1.7378411098521287,1.3258203371338175,0.028037354048727835,0.951411685880083
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6450305060095571,1.2883276146039206,0.027147211771342137,0.958733727572364,1.6710644375037977,1.3140019794069793,0.02798265522967345,0.9568543904303338
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6608396038626456,1.3044279384917725,0.027366228622096866,0.9576592214582533,1.776249007945124,1.3884836625332893,0.028932069940731678,0.9524812581986366
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6678419650275713,1.3137573956155237,0.027610863031699625,0.9570915511089864,1.702462839399491,1.334162115613204,0.02831737513068259,0.9571413952486207
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7215812736430272,1.3532798427267216,0.0282987592275604,0.9545829349238194,1.7762794002134448,1.3890293320057006,0.028925310607178765,0.952175308461158
