Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9208323306499835,1.4966865623551302,0.03191371452019428,0.9437352536670858,1.9647313356903457,1.5709749506789232,0.03339387941831945,0.9403198556556722
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9172155988589714,1.508819357099838,0.03207746962622207,0.9440411646735736,1.9811408498186769,1.5230645696350962,0.032901905264472335,0.9388341866607842
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9497350292122155,1.5346371051763428,0.03270047570742687,0.941823460481244,1.8458902634807057,1.4142793779254617,0.03014299147056503,0.948078625534914
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.924844171411431,1.5038379255090473,0.0320455065141293,0.9428674010796654,1.9494543290262447,1.5424330410915184,0.03298768469002842,0.9438091066866492
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9327849143437668,1.511344002631967,0.03232417381728268,0.9430254308519836,1.9142705482981008,1.5123230319693046,0.03182336428975564,0.9432599869431211
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9162013869989907,1.511084636468212,0.03221918697326305,0.9445528211472916,1.985065108277727,1.5101474056773267,0.032003572647769,0.9366040945558263
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9294592762922813,1.5147774030492416,0.03227802752228714,0.9432300434110527,1.9309948993599013,1.4964065771243367,0.032116920271917586,0.9423880641402477
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9295999831471966,1.5028600835674022,0.03207570858305812,0.9428471320917926,1.9326554581565858,1.5528060986962289,0.032846920514754775,0.9437443546265948
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9394081455950405,1.5123045857115152,0.03221540047040217,0.9419808379737552,1.8958658304146372,1.5106581549252727,0.032510130533381906,0.9468506515509275
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9293990105905061,1.5126056531761514,0.032242478902144676,0.9429562446086514,1.9284541316809407,1.5069492785507368,0.032049968666053426,0.9436299725472883
