Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6360238884261995,1.268532061636396,0.026747669871287596,0.9591834087081994,1.7690738990365398,1.395583121624281,0.029494892885689003,0.9516144734967701
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.710273020359518,1.3333190680865872,0.027914631820186886,0.9554694920810669,1.7710852135369735,1.361788072043318,0.02902622685592482,0.9511170998975262
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6710123482873906,1.3006453374884275,0.02739159419529123,0.9572677250080396,1.6437214688415178,1.2532151836966803,0.026603549426040617,0.9588290510044946
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.672445685267924,1.2971611724729426,0.027303208001093066,0.9568682705419105,1.693891623470607,1.312570955673023,0.02763309641609449,0.9575760554090961
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.69091028675977,1.3160111814315032,0.027935738160026924,0.9563931086666473,1.7029822292715802,1.314487080773642,0.027395908636140585,0.9550941389366194
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6423118852882401,1.2776803030899848,0.026946052926154426,0.9592705612545315,1.7515141331663107,1.323835303631117,0.028047373069621802,0.9506441097902052
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6544704841371287,1.2799875325544467,0.02704010912508998,0.9582587571346463,1.667192388245183,1.2854067366685324,0.027485723285777412,0.9570541054992632
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6674414805778586,1.2935579137611002,0.027193376342536404,0.9573219412468397,1.7493862777503626,1.3683351998323623,0.028525926767491345,0.9539076694976195
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6732639035589487,1.2981411196276296,0.027309255184038206,0.9568121180093764,1.655760182785371,1.2965502253586683,0.027562769523765292,0.9594605720946059
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6868300281801099,1.3138442545900777,0.027560733623671622,0.9563979756602629,1.752985440709067,1.3550740533873094,0.02828531140532644,0.953421420766968
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7035280078011659,1.3211970137109463,0.02782015067039579,0.9555561628804036,1.767331766977709,1.3940859391658842,0.029187469608368807,0.9525700483445334
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.686550137153666,1.312546474557611,0.027620399438622573,0.9573082358771358,1.5837209192736914,1.2412538220519662,0.025936725868934023,0.9582858498959728
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6241982713632168,1.267875871173594,0.02671949857175489,0.9595954783249463,1.6837461780339542,1.3303020433875605,0.028001151098609966,0.9569295620037283
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.674449735539911,1.30737445566497,0.02743615639677535,0.956538612773682,1.7683225848805604,1.3438315700127825,0.028752399559848162,0.9544270308508146
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7011794546483923,1.3290531216487376,0.02780828697851188,0.9556616204973607,1.7655422776815635,1.3516962413344271,0.02836197120894392,0.9526779675106284
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5514073540022473,1.206517942178583,0.025381570303074807,0.9633807598869405,1.7755413439497176,1.4025380734939856,0.02952505405026959,0.9508341917921896
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.566493703200282,1.217105042964615,0.025638806540797046,0.9627188496039709,1.7587603677546193,1.3597833818761773,0.02897232661344114,0.9515105058647757
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5762335375320724,1.2233826814856548,0.025898036846853607,0.9619485505450523,1.6913370278151099,1.3168423943671899,0.028084028144557238,0.9561709896672703
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.744436063694327,1.3742927362950457,0.028839160896153182,0.9531299812150311,1.8556024521390222,1.4612227569617617,0.031122405192937824,0.9497031900584275
Local Model,203,M,Chemical + CS3 + CS7,"(4304, 7)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.602645077021935,1.244221118190123,0.02606926966166656,0.9609157288259588,1.7093272480425148,1.3308485783731994,0.027469652437431748,0.954627695729632
